;ENSCAFT00000027907_90_90;ENST00000344626_90_90;ENST00000413806_90_90;ENST00000429416_90_90;ENST00000444061_90_90;ENST00000450717_90_90;ENST00000541122_90_90;ENST00000586985_90_90;ENST00000589677_90_90;ENST00000590574_90_90;ENST00000592158_90_90;ENSMUST00000034707_90_90;ENSMUST00000098948_90_90;ENSMUST00000172996_90_90;ENSMUST00000174008_90_90
ENSCAFT00000027907_90_90;1.0;0.714;0.682;0.714;0.65;0.652;0.714;0.056;0.667;0.7;0.211;0.7;0.714;0.476;0.65
ENST00000344626_90_90;0.714;1.0;0.773;1.0;0.842;0.905;0.81;0.05;0.762;0.895;0.19;0.8;0.727;0.5;0.75
ENST00000413806_90_90;0.682;0.773;1.0;0.773;0.8;0.708;0.95;0.048;0.9;0.85;0.3;0.762;0.857;0.478;0.714
ENST00000429416_90_90;0.714;1.0;0.773;1.0;0.842;0.905;0.81;0.05;0.762;0.895;0.19;0.8;0.727;0.5;0.75
ENST00000444061_90_90;0.65;0.842;0.8;0.842;1.0;0.762;0.842;0.059;0.889;0.941;0.222;0.833;0.75;0.429;0.882
ENST00000450717_90_90;0.652;0.905;0.708;0.905;0.762;1.0;0.739;0.045;0.696;0.81;0.174;0.81;0.739;0.522;0.762
ENST00000541122_90_90;0.714;0.81;0.95;0.81;0.842;0.739;1.0;0.05;0.947;0.895;0.316;0.8;0.9;0.5;0.75
ENST00000586985_90_90;0.056;0.05;0.048;0.05;0.059;0.045;0.05;1.0;0.053;0.056;0.0;0.056;0.05;0.0;0.059
ENST00000589677_90_90;0.667;0.762;0.9;0.762;0.889;0.696;0.947;0.053;1.0;0.842;0.333;0.75;0.85;0.524;0.789
ENST00000590574_90_90;0.7;0.895;0.85;0.895;0.941;0.81;0.895;0.056;0.842;1.0;0.211;0.889;0.8;0.409;0.833
ENST00000592158_90_90;0.211;0.19;0.3;0.19;0.222;0.174;0.316;0.0;0.333;0.211;1.0;0.15;0.25;0.333;0.158
ENSMUST00000034707_90_90;0.7;0.8;0.762;0.8;0.833;0.81;0.8;0.056;0.75;0.889;0.15;1.0;0.895;0.476;0.941
ENSMUST00000098948_90_90;0.714;0.727;0.857;0.727;0.75;0.739;0.9;0.05;0.85;0.8;0.25;0.895;1.0;0.571;0.842
ENSMUST00000172996_90_90;0.476;0.5;0.478;0.5;0.429;0.522;0.5;0.0;0.524;0.409;0.333;0.476;0.571;1.0;0.5
ENSMUST00000174008_90_90;0.65;0.75;0.714;0.75;0.882;0.762;0.75;0.059;0.789;0.833;0.158;0.941;0.842;0.5;1.0
