;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;0.932;0.932;0.372;0.932;0.728;0.114;0.135;0.114;0.042
ENST00000617070_90_90;0.932;1.0;1.0;0.354;1.0;0.789;0.075;0.083;0.093;0.032
ENST00000617991_90_90;0.932;1.0;1.0;0.354;1.0;0.789;0.075;0.083;0.093;0.032
ENST00000622969_90_90;0.372;0.354;0.354;1.0;0.354;0.157;0.0;0.0;0.0;0.0
ENST00000623597_90_90;0.932;1.0;1.0;0.354;1.0;0.789;0.075;0.083;0.093;0.032
ENST00000623893_90_90;0.728;0.789;0.789;0.157;0.789;1.0;0.087;0.095;0.112;0.038
ENSMUST00000064664_90_90;0.114;0.075;0.075;0.0;0.075;0.087;1.0;0.789;0.541;0.296
ENSMUST00000064679_90_90;0.135;0.083;0.083;0.0;0.083;0.095;0.789;1.0;0.427;0.502
ENSMUST00000129905_90_90;0.114;0.093;0.093;0.0;0.093;0.112;0.541;0.427;1.0;0.458
ENSMUST00000136247_90_90;0.042;0.032;0.032;0.0;0.032;0.038;0.296;0.502;0.458;1.0
