;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.559;0.896;0.07;0.283;0.898;0.898;1.0;1.0;1.0;0.056;0.712;1.0;0.991
transcript8_ENSHGLG00100006079;0.559;1.0;0.372;0.068;0.312;0.067;0.067;0.075;0.551;0.559;0.052;1.0;0.559;0.546
transcript6_ENSPCIG00000036398;0.896;0.372;1.0;0.043;0.167;0.91;0.91;0.98;0.901;0.896;0.034;0.499;0.896;0.901
transcript7_ENSPCIG00000036398;0.07;0.068;0.043;1.0;1.0;0.237;0.237;0.237;0.034;0.07;1.0;0.068;0.07;0.034
transcript7_ENSMUNG00000007775;0.283;0.312;0.167;1.0;1.0;0.385;0.385;0.385;0.156;0.283;1.0;0.3;0.283;0.143
transcript16_ENSMUNG00000007775;0.898;0.067;0.91;0.237;0.385;1.0;1.0;1.0;0.891;0.898;0.217;0.111;0.898;0.859
transcript23_ENSMUNG00000007775;0.898;0.067;0.91;0.237;0.385;1.0;1.0;1.0;0.891;0.898;0.217;0.111;0.898;0.859
transcript16_ENSMUNG00000002377;1.0;0.075;0.98;0.237;0.385;1.0;1.0;1.0;1.0;1.0;0.217;0.134;1.0;0.961
transcript10_ENSMUNG00000002391;1.0;0.551;0.901;0.034;0.156;0.891;0.891;1.0;1.0;1.0;0.027;0.706;1.0;1.0
transcript2_ENSXMAG00000026005;1.0;0.559;0.896;0.07;0.283;0.898;0.898;1.0;1.0;1.0;0.056;0.712;1.0;0.991
transcript7_ENSXMAG00000026005;0.056;0.052;0.034;1.0;1.0;0.217;0.217;0.217;0.027;0.056;1.0;0.052;0.056;0.027
transcript8_ENSXMAG00000026005;0.712;1.0;0.499;0.068;0.3;0.111;0.111;0.134;0.706;0.712;0.052;1.0;0.712;0.697
transcript9_ENSXMAG00000026005;1.0;0.559;0.896;0.07;0.283;0.898;0.898;1.0;1.0;1.0;0.056;0.712;1.0;0.991
transcript10_ENSXMAG00000026005;0.991;0.546;0.901;0.034;0.143;0.859;0.859;0.961;1.0;0.991;0.027;0.697;0.991;1.0
