;ENSCAFT00000002730_90_90;ENST00000339582_90_90;ENST00000341617_90_90;ENST00000358373_90_90;ENST00000412160_90_90;ENST00000444921_90_90;ENST00000457830_90_90;ENST00000465844_90_90;ENST00000472701_90_90;ENSMUST00000090512_90_90;ENSMUST00000115323_90_90;ENSMUST00000115324_90_90;ENSMUST00000131897_90_90;ENSMUST00000132755_90_90
ENSCAFT00000002730_90_90;1.0;0.625;0.438;0.562;0.077;0.2;0.286;0.143;0.562;0.786;0.786;0.786;0.385;0.077
ENST00000339582_90_90;0.625;1.0;0.533;0.667;0.077;0.286;0.385;0.067;0.667;0.562;0.471;0.471;0.286;0.077
ENST00000341617_90_90;0.438;0.533;1.0;0.571;0.1;0.0;0.5;0.083;0.571;0.467;0.467;0.467;0.364;0.1
ENST00000358373_90_90;0.562;0.667;0.571;1.0;0.083;0.062;0.417;0.071;1.0;0.5;0.714;0.714;0.308;0.083
ENST00000412160_90_90;0.077;0.077;0.1;0.083;1.0;0.0;0.2;0.0;0.083;0.083;0.083;0.083;0.2;1.0
ENST00000444921_90_90;0.2;0.286;0.0;0.062;0.0;1.0;0.0;0.0;0.062;0.133;0.062;0.062;0.0;0.0
ENST00000457830_90_90;0.286;0.385;0.5;0.417;0.2;0.0;1.0;0.143;0.417;0.308;0.308;0.308;0.667;0.2
ENST00000465844_90_90;0.143;0.067;0.083;0.071;0.0;0.0;0.143;1.0;0.071;0.154;0.154;0.154;0.333;0.0
ENST00000472701_90_90;0.562;0.667;0.571;1.0;0.083;0.062;0.417;0.071;1.0;0.5;0.714;0.714;0.308;0.083
ENSMUST00000090512_90_90;0.786;0.562;0.467;0.5;0.083;0.133;0.308;0.154;0.5;1.0;0.714;0.714;0.417;0.083
ENSMUST00000115323_90_90;0.786;0.471;0.467;0.714;0.083;0.062;0.308;0.154;0.714;0.714;1.0;1.0;0.417;0.083
ENSMUST00000115324_90_90;0.786;0.471;0.467;0.714;0.083;0.062;0.308;0.154;0.714;0.714;1.0;1.0;0.417;0.083
ENSMUST00000131897_90_90;0.385;0.286;0.364;0.308;0.2;0.0;0.667;0.333;0.308;0.417;0.417;0.417;1.0;0.2
ENSMUST00000132755_90_90;0.077;0.077;0.1;0.083;1.0;0.0;0.2;0.0;0.083;0.083;0.083;0.083;0.2;1.0
