;ENSCAFT00000006783_90_90;ENST00000263280_90_90;ENST00000391910_90_90;ENST00000435164_90_90;ENST00000539396_90_90;ENST00000593979_90_90;ENST00000594287_90_90;ENST00000594704_90_90;ENST00000596012_90_90;ENST00000597021_90_90;ENST00000597063_90_90;ENST00000600358_90_90;ENST00000600615_90_90;ENSMUST00000019220_90_90;ENSMUST00000108495_90_90;ENSMUST00000184280_90_90;ENSMUST00000184694_90_90;ENSMUST00000184708_90_90;ENSMUST00000185011_90_90
ENSCAFT00000006783_90_90;1.0;0.917;0.958;0.333;0.792;0.292;0.375;0.167;0.125;0.208;0.25;0.625;0.125;0.962;0.923;0.269;0.115;0.538;0.154
ENST00000263280_90_90;0.917;1.0;0.964;0.321;0.815;0.259;0.257;0.172;0.111;0.185;0.222;0.429;0.148;0.962;1.0;0.222;0.16;0.387;0.097
ENST00000391910_90_90;0.958;0.964;1.0;0.31;0.786;0.25;0.286;0.167;0.107;0.179;0.214;0.457;0.143;1.0;0.962;0.214;0.154;0.419;0.129
ENST00000435164_90_90;0.333;0.321;0.31;1.0;0.391;0.7;0.0;0.133;0.3;0.5;0.6;0.32;0.0;0.308;0.32;0.333;0.0;0.368;0.0
ENST00000539396_90_90;0.792;0.815;0.786;0.391;1.0;0.318;0.3;0.074;0.136;0.227;0.273;0.5;0.182;0.808;0.84;0.16;0.19;0.444;0.111
ENST00000593979_90_90;0.292;0.259;0.25;0.7;0.318;1.0;0.0;0.167;0.429;0.714;0.857;0.25;0.0;0.269;0.28;0.364;0.0;0.316;0.0
ENST00000594287_90_90;0.375;0.257;0.286;0.0;0.3;0.0;1.0;0.0;0.0;0.0;0.0;0.481;0.167;0.323;0.29;0.0;0.188;0.435;0.6
ENST00000594704_90_90;0.167;0.172;0.167;0.133;0.074;0.167;0.0;1.0;0.25;0.2;0.182;0.034;0.0;0.143;0.148;0.75;0.0;0.043;0.0
ENST00000596012_90_90;0.125;0.111;0.107;0.3;0.136;0.429;0.0;0.25;1.0;0.6;0.5;0.083;0.0;0.115;0.12;0.375;0.0;0.105;0.0
ENST00000597021_90_90;0.208;0.185;0.179;0.5;0.227;0.714;0.0;0.2;0.6;1.0;0.833;0.167;0.0;0.192;0.2;0.444;0.0;0.211;0.0
ENST00000597063_90_90;0.25;0.222;0.214;0.6;0.273;0.857;0.0;0.182;0.5;0.833;1.0;0.208;0.0;0.231;0.24;0.4;0.0;0.263;0.0
ENST00000600358_90_90;0.625;0.429;0.457;0.32;0.5;0.25;0.481;0.034;0.083;0.167;0.208;1.0;0.0;0.484;0.452;0.12;0.0;0.9;0.45
ENST00000600615_90_90;0.125;0.148;0.143;0.0;0.182;0.0;0.167;0.0;0.0;0.0;0.0;0.0;1.0;0.154;0.16;0.0;1.0;0.0;0.0
ENSMUST00000019220_90_90;0.962;0.962;1.0;0.308;0.808;0.269;0.323;0.143;0.115;0.192;0.231;0.484;0.154;1.0;0.964;0.219;0.143;0.412;0.118
ENSMUST00000108495_90_90;0.923;1.0;0.962;0.32;0.84;0.28;0.29;0.148;0.12;0.2;0.24;0.452;0.16;0.964;1.0;0.226;0.148;0.382;0.088
ENSMUST00000184280_90_90;0.269;0.222;0.214;0.333;0.16;0.364;0.0;0.75;0.375;0.444;0.4;0.12;0.0;0.219;0.226;1.0;0.0;0.107;0.0
ENSMUST00000184694_90_90;0.115;0.16;0.154;0.0;0.19;0.0;0.188;0.0;0.0;0.0;0.0;0.0;1.0;0.143;0.148;0.0;1.0;0.0;0.0
ENSMUST00000184708_90_90;0.538;0.387;0.419;0.368;0.444;0.316;0.435;0.043;0.105;0.211;0.263;0.9;0.0;0.412;0.382;0.107;0.0;1.0;0.5
ENSMUST00000185011_90_90;0.154;0.097;0.129;0.0;0.111;0.0;0.6;0.0;0.0;0.0;0.0;0.45;0.0;0.118;0.088;0.0;0.0;0.5;1.0
