;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.514;0.727;0.526;0.706;0.817;0.147;0.296;0.823;0.754;0.525;0.501;0.847;0.336;0.545;0.281
ENST00000379697_90_90;0.514;1.0;0.494;0.228;0.522;0.572;0.227;0.473;0.637;0.494;0.251;0.24;0.572;0.425;0.593;0.053
ENST00000379698_90_90;0.727;0.494;1.0;0.595;0.812;0.888;0.196;0.405;0.735;0.853;0.537;0.512;0.785;0.365;0.628;0.262
ENST00000379716_90_90;0.526;0.228;0.595;1.0;0.621;0.587;0.0;0.079;0.492;0.537;0.873;0.811;0.526;0.116;0.316;0.399
ENST00000379726_90_90;0.706;0.522;0.812;0.621;1.0;0.804;0.204;0.331;0.774;0.721;0.553;0.527;0.707;0.351;0.509;0.27
ENST00000397821_90_90;0.817;0.572;0.888;0.587;0.804;1.0;0.193;0.406;0.824;0.785;0.526;0.502;0.882;0.364;0.574;0.256
ENST00000431164_90_90;0.147;0.227;0.196;0.0;0.204;0.193;1.0;0.488;0.158;0.173;0.0;0.0;0.169;0.459;0.227;0.0
ENST00000432234_90_90;0.296;0.473;0.405;0.079;0.331;0.406;0.488;1.0;0.349;0.376;0.079;0.075;0.375;0.77;0.47;0.0
ENSMUST00000073094_90_90;0.823;0.637;0.735;0.492;0.774;0.824;0.158;0.349;1.0;0.829;0.546;0.522;0.929;0.367;0.565;0.287
ENSMUST00000080394_90_90;0.754;0.494;0.853;0.537;0.721;0.785;0.173;0.376;0.829;1.0;0.595;0.566;0.888;0.395;0.692;0.312
ENSMUST00000112451_90_90;0.525;0.251;0.537;0.873;0.553;0.526;0.0;0.079;0.546;0.595;1.0;0.927;0.587;0.116;0.316;0.494
ENSMUST00000112453_90_90;0.501;0.24;0.512;0.811;0.527;0.502;0.0;0.075;0.522;0.566;0.927;1.0;0.559;0.111;0.301;0.459
ENSMUST00000112456_90_90;0.847;0.572;0.785;0.526;0.707;0.882;0.169;0.375;0.929;0.888;0.587;0.559;1.0;0.395;0.604;0.309
ENSMUST00000123433_90_90;0.336;0.425;0.365;0.116;0.351;0.364;0.459;0.77;0.367;0.395;0.116;0.111;0.395;1.0;0.495;0.0
ENSMUST00000141354_90_90;0.545;0.593;0.628;0.316;0.509;0.574;0.227;0.47;0.565;0.692;0.316;0.301;0.604;0.495;1.0;0.1
ENSMUST00000152426_90_90;0.281;0.053;0.262;0.399;0.27;0.256;0.0;0.0;0.287;0.312;0.494;0.459;0.309;0.0;0.1;1.0
