;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.1;0.108;0.133;0.131;0.134;0.108;0.123;0.123;0.154;0.152;0.123;0.129;0.125
transcript49_ENSMSIG00000000513;0.1;1.0;1.0;0.86;0.872;0.849;1.0;0.878;0.878;0.894;0.909;0.892;0.894;0.877
transcript49_MGP-SPRETEiJ-G0021131;0.108;1.0;1.0;0.959;0.973;0.946;0.718;0.65;0.67;0.663;0.674;0.724;0.716;0.711
transcript60_ENSMSIG00000000513;0.133;0.86;0.959;1.0;0.965;0.941;0.959;0.838;0.838;0.97;0.985;0.969;0.976;0.984
transcript61_ENSMSIG00000000513;0.131;0.872;0.973;0.965;1.0;0.976;0.973;0.851;0.851;0.955;0.97;0.969;0.976;0.954
transcript62_ENSMSIG00000000513;0.134;0.849;0.946;0.941;0.976;1.0;0.946;0.824;0.875;0.924;0.939;0.954;0.953;0.938
transcript40_MGP-SPRETEiJ-G0021131;0.108;1.0;0.718;0.959;0.973;0.946;1.0;0.883;0.854;0.988;1.0;1.0;1.0;0.987
transcript65_MGP-SPRETEiJ-G0021131;0.123;0.878;0.65;0.838;0.851;0.824;0.883;1.0;0.755;0.86;0.872;0.882;0.882;0.868
transcript66_MGP-SPRETEiJ-G0021131;0.123;0.878;0.67;0.838;0.851;0.875;0.854;0.755;1.0;0.826;0.837;0.855;0.853;0.842
transcript7_ENSMUSG00000054036;0.154;0.894;0.663;0.97;0.955;0.924;0.988;0.86;0.826;1.0;0.99;0.986;0.99;0.986
transcript46_ENSMUSG00000054036;0.152;0.909;0.674;0.985;0.97;0.939;1.0;0.872;0.837;0.99;1.0;1.0;1.0;1.0
transcript38_MGP-CAROLIEiJ-G0020234;0.123;0.892;0.724;0.969;0.969;0.954;1.0;0.882;0.855;0.986;1.0;1.0;1.0;0.978
transcript38_MGP-PahariEiJ-G0020237;0.129;0.894;0.716;0.976;0.976;0.953;1.0;0.882;0.853;0.99;1.0;1.0;1.0;0.978
transcript47_MGP-CAROLIEiJ-G0020234;0.125;0.877;0.711;0.984;0.954;0.938;0.987;0.868;0.842;0.986;1.0;0.978;0.978;1.0
