;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.287;0.263;0.567;0.456;0.627;0.315;0.245;0.603;0.542;0.489;0.431
ENST00000261210_90_90;0.287;1.0;0.221;0.461;0.532;0.429;0.322;0.202;0.344;0.368;0.392;0.423
ENST00000266732_90_90;0.263;0.221;1.0;0.189;0.203;0.181;0.078;0.923;0.164;0.171;0.177;0.184
ENST00000343315_90_90;0.567;0.461;0.189;1.0;0.85;0.925;0.487;0.171;0.639;0.688;0.626;0.558
ENST00000393053_90_90;0.456;0.532;0.203;0.85;1.0;0.786;0.441;0.184;0.519;0.558;0.596;0.646
ENST00000556029_90_90;0.627;0.429;0.181;0.925;0.786;1.0;0.449;0.164;0.706;0.639;0.582;0.519
ENST00000556678_90_90;0.315;0.322;0.078;0.487;0.441;0.449;1.0;0.079;0.295;0.319;0.343;0.266
ENSMUST00000020123_90_90;0.245;0.202;0.923;0.171;0.184;0.164;0.079;1.0;0.167;0.173;0.18;0.188
ENSMUST00000072239_90_90;0.603;0.344;0.164;0.639;0.519;0.706;0.295;0.167;1.0;0.923;0.854;0.78
ENSMUST00000092219_90_90;0.542;0.368;0.171;0.688;0.558;0.639;0.319;0.173;0.923;1.0;0.925;0.845
ENSMUST00000099355_90_90;0.489;0.392;0.177;0.626;0.596;0.582;0.343;0.18;0.854;0.925;1.0;0.913
ENSMUST00000105293_90_90;0.431;0.423;0.184;0.558;0.646;0.519;0.266;0.188;0.78;0.845;0.913;1.0
