;ENSCAFT00000031997_90_90;ENSCAFT00000046265_90_90;ENST00000223836_90_90;ENST00000373156_90_90;ENST00000373176_90_90;ENST00000413016_90_90;ENST00000550143_90_90;ENST00000550992_90_90;ENSMUST00000068271_90_90;ENSMUST00000113277_90_90;ENSMUST00000113278_90_90;ENSMUST00000156578_90_90;ENSMUST00000195721_90_90
ENSCAFT00000031997_90_90;1.0;0.903;0.998;0.906;0.906;0.641;0.243;0.0;1.0;0.903;0.903;0.408;0.443
ENSCAFT00000046265_90_90;0.903;1.0;0.904;0.997;0.997;0.694;0.263;0.009;0.903;0.976;0.976;0.441;0.479
ENST00000223836_90_90;0.998;0.904;1.0;0.903;0.903;0.641;0.243;0.0;0.998;0.904;0.904;0.409;0.443
ENST00000373156_90_90;0.906;0.997;0.903;1.0;1.0;0.694;0.263;0.01;0.904;0.978;0.978;0.442;0.48
ENST00000373176_90_90;0.906;0.997;0.903;1.0;1.0;0.694;0.263;0.01;0.904;0.978;0.978;0.442;0.48
ENST00000413016_90_90;0.641;0.694;0.641;0.694;0.694;1.0;0.301;0.0;0.641;0.694;0.694;0.153;0.222
ENST00000550143_90_90;0.243;0.263;0.243;0.263;0.263;0.301;1.0;0.0;0.243;0.263;0.263;0.25;0.377
ENST00000550992_90_90;0.0;0.009;0.0;0.01;0.01;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000068271_90_90;1.0;0.903;0.998;0.904;0.904;0.641;0.243;0.0;1.0;0.903;0.903;0.408;0.443
ENSMUST00000113277_90_90;0.903;0.976;0.904;0.978;0.978;0.694;0.263;0.0;0.903;1.0;1.0;0.459;0.497
ENSMUST00000113278_90_90;0.903;0.976;0.904;0.978;0.978;0.694;0.263;0.0;0.903;1.0;1.0;0.459;0.497
ENSMUST00000156578_90_90;0.408;0.441;0.409;0.442;0.442;0.153;0.25;0.0;0.408;0.459;0.459;1.0;0.829
ENSMUST00000195721_90_90;0.443;0.479;0.443;0.48;0.48;0.222;0.377;0.0;0.443;0.497;0.497;0.829;1.0
