;ENSCAFT00000027907_90_90;ENST00000344626_90_90;ENST00000413806_90_90;ENST00000429416_90_90;ENST00000444061_90_90;ENST00000450717_90_90;ENST00000541122_90_90;ENST00000586985_90_90;ENST00000589677_90_90;ENST00000590574_90_90;ENST00000592158_90_90;ENSMUST00000034707_90_90;ENSMUST00000098948_90_90;ENSMUST00000172996_90_90;ENSMUST00000174008_90_90
ENSCAFT00000027907_90_90;1.0;0.979;0.959;0.979;0.998;0.96;0.997;0.068;0.996;0.998;0.082;0.998;0.997;0.746;0.998
ENST00000344626_90_90;0.979;1.0;0.942;1.0;0.979;0.981;0.978;0.067;0.978;0.98;0.081;0.98;0.978;0.766;0.979
ENST00000413806_90_90;0.959;0.942;1.0;0.942;0.96;0.924;0.962;0.066;0.961;0.96;0.081;0.96;0.962;0.719;0.959
ENST00000429416_90_90;0.979;1.0;0.942;1.0;0.979;0.981;0.978;0.067;0.978;0.98;0.081;0.98;0.978;0.766;0.979
ENST00000444061_90_90;0.998;0.979;0.96;0.979;1.0;0.961;0.998;0.068;0.998;0.999;0.083;0.999;0.997;0.746;1.0
ENST00000450717_90_90;0.96;0.981;0.924;0.981;0.961;1.0;0.96;0.066;0.959;0.961;0.079;0.961;0.96;0.751;0.961
ENST00000541122_90_90;0.997;0.978;0.962;0.978;0.998;0.96;1.0;0.068;0.999;0.998;0.084;0.998;1.0;0.747;0.997
ENST00000586985_90_90;0.068;0.067;0.066;0.067;0.068;0.066;0.068;1.0;0.068;0.068;0.0;0.068;0.068;0.0;0.068
ENST00000589677_90_90;0.996;0.978;0.961;0.978;0.998;0.959;0.999;0.068;1.0;0.998;0.084;0.997;0.999;0.748;0.998
ENST00000590574_90_90;0.998;0.98;0.96;0.98;0.999;0.961;0.998;0.068;0.998;1.0;0.082;1.0;0.998;0.746;0.999
ENST00000592158_90_90;0.082;0.081;0.081;0.081;0.083;0.079;0.084;0.0;0.084;0.082;1.0;0.082;0.084;0.107;0.082
ENSMUST00000034707_90_90;0.998;0.98;0.96;0.98;0.999;0.961;0.998;0.068;0.997;1.0;0.082;1.0;0.998;0.746;0.999
ENSMUST00000098948_90_90;0.997;0.978;0.962;0.978;0.997;0.96;1.0;0.068;0.999;0.998;0.084;0.998;1.0;0.748;0.998
ENSMUST00000172996_90_90;0.746;0.766;0.719;0.766;0.746;0.751;0.747;0.0;0.748;0.746;0.107;0.746;0.748;1.0;0.746
ENSMUST00000174008_90_90;0.998;0.979;0.959;0.979;1.0;0.961;0.997;0.068;0.998;0.999;0.082;0.999;0.998;0.746;1.0
