;transcript8_ENSMSIG00000000513;transcript47_MGP-SPRETEiJ-G0021131;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript47_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript42_ENSRNOG00000031503;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649;transcript47_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;0.302;1.0;0.966;0.302;0.893;0.831;0.114;0.129;0.143;0.148;0.181;0.155;0.159;0.144;0.158;0.153;0.168;0.132
transcript47_MGP-SPRETEiJ-G0021131;0.302;1.0;0.302;0.269;1.0;0.195;0.355;0.05;0.042;0.044;0.046;0.056;0.049;0.051;0.046;0.05;0.049;0.054;0.041
transcript8_ENSMUSG00000054036;1.0;0.302;1.0;0.966;0.302;0.893;0.831;0.114;0.129;0.143;0.148;0.181;0.155;0.159;0.144;0.158;0.153;0.168;0.132
transcript42_ENSMUSG00000054036;0.966;0.269;0.966;1.0;0.269;0.924;0.796;0.115;0.129;0.139;0.143;0.176;0.15;0.153;0.139;0.152;0.148;0.163;0.127
transcript47_ENSMUSG00000054036;0.302;1.0;0.302;0.269;1.0;0.195;0.355;0.05;0.042;0.044;0.046;0.056;0.049;0.051;0.046;0.05;0.049;0.054;0.041
transcript54_ENSMUSG00000054036;0.893;0.195;0.893;0.924;0.195;1.0;0.722;0.101;0.117;0.128;0.132;0.163;0.139;0.141;0.128;0.14;0.136;0.149;0.117
transcript55_ENSMUSG00000054036;0.831;0.355;0.831;0.796;0.355;0.722;1.0;0.09;0.108;0.119;0.123;0.152;0.13;0.135;0.122;0.134;0.131;0.143;0.11
transcript8_ENSRNOG00000031503;0.114;0.05;0.114;0.115;0.05;0.101;0.09;1.0;0.801;0.588;0.561;0.453;0.534;0.492;0.55;0.499;0.514;0.471;0.637
transcript42_ENSRNOG00000031503;0.129;0.042;0.129;0.129;0.042;0.117;0.108;0.801;1.0;0.721;0.695;0.593;0.669;0.611;0.665;0.618;0.631;0.592;0.768
transcript7_ENSMUGG00000013649;0.143;0.044;0.143;0.139;0.044;0.128;0.119;0.588;0.721;1.0;0.972;0.788;0.923;0.853;0.942;0.86;0.885;0.804;0.919
transcript44_ENSMUGG00000013649;0.148;0.046;0.148;0.143;0.046;0.132;0.123;0.561;0.695;0.972;1.0;0.811;0.95;0.825;0.913;0.833;0.857;0.776;0.893
transcript47_ENSMUGG00000013649;0.181;0.056;0.181;0.176;0.056;0.163;0.152;0.453;0.593;0.788;0.811;1.0;0.762;0.656;0.746;0.664;0.69;0.607;0.724
transcript48_ENSMUGG00000013649;0.155;0.049;0.155;0.15;0.049;0.139;0.13;0.534;0.669;0.923;0.95;0.762;1.0;0.782;0.871;0.789;0.814;0.733;0.847
transcript7_ENSMUGG00000013592;0.159;0.051;0.159;0.153;0.051;0.141;0.135;0.492;0.611;0.853;0.825;0.656;0.782;1.0;0.905;0.992;0.845;0.759;0.783
transcript28_ENSMUGG00000013592;0.144;0.046;0.144;0.139;0.046;0.128;0.122;0.55;0.665;0.942;0.913;0.746;0.871;0.905;1.0;0.913;0.94;0.853;0.865
transcript52_ENSMUGG00000013592;0.158;0.05;0.158;0.152;0.05;0.14;0.134;0.499;0.618;0.86;0.833;0.664;0.789;0.992;0.913;1.0;0.853;0.766;0.79
transcript53_ENSMUGG00000013592;0.153;0.049;0.153;0.148;0.049;0.136;0.131;0.514;0.631;0.885;0.857;0.69;0.814;0.845;0.94;0.853;1.0;0.793;0.813
transcript54_ENSMUGG00000013592;0.168;0.054;0.168;0.163;0.054;0.149;0.143;0.471;0.592;0.804;0.776;0.607;0.733;0.759;0.853;0.766;0.793;1.0;0.738
transcript25_ENSPEMG00000024651;0.132;0.041;0.132;0.127;0.041;0.117;0.11;0.637;0.768;0.919;0.893;0.724;0.847;0.783;0.865;0.79;0.813;0.738;1.0
