;ENSCAFT00000008733_90_90;ENST00000323039_90_90;ENST00000348817_90_90;ENST00000430012_90_90;ENST00000593685_90_90;ENST00000597639_90_90;ENST00000600611_90_90;ENST00000601972_90_90;ENSMUST00000085901_90_90;ENSMUST00000172467_90_90;ENSMUST00000172761_90_90
ENSCAFT00000008733_90_90;1.0;0.907;0.907;0.907;0.907;0.907;0.266;0.192;0.908;1.0;0.907
ENST00000323039_90_90;0.907;1.0;0.955;0.936;1.0;0.955;0.275;0.193;0.999;0.912;0.936
ENST00000348817_90_90;0.907;0.955;1.0;0.98;0.955;1.0;0.287;0.202;0.955;0.872;0.979
ENST00000430012_90_90;0.907;0.936;0.98;1.0;0.936;0.98;0.293;0.206;0.936;0.854;0.999
ENST00000593685_90_90;0.907;1.0;0.955;0.936;1.0;0.955;0.275;0.193;0.999;0.912;0.936
ENST00000597639_90_90;0.907;0.955;1.0;0.98;0.955;1.0;0.287;0.202;0.955;0.872;0.979
ENST00000600611_90_90;0.266;0.275;0.287;0.293;0.275;0.287;1.0;0.668;0.274;0.25;0.293
ENST00000601972_90_90;0.192;0.193;0.202;0.206;0.193;0.202;0.668;1.0;0.198;0.18;0.211
ENSMUST00000085901_90_90;0.908;0.999;0.955;0.936;0.999;0.955;0.274;0.198;1.0;0.913;0.936
ENSMUST00000172467_90_90;1.0;0.912;0.872;0.854;0.912;0.872;0.25;0.18;0.913;1.0;0.855
ENSMUST00000172761_90_90;0.907;0.936;0.979;0.999;0.936;0.979;0.293;0.211;0.936;0.855;1.0
