;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript19_ENSMUNG00000007775;transcript19_ENSMUNG00000002377;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.742;0.742;1.0;0.957;0.957;0.742;0.957;0.957;0.957;1.0;1.0
transcript7_ENSMUNG00000007775;0.742;1.0;1.0;1.0;0.776;0.776;1.0;0.776;0.776;0.776;0.596;0.595
transcript7_ENSMUNG00000002377;0.742;1.0;1.0;1.0;0.776;0.776;1.0;0.776;0.776;0.776;0.596;0.595
transcript7_ENSMUNG00000002391;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript19_ENSMUNG00000007775;0.957;0.776;0.776;1.0;1.0;1.0;0.776;1.0;1.0;1.0;0.768;0.767
transcript19_ENSMUNG00000002377;0.957;0.776;0.776;1.0;1.0;1.0;0.776;1.0;1.0;1.0;0.768;0.767
transcript22_ENSMUNG00000007775;0.742;1.0;1.0;1.0;0.776;0.776;1.0;0.776;0.776;0.776;0.596;0.595
transcript23_ENSMUNG00000007775;0.957;0.776;0.776;1.0;1.0;1.0;0.776;1.0;1.0;1.0;0.768;0.767
transcript27_ENSMUNG00000002377;0.957;0.776;0.776;1.0;1.0;1.0;0.776;1.0;1.0;1.0;0.768;0.767
transcript28_ENSMUNG00000002377;0.957;0.776;0.776;1.0;1.0;1.0;0.776;1.0;1.0;1.0;0.768;0.767
transcript3_ENSPNYG00000024266;1.0;0.596;0.596;1.0;0.768;0.768;0.596;0.768;0.768;0.768;1.0;1.0
transcript3_ENSXMAG00000026005;1.0;0.595;0.595;1.0;0.767;0.767;0.595;0.767;0.767;0.767;1.0;1.0
