;ENSCAFT00000023590_90_90;ENST00000299259_90_90;ENST00000388901_90_90;ENST00000542928_90_90;ENST00000558843_90_90;ENST00000560240_90_90;ENST00000561248_90_90;ENSMUST00000028635_90_90;ENSMUST00000110462_90_90;ENSMUST00000110463_90_90
ENSCAFT00000023590_90_90;1.0;0.983;0.998;0.854;0.594;0.102;0.412;0.998;0.876;0.983
ENST00000299259_90_90;0.983;1.0;0.984;0.842;0.586;0.1;0.407;0.984;0.893;1.0
ENST00000388901_90_90;0.998;0.984;1.0;0.856;0.595;0.102;0.413;1.0;0.878;0.984
ENST00000542928_90_90;0.854;0.842;0.856;1.0;0.451;0.119;0.483;0.856;0.736;0.842
ENST00000558843_90_90;0.594;0.586;0.595;0.451;1.0;0.0;0.694;0.595;0.479;0.586
ENST00000560240_90_90;0.102;0.1;0.102;0.119;0.0;1.0;0.0;0.102;0.112;0.1
ENST00000561248_90_90;0.412;0.407;0.413;0.483;0.694;0.0;1.0;0.413;0.3;0.407
ENSMUST00000028635_90_90;0.998;0.984;1.0;0.856;0.595;0.102;0.413;1.0;0.878;0.984
ENSMUST00000110462_90_90;0.876;0.893;0.878;0.736;0.479;0.112;0.3;0.878;1.0;0.893
ENSMUST00000110463_90_90;0.983;1.0;0.984;0.842;0.586;0.1;0.407;0.984;0.893;1.0
