;ENSCAFT00000016649_90_90;ENST00000360194_90_90;ENST00000525338_90_90;ENST00000528985_90_90;ENST00000529731_90_90;ENST00000530043_90_90;ENST00000533050_90_90;ENST00000627851_90_90;ENSMUST00000059057_90_90;ENSMUST00000063782_90_90;ENSMUST00000121564_90_90;ENSMUST00000125087_90_90;ENSMUST00000133739_90_90;ENSMUST00000214230_90_90;ENSMUST00000217306_90_90
ENSCAFT00000016649_90_90;1.0;0.889;0.5;0.889;0.833;0.333;0.944;0.833;0.944;0.833;0.944;0.444;0.222;0.111;0.111
ENST00000360194_90_90;0.889;1.0;0.5;0.895;0.8;0.333;0.9;0.8;0.8;0.7;0.8;0.471;0.158;0.118;0.118
ENST00000525338_90_90;0.5;0.5;1.0;0.5;0.5;0.5;0.45;0.5;0.4;0.444;0.4;0.545;0.167;0.222;0.1
ENST00000528985_90_90;0.889;0.895;0.5;1.0;0.714;0.333;0.81;0.714;0.8;0.7;0.8;0.471;0.158;0.118;0.118
ENST00000529731_90_90;0.833;0.8;0.5;0.714;1.0;0.263;0.9;1.0;0.8;0.889;0.8;0.316;0.294;0.118;0.118
ENST00000530043_90_90;0.333;0.333;0.5;0.333;0.263;1.0;0.3;0.263;0.25;0.211;0.25;0.556;0.1;0.333;0.0
ENST00000533050_90_90;0.944;0.9;0.45;0.81;0.9;0.3;1.0;0.9;0.9;0.8;0.9;0.421;0.263;0.105;0.105
ENST00000627851_90_90;0.833;0.8;0.5;0.714;1.0;0.263;0.9;1.0;0.8;0.889;0.8;0.316;0.294;0.118;0.118
ENSMUST00000059057_90_90;0.944;0.8;0.4;0.8;0.8;0.25;0.9;0.8;1.0;0.9;1.0;0.45;0.25;0.045;0.1
ENSMUST00000063782_90_90;0.833;0.7;0.444;0.7;0.889;0.211;0.8;0.889;0.9;1.0;0.9;0.35;0.278;0.05;0.111
ENSMUST00000121564_90_90;0.944;0.8;0.4;0.8;0.8;0.25;0.9;0.8;1.0;0.9;1.0;0.45;0.25;0.045;0.1
ENSMUST00000125087_90_90;0.444;0.471;0.545;0.471;0.316;0.556;0.421;0.316;0.45;0.35;0.45;1.0;0.167;0.091;0.0
ENSMUST00000133739_90_90;0.222;0.158;0.167;0.158;0.294;0.1;0.263;0.294;0.25;0.278;0.25;0.167;1.0;0.0;0.0
ENSMUST00000214230_90_90;0.111;0.118;0.222;0.118;0.118;0.333;0.105;0.118;0.045;0.05;0.045;0.091;0.0;1.0;0.0
ENSMUST00000217306_90_90;0.111;0.118;0.1;0.118;0.118;0.0;0.105;0.118;0.1;0.111;0.1;0.0;0.0;0.0;1.0
