;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.843;1.0;1.0;1.0;0.556;0.519;0.843;0.667;1.0;0.917;1.0;1.0;1.0
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.827;1.0;1.0;1.0;0.556;0.519;0.843;0.667;1.0;0.917;1.0;1.0;1.0
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.843;1.0;1.0;1.0;0.556;0.519;0.843;0.667;1.0;0.917;1.0;1.0;1.0
transcript22_ENSAPOG00000016134;0.917;0.917;0.917;1.0;1.0;0.912;0.525;0.364;0.222;0.222;0.93;0.9;0.917;0.917;0.917;0.472;0.435;0.881;0.71;0.917;0.833;0.917;0.917;0.917
transcript22_ENSAPOG00000023408;0.917;0.917;0.917;1.0;1.0;0.912;0.525;0.364;0.222;0.222;0.93;0.882;0.917;0.917;0.917;0.472;0.435;0.881;0.71;0.917;0.833;0.917;0.917;0.917
transcript22_ENSPNYG00000024266;0.889;0.889;0.889;0.912;0.912;1.0;0.526;0.375;0.229;0.229;0.845;0.816;0.889;0.889;0.889;0.444;0.407;0.929;0.735;0.889;0.806;0.889;0.889;0.889
transcript27_ENSAPOG00000016134;0.481;0.481;0.481;0.525;0.525;0.526;1.0;0.443;0.423;0.396;0.553;0.571;0.481;0.481;0.481;0.383;0.385;0.521;0.393;0.481;0.48;0.481;0.481;0.481
transcript27_ENSAOCG00000015695;0.333;0.333;0.333;0.364;0.364;0.375;0.443;1.0;0.568;0.611;0.383;0.351;0.333;0.333;0.333;0.6;0.643;0.396;0.333;0.333;0.364;0.333;0.333;0.333
transcript28_ENSAPOG00000016134;0.204;0.204;0.204;0.222;0.222;0.229;0.423;0.568;1.0;0.913;0.234;0.242;0.204;0.204;0.204;0.344;0.368;0.242;0.16;0.204;0.222;0.204;0.204;0.204
transcript28_ENSAOCG00000015695;0.204;0.204;0.204;0.222;0.222;0.229;0.396;0.611;0.913;1.0;0.234;0.242;0.204;0.204;0.204;0.367;0.393;0.242;0.16;0.204;0.222;0.204;0.204;0.204
transcript32_ENSAPOG00000023408;0.87;0.87;0.87;0.93;0.93;0.845;0.553;0.383;0.234;0.234;1.0;0.948;0.87;0.87;0.87;0.426;0.429;0.85;0.677;0.87;0.787;0.87;0.87;0.87
transcript33_ENSAPOG00000023408;0.843;0.827;0.843;0.9;0.882;0.816;0.571;0.351;0.242;0.242;0.948;1.0;0.843;0.843;0.843;0.398;0.4;0.82;0.646;0.843;0.759;0.843;0.843;0.843
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.843;1.0;1.0;1.0;0.556;0.519;0.843;0.667;1.0;0.917;1.0;1.0;1.0
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.843;1.0;1.0;1.0;0.556;0.519;0.827;0.655;1.0;0.917;1.0;1.0;1.0
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.843;1.0;1.0;1.0;0.556;0.519;0.843;0.667;0.923;0.892;1.0;0.931;0.923
transcript26_ENSAOCG00000015695;0.556;0.556;0.556;0.472;0.472;0.444;0.383;0.6;0.344;0.367;0.426;0.398;0.556;0.556;0.556;1.0;0.933;0.398;0.333;0.556;0.606;0.556;0.556;0.556
transcript29_ENSAOCG00000015695;0.519;0.519;0.519;0.435;0.435;0.407;0.385;0.643;0.368;0.393;0.429;0.4;0.519;0.519;0.519;0.933;1.0;0.361;0.293;0.519;0.566;0.519;0.519;0.519
transcript14_ENSPNYG00000024266;0.843;0.843;0.843;0.881;0.881;0.929;0.521;0.396;0.242;0.242;0.85;0.82;0.843;0.827;0.843;0.398;0.361;1.0;0.758;0.843;0.759;0.843;0.843;0.843
transcript21_ENSPNYG00000024266;0.667;0.667;0.667;0.71;0.71;0.735;0.393;0.333;0.16;0.16;0.677;0.646;0.667;0.655;0.667;0.333;0.293;0.758;1.0;0.667;0.583;0.667;0.667;0.667
transcript3_ENSXMAG00000026005;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.843;1.0;1.0;0.923;0.556;0.519;0.843;0.667;1.0;0.825;0.923;0.991;1.0
transcript10_ENSXMAG00000026005;0.917;0.917;0.917;0.833;0.833;0.806;0.48;0.364;0.222;0.222;0.787;0.759;0.917;0.917;0.892;0.606;0.566;0.759;0.583;0.825;1.0;0.892;0.832;0.825
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.843;1.0;1.0;1.0;0.556;0.519;0.843;0.667;0.923;0.892;1.0;0.931;0.923
transcript16_ENSXMAG00000026005;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.843;1.0;1.0;0.931;0.556;0.519;0.843;0.667;0.991;0.832;0.931;1.0;0.991
transcript17_ENSXMAG00000026005;1.0;1.0;1.0;0.917;0.917;0.889;0.481;0.333;0.204;0.204;0.87;0.843;1.0;1.0;0.923;0.556;0.519;0.843;0.667;1.0;0.825;0.923;0.991;1.0
