;ENSCAFT00000014740_90_90;ENST00000262493_90_90;ENST00000262494_90_90;ENST00000562316_90_90;ENST00000563661_90_90;ENST00000564727_90_90;ENST00000568375_90_90;ENST00000569295_90_90;ENST00000570235_90_90;ENST00000638705_90_90;ENST00000639268_90_90;ENST00000639341_90_90;ENST00000639770_90_90;ENST00000640469_90_90;ENST00000640893_90_90;ENSMUST00000034198_90_90;ENSMUST00000125716_90_90;ENSMUST00000127900_90_90;ENSMUST00000137202_90_90;ENSMUST00000138659_90_90;ENSMUST00000142466_90_90;ENSMUST00000149530_90_90
ENSCAFT00000014740_90_90;1.0;0.599;0.944;0.38;0.272;0.034;0.161;0.194;0.154;0.599;0.195;0.231;0.113;0.102;0.4;0.639;0.639;0.288;0.607;1.0;0.034;0.036
ENST00000262493_90_90;0.599;1.0;0.639;0.474;0.284;0.235;0.222;0.147;0.142;1.0;0.181;0.526;0.105;0.376;0.406;0.952;0.952;0.236;0.515;0.599;0.235;0.128
ENST00000262494_90_90;0.944;0.639;1.0;0.38;0.308;0.034;0.161;0.159;0.154;0.639;0.195;0.231;0.113;0.102;0.442;0.599;0.599;0.252;0.558;0.944;0.034;0.036
ENST00000562316_90_90;0.38;0.474;0.38;1.0;0.0;0.252;0.239;0.0;0.0;0.474;0.13;0.495;0.0;0.29;0.132;0.474;0.474;0.116;0.444;0.38;0.252;0.356
ENST00000563661_90_90;0.272;0.284;0.308;0.0;1.0;0.0;0.0;0.445;0.388;0.284;0.127;0.0;0.299;0.0;0.673;0.255;0.255;0.249;0.198;0.272;0.0;0.0
ENST00000564727_90_90;0.034;0.235;0.034;0.252;0.0;1.0;0.266;0.0;0.0;0.235;0.0;0.43;0.0;0.587;0.0;0.235;0.235;0.0;0.0;0.034;1.0;0.548
ENST00000568375_90_90;0.161;0.222;0.161;0.239;0.0;0.266;1.0;0.0;0.0;0.222;0.0;0.424;0.0;0.445;0.0;0.222;0.222;0.0;0.133;0.161;0.266;0.097
ENST00000569295_90_90;0.194;0.147;0.159;0.0;0.445;0.0;0.0;1.0;0.618;0.147;0.0;0.0;0.495;0.0;0.35;0.176;0.176;0.064;0.076;0.194;0.0;0.0
ENST00000570235_90_90;0.154;0.142;0.154;0.0;0.388;0.0;0.0;0.618;1.0;0.142;0.0;0.0;0.408;0.0;0.319;0.142;0.142;0.0;0.037;0.154;0.0;0.0
ENST00000638705_90_90;0.599;1.0;0.639;0.474;0.284;0.235;0.222;0.147;0.142;1.0;0.181;0.526;0.105;0.376;0.406;0.952;0.952;0.236;0.515;0.599;0.235;0.128
ENST00000639268_90_90;0.195;0.181;0.195;0.13;0.127;0.0;0.0;0.0;0.0;0.181;1.0;0.0;0.0;0.0;0.106;0.181;0.181;0.675;0.335;0.195;0.0;0.0
ENST00000639341_90_90;0.231;0.526;0.231;0.495;0.0;0.43;0.424;0.0;0.0;0.526;0.0;1.0;0.0;0.713;0.099;0.526;0.526;0.0;0.232;0.231;0.43;0.227
ENST00000639770_90_90;0.113;0.105;0.113;0.0;0.299;0.0;0.0;0.495;0.408;0.105;0.0;0.0;1.0;0.0;0.241;0.105;0.105;0.0;0.039;0.113;0.0;0.0
ENST00000640469_90_90;0.102;0.376;0.102;0.29;0.0;0.587;0.445;0.0;0.0;0.376;0.0;0.713;0.0;1.0;0.0;0.376;0.376;0.0;0.06;0.102;0.587;0.305
ENST00000640893_90_90;0.4;0.406;0.442;0.132;0.673;0.0;0.0;0.35;0.319;0.406;0.106;0.099;0.241;0.0;1.0;0.372;0.372;0.209;0.369;0.4;0.0;0.0
ENSMUST00000034198_90_90;0.639;0.952;0.599;0.474;0.255;0.235;0.222;0.176;0.142;0.952;0.181;0.526;0.105;0.376;0.372;1.0;1.0;0.266;0.554;0.639;0.235;0.128
ENSMUST00000125716_90_90;0.639;0.952;0.599;0.474;0.255;0.235;0.222;0.176;0.142;0.952;0.181;0.526;0.105;0.376;0.372;1.0;1.0;0.266;0.554;0.639;0.235;0.128
ENSMUST00000127900_90_90;0.288;0.236;0.252;0.116;0.249;0.0;0.0;0.064;0.0;0.236;0.675;0.0;0.0;0.0;0.209;0.266;0.266;1.0;0.488;0.288;0.0;0.0
ENSMUST00000137202_90_90;0.607;0.515;0.558;0.444;0.198;0.0;0.133;0.076;0.037;0.515;0.335;0.232;0.039;0.06;0.369;0.554;0.554;0.488;1.0;0.607;0.0;0.0
ENSMUST00000138659_90_90;1.0;0.599;0.944;0.38;0.272;0.034;0.161;0.194;0.154;0.599;0.195;0.231;0.113;0.102;0.4;0.639;0.639;0.288;0.607;1.0;0.034;0.036
ENSMUST00000142466_90_90;0.034;0.235;0.034;0.252;0.0;1.0;0.266;0.0;0.0;0.235;0.0;0.43;0.0;0.587;0.0;0.235;0.235;0.0;0.0;0.034;1.0;0.548
ENSMUST00000149530_90_90;0.036;0.128;0.036;0.356;0.0;0.548;0.097;0.0;0.0;0.128;0.0;0.227;0.0;0.305;0.0;0.128;0.128;0.0;0.0;0.036;0.548;1.0
