;transcript9_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript20_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript27_ENSHGLG00100003156;transcript14_ENSHGLG00100003156;transcript43_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript40_ENSHGLG00000019563;transcript32_ENSHGLG00100003156;transcript33_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript9_ENSHGLG00100006079;transcript8_ENSHGLG00100006079
transcript9_ENSHGLG00100003156;1.0;1.0;1.0;1.0;0.909;0.802;0.905;0.944;0.944;0.78;1.0;1.0;1.0;0.936
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;0.909;0.802;0.905;0.944;0.944;0.78;1.0;1.0;1.0;0.936
transcript20_ENSHGLG00000019563;1.0;1.0;1.0;1.0;0.909;0.802;0.905;0.944;0.944;0.78;1.0;1.0;1.0;0.936
transcript28_ENSHGLG00000019563;1.0;1.0;1.0;1.0;0.909;0.802;0.905;0.944;0.944;0.78;1.0;1.0;1.0;0.936
transcript27_ENSHGLG00100003156;0.909;0.909;0.909;0.909;1.0;0.883;0.814;0.853;0.853;0.69;0.909;0.909;0.909;0.845
transcript14_ENSHGLG00100003156;0.802;0.802;0.802;0.802;0.883;1.0;0.786;0.746;0.746;0.772;0.802;0.802;0.802;0.738
transcript43_ENSHGLG00000019563;0.905;0.905;0.905;0.905;0.814;0.786;1.0;0.849;0.849;0.764;0.905;0.905;0.905;0.841
transcript26_ENSHGLG00000019563;0.944;0.944;0.944;0.944;0.853;0.746;0.849;1.0;1.0;0.724;0.944;0.944;0.944;0.879
transcript40_ENSHGLG00000019563;0.944;0.944;0.944;0.944;0.853;0.746;0.849;1.0;1.0;0.724;0.944;0.944;0.944;0.879
transcript32_ENSHGLG00100003156;0.78;0.78;0.78;0.78;0.69;0.772;0.764;0.724;0.724;1.0;0.78;0.78;0.78;0.717
transcript33_ENSHGLG00100006079;1.0;1.0;1.0;1.0;0.909;0.802;0.905;0.944;0.944;0.78;1.0;1.0;1.0;0.936
transcript22_ENSHGLG00100006079;1.0;1.0;1.0;1.0;0.909;0.802;0.905;0.944;0.944;0.78;1.0;1.0;1.0;0.936
transcript9_ENSHGLG00100006079;1.0;1.0;1.0;1.0;0.909;0.802;0.905;0.944;0.944;0.78;1.0;1.0;1.0;0.936
transcript8_ENSHGLG00100006079;0.936;0.936;0.936;0.936;0.845;0.738;0.841;0.879;0.879;0.717;0.936;0.936;0.936;1.0
