;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript38_MGP-PahariEiJ-G0020237;transcript66_MGP-SPRETEiJ-G0021131;transcript40_MGP-SPRETEiJ-G0021131
transcript8_ENSMSIG00000000513;1.0;0.115;0.119;0.101;0.114;0.111;0.132;0.131;0.163;0.167;0.163;0.115;0.103;0.092
transcript49_ENSMSIG00000000513;0.115;1.0;0.912;0.651;0.537;0.547;0.553;0.56;0.829;0.811;0.829;0.636;0.667;0.705
transcript49_MGP-SPRETEiJ-G0021131;0.119;0.912;1.0;0.707;0.493;0.504;0.532;0.539;0.77;0.752;0.77;0.595;0.725;0.762
transcript65_MGP-SPRETEiJ-G0021131;0.101;0.651;0.707;1.0;0.566;0.576;0.648;0.655;0.557;0.543;0.557;0.712;0.8;0.905
transcript47_MGP-CAROLIEiJ-G0020234;0.114;0.537;0.493;0.566;1.0;0.973;0.655;0.662;0.574;0.57;0.609;0.743;0.556;0.616
transcript38_MGP-CAROLIEiJ-G0020234;0.111;0.547;0.504;0.576;0.973;1.0;0.652;0.66;0.572;0.569;0.596;0.752;0.566;0.626
transcript7_ENSMUSG00000054036;0.132;0.553;0.532;0.648;0.655;0.652;1.0;0.992;0.556;0.542;0.589;0.787;0.627;0.72
transcript46_ENSMUSG00000054036;0.131;0.56;0.539;0.655;0.662;0.66;0.992;1.0;0.562;0.549;0.596;0.793;0.634;0.727
transcript61_ENSMSIG00000000513;0.163;0.829;0.77;0.557;0.574;0.572;0.556;0.562;1.0;0.981;0.944;0.691;0.569;0.608
transcript62_ENSMSIG00000000513;0.167;0.811;0.752;0.543;0.57;0.569;0.542;0.549;0.981;1.0;0.925;0.678;0.578;0.594
transcript60_ENSMSIG00000000513;0.163;0.829;0.77;0.557;0.609;0.596;0.589;0.596;0.944;0.925;1.0;0.703;0.569;0.608
transcript38_MGP-PahariEiJ-G0020237;0.115;0.636;0.595;0.712;0.743;0.752;0.787;0.793;0.691;0.678;0.703;1.0;0.693;0.791
transcript66_MGP-SPRETEiJ-G0021131;0.103;0.667;0.725;0.8;0.556;0.566;0.627;0.634;0.569;0.578;0.569;0.693;1.0;0.881
transcript40_MGP-SPRETEiJ-G0021131;0.092;0.705;0.762;0.905;0.616;0.626;0.72;0.727;0.608;0.594;0.608;0.791;0.881;1.0
