;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.839;0.871;0.562;0.414;0.552;0.129;0.379;0.226;0.759;0.125;0.586;0.581;0.828;0.933;0.9;0.156;0.533;0.567;0.448;0.207;0.276;0.323;0.483
ENST00000391851_90_90;0.839;1.0;0.966;0.633;0.429;0.571;0.172;0.393;0.276;0.786;0.094;0.607;0.714;0.793;0.839;0.867;0.059;0.5;0.533;0.464;0.172;0.286;0.333;0.5
ENST00000454376_90_90;0.871;0.966;1.0;0.667;0.414;0.552;0.167;0.379;0.267;0.759;0.125;0.586;0.69;0.767;0.871;0.839;0.088;0.484;0.516;0.448;0.167;0.276;0.323;0.483
ENST00000524771_90_90;0.562;0.633;0.667;1.0;0.571;0.609;0.227;0.524;0.364;0.483;0.12;0.583;0.519;0.452;0.562;0.531;0.074;0.357;0.444;0.259;0.038;0.381;0.435;0.207
ENST00000526224_90_90;0.414;0.429;0.414;0.571;1.0;0.75;0.125;0.917;0.312;0.545;0.0;0.706;0.391;0.44;0.414;0.429;0.0;0.318;0.429;0.316;0.0;0.538;0.5;0.182
ENST00000527382_90_90;0.552;0.571;0.552;0.609;0.75;1.0;0.1;0.688;0.25;0.727;0.0;0.941;0.333;0.6;0.552;0.571;0.0;0.269;0.36;0.381;0.0;0.412;0.4;0.364
ENST00000528623_90_90;0.129;0.172;0.167;0.227;0.125;0.1;1.0;0.133;0.667;0.077;0.0;0.095;0.238;0.034;0.129;0.133;0.0;0.211;0.2;0.0;0.0;0.273;0.286;0.0
ENST00000529284_90_90;0.379;0.393;0.379;0.524;0.917;0.688;0.133;1.0;0.333;0.5;0.0;0.647;0.409;0.4;0.379;0.393;0.0;0.333;0.45;0.263;0.0;0.583;0.533;0.136
ENST00000529836_90_90;0.226;0.276;0.267;0.364;0.312;0.25;0.667;0.333;1.0;0.192;0.0;0.238;0.381;0.138;0.226;0.233;0.0;0.368;0.35;0.0;0.0;0.545;0.4;0.0
ENST00000532489_90_90;0.759;0.786;0.759;0.483;0.545;0.727;0.077;0.5;0.192;1.0;0.0;0.773;0.5;0.84;0.759;0.786;0.0;0.393;0.429;0.591;0.12;0.304;0.308;0.636
ENST00000534280_90_90;0.125;0.094;0.125;0.12;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.125;0.069;0.091;0.061;0.667;0.091;0.087;0.0;0.182;0.0;0.0;0.0
ENST00000534465_90_90;0.586;0.607;0.586;0.583;0.706;0.941;0.095;0.647;0.238;0.773;0.0;1.0;0.321;0.64;0.586;0.607;0.0;0.259;0.346;0.429;0.0;0.389;0.381;0.409
ENST00000610806_90_90;0.581;0.714;0.69;0.519;0.391;0.333;0.238;0.409;0.381;0.5;0.125;0.321;1.0;0.517;0.581;0.6;0.077;0.682;0.727;0.269;0.238;0.333;0.455;0.214
ENSMUST00000045325_90_90;0.828;0.793;0.767;0.452;0.44;0.6;0.034;0.4;0.138;0.84;0.069;0.64;0.517;1.0;0.828;0.857;0.103;0.464;0.5;0.542;0.25;0.231;0.241;0.583
ENSMUST00000107843_90_90;0.933;0.839;0.871;0.562;0.414;0.552;0.129;0.379;0.226;0.759;0.091;0.586;0.581;0.828;1.0;0.966;0.121;0.586;0.621;0.448;0.207;0.276;0.367;0.483
ENSMUST00000207370_90_90;0.9;0.867;0.839;0.531;0.429;0.571;0.133;0.393;0.233;0.786;0.061;0.607;0.6;0.857;0.966;1.0;0.091;0.607;0.643;0.464;0.214;0.286;0.379;0.5
ENSMUST00000207522_90_90;0.156;0.059;0.088;0.074;0.0;0.0;0.0;0.0;0.0;0.0;0.667;0.0;0.077;0.103;0.121;0.091;1.0;0.136;0.13;0.0;0.273;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.533;0.5;0.484;0.357;0.318;0.269;0.211;0.333;0.368;0.393;0.091;0.259;0.682;0.464;0.586;0.607;0.136;1.0;0.75;0.154;0.353;0.389;0.45;0.148
ENSMUST00000208312_90_90;0.567;0.533;0.516;0.444;0.429;0.36;0.2;0.45;0.35;0.429;0.087;0.346;0.727;0.5;0.621;0.643;0.13;0.75;1.0;0.24;0.2;0.368;0.579;0.143
ENSMUST00000208778_90_90;0.448;0.464;0.448;0.259;0.316;0.381;0.0;0.263;0.0;0.591;0.0;0.429;0.269;0.542;0.448;0.464;0.0;0.154;0.24;1.0;0.118;0.05;0.136;0.688
ENSMUST00000208829_90_90;0.207;0.172;0.167;0.038;0.0;0.0;0.0;0.0;0.0;0.12;0.182;0.0;0.238;0.25;0.207;0.214;0.273;0.353;0.2;0.118;1.0;0.0;0.0;0.176
ENSMUST00000208938_90_90;0.276;0.286;0.276;0.381;0.538;0.412;0.273;0.583;0.545;0.304;0.0;0.389;0.333;0.231;0.276;0.286;0.0;0.389;0.368;0.05;0.0;1.0;0.429;0.048
ENSMUST00000209056_90_90;0.323;0.333;0.323;0.435;0.5;0.4;0.286;0.533;0.4;0.308;0.0;0.381;0.455;0.241;0.367;0.379;0.0;0.45;0.579;0.136;0.0;0.429;1.0;0.04
ENSMUST00000209124_90_90;0.483;0.5;0.483;0.207;0.182;0.364;0.0;0.136;0.0;0.636;0.0;0.409;0.214;0.583;0.483;0.5;0.0;0.148;0.143;0.688;0.176;0.048;0.04;1.0
