;ENSCAFT00000023019_90_90;ENST00000221222_90_90;ENST00000392351_90_90;ENST00000433218_90_90;ENST00000539827_90_90;ENST00000542541_90_90;ENST00000594439_90_90;ENST00000594794_90_90;ENST00000596482_90_90;ENST00000599097_90_90;ENST00000600077_90_90;ENSMUST00000003669_90_90;ENSMUST00000087467_90_90;ENSMUST00000110124_90_90;ENSMUST00000135368_90_90;ENSMUST00000140212_90_90
ENSCAFT00000023019_90_90;1.0;0.833;0.889;0.833;0.889;0.889;0.833;0.556;0.588;0.118;0.294;0.941;0.167;0.941;0.235;0.882
ENST00000221222_90_90;0.833;1.0;0.941;1.0;0.941;0.941;0.882;0.588;0.625;0.125;0.312;0.882;0.176;0.882;0.176;0.824
ENST00000392351_90_90;0.889;0.941;1.0;0.941;1.0;1.0;0.941;0.647;0.588;0.118;0.294;0.941;0.167;0.941;0.235;0.882
ENST00000433218_90_90;0.833;1.0;0.941;1.0;0.941;0.941;0.882;0.588;0.625;0.125;0.312;0.882;0.176;0.882;0.176;0.824
ENST00000539827_90_90;0.889;0.941;1.0;0.941;1.0;1.0;0.941;0.647;0.588;0.118;0.294;0.941;0.167;0.941;0.235;0.882
ENST00000542541_90_90;0.889;0.941;1.0;0.941;1.0;1.0;0.941;0.647;0.588;0.118;0.294;0.941;0.167;0.941;0.235;0.882
ENST00000594439_90_90;0.833;0.882;0.941;0.882;0.941;0.941;1.0;0.688;0.529;0.125;0.235;0.882;0.176;0.882;0.25;0.824
ENST00000594794_90_90;0.556;0.588;0.647;0.588;0.647;0.647;0.688;1.0;0.235;0.083;0.067;0.588;0.071;0.588;0.25;0.529
ENST00000596482_90_90;0.588;0.625;0.588;0.625;0.588;0.588;0.529;0.235;1.0;0.2;0.5;0.625;0.273;0.625;0.167;0.667
ENST00000599097_90_90;0.118;0.125;0.118;0.125;0.118;0.118;0.125;0.083;0.2;1.0;0.4;0.125;0.5;0.125;0.0;0.133
ENST00000600077_90_90;0.294;0.312;0.294;0.312;0.294;0.294;0.235;0.067;0.5;0.4;1.0;0.312;0.5;0.312;0.0;0.333
ENSMUST00000003669_90_90;0.941;0.882;0.941;0.882;0.941;0.941;0.882;0.588;0.625;0.125;0.312;1.0;0.176;1.0;0.25;0.938
ENSMUST00000087467_90_90;0.167;0.176;0.167;0.176;0.167;0.167;0.176;0.071;0.273;0.5;0.5;0.176;1.0;0.176;0.0;0.188
ENSMUST00000110124_90_90;0.941;0.882;0.941;0.882;0.941;0.941;0.882;0.588;0.625;0.125;0.312;1.0;0.176;1.0;0.25;0.938
ENSMUST00000135368_90_90;0.235;0.176;0.235;0.176;0.235;0.235;0.25;0.25;0.167;0.0;0.0;0.25;0.0;0.25;1.0;0.267
ENSMUST00000140212_90_90;0.882;0.824;0.882;0.824;0.882;0.882;0.824;0.529;0.667;0.133;0.333;0.938;0.188;0.938;0.267;1.0
