;transcript9_ENSAPOG00000016134;transcript14_ENSAPOG00000016134;transcript21_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript14_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript28_ENSAPOG00000023408;transcript29_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript12_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript23_ENSPNYG00000024266;transcript24_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005
transcript9_ENSAPOG00000016134;1.0;0.259;0.303;0.222;0.259;0.216;0.26;0.267;0.218;0.278;0.279;0.278;0.265;0.198;0.198;0.308;0.2;0.6;0.278;0.08;0.296;0.281;0.283;0.26;0.259
transcript14_ENSAPOG00000016134;0.259;1.0;0.854;0.76;1.0;0.78;0.995;0.618;0.775;0.591;0.928;0.931;0.977;0.857;0.857;0.843;0.851;0.234;0.931;0.746;0.876;0.924;0.917;0.996;1.0
transcript21_ENSAPOG00000016134;0.303;0.854;1.0;0.89;0.854;0.913;0.849;0.723;0.907;0.692;0.913;0.917;0.831;0.837;0.837;0.822;0.83;0.205;0.917;0.719;0.858;0.909;0.902;0.85;0.854
transcript7_ENSAPOG00000023408;0.222;0.76;0.89;1.0;0.76;0.975;0.764;0.767;0.981;0.733;0.819;0.816;0.737;0.887;0.887;0.721;0.879;0.229;0.816;0.617;0.757;0.808;0.801;0.756;0.76
transcript14_ENSAPOG00000023408;0.259;1.0;0.854;0.76;1.0;0.78;0.995;0.618;0.775;0.591;0.928;0.931;0.977;0.857;0.857;0.843;0.851;0.234;0.931;0.746;0.876;0.924;0.917;0.996;1.0
transcript23_ENSAPOG00000023408;0.216;0.78;0.913;0.975;0.78;1.0;0.775;0.792;0.994;0.758;0.833;0.837;0.757;0.91;0.91;0.742;0.902;0.223;0.837;0.639;0.778;0.829;0.822;0.775;0.78
transcript28_ENSAPOG00000023408;0.26;0.995;0.849;0.764;0.995;0.775;1.0;0.613;0.779;0.586;0.923;0.926;0.972;0.852;0.852;0.838;0.846;0.235;0.926;0.742;0.871;0.919;0.912;0.991;0.995
transcript29_ENSAPOG00000023408;0.267;0.618;0.723;0.767;0.618;0.792;0.613;1.0;0.786;0.958;0.659;0.663;0.595;0.721;0.721;0.568;0.713;0.277;0.663;0.465;0.604;0.655;0.648;0.613;0.618
transcript30_ENSAPOG00000023408;0.218;0.775;0.907;0.981;0.775;0.994;0.779;0.786;1.0;0.752;0.828;0.832;0.752;0.904;0.904;0.737;0.897;0.224;0.832;0.633;0.773;0.824;0.817;0.771;0.775
transcript31_ENSAPOG00000023408;0.278;0.591;0.692;0.733;0.591;0.758;0.586;0.958;0.752;1.0;0.631;0.635;0.569;0.69;0.69;0.585;0.683;0.289;0.635;0.437;0.576;0.627;0.62;0.587;0.591
transcript7_ENSAOCG00000015695;0.279;0.928;0.913;0.819;0.928;0.833;0.923;0.659;0.828;0.631;1.0;0.996;0.905;0.916;0.916;0.901;0.91;0.189;0.996;0.798;0.937;0.988;0.981;0.924;0.928
transcript17_ENSAOCG00000015695;0.278;0.931;0.917;0.816;0.931;0.837;0.926;0.663;0.832;0.635;0.996;1.0;0.909;0.92;0.92;0.905;0.913;0.189;1.0;0.802;0.941;0.992;0.985;0.927;0.931
transcript18_ENSAOCG00000015695;0.265;0.977;0.831;0.737;0.977;0.757;0.972;0.595;0.752;0.569;0.905;0.909;1.0;0.834;0.834;0.82;0.84;0.239;0.909;0.724;0.853;0.901;0.907;0.982;0.977
transcript26_ENSAOCG00000015695;0.198;0.857;0.837;0.887;0.857;0.91;0.852;0.721;0.904;0.69;0.916;0.92;0.834;1.0;1.0;0.825;0.993;0.204;0.92;0.722;0.861;0.912;0.905;0.853;0.857
transcript27_ENSAOCG00000015695;0.198;0.857;0.837;0.887;0.857;0.91;0.852;0.721;0.904;0.69;0.916;0.92;0.834;1.0;1.0;0.825;0.993;0.204;0.92;0.722;0.861;0.912;0.905;0.853;0.857
transcript28_ENSAOCG00000015695;0.308;0.843;0.822;0.721;0.843;0.742;0.838;0.568;0.737;0.585;0.901;0.905;0.82;0.825;0.825;1.0;0.818;0.207;0.905;0.706;0.846;0.897;0.89;0.839;0.843
transcript29_ENSAOCG00000015695;0.2;0.851;0.83;0.879;0.851;0.902;0.846;0.713;0.897;0.683;0.91;0.913;0.84;0.993;0.993;0.818;1.0;0.206;0.913;0.715;0.854;0.905;0.911;0.846;0.851
transcript7_ENSPNYG00000024266;0.6;0.234;0.205;0.229;0.234;0.223;0.235;0.277;0.224;0.289;0.189;0.189;0.239;0.204;0.204;0.207;0.206;1.0;0.189;0.0;0.2;0.19;0.191;0.235;0.234
transcript12_ENSPNYG00000024266;0.278;0.931;0.917;0.816;0.931;0.837;0.926;0.663;0.832;0.635;0.996;1.0;0.909;0.92;0.92;0.905;0.913;0.189;1.0;0.802;0.941;0.992;0.985;0.927;0.931
transcript21_ENSPNYG00000024266;0.08;0.746;0.719;0.617;0.746;0.639;0.742;0.465;0.633;0.437;0.798;0.802;0.724;0.722;0.722;0.706;0.715;0.0;0.802;1.0;0.742;0.793;0.786;0.742;0.746
transcript22_ENSPNYG00000024266;0.296;0.876;0.858;0.757;0.876;0.778;0.871;0.604;0.773;0.576;0.937;0.941;0.853;0.861;0.861;0.846;0.854;0.2;0.941;0.742;1.0;0.932;0.925;0.872;0.876
transcript23_ENSPNYG00000024266;0.281;0.924;0.909;0.808;0.924;0.829;0.919;0.655;0.824;0.627;0.988;0.992;0.901;0.912;0.912;0.897;0.905;0.19;0.992;0.793;0.932;1.0;0.993;0.919;0.924
transcript24_ENSPNYG00000024266;0.283;0.917;0.902;0.801;0.917;0.822;0.912;0.648;0.817;0.62;0.981;0.985;0.907;0.905;0.905;0.89;0.911;0.191;0.985;0.786;0.925;0.993;1.0;0.913;0.917
transcript7_ENSXMAG00000026005;0.26;0.996;0.85;0.756;0.996;0.775;0.991;0.613;0.771;0.587;0.924;0.927;0.982;0.853;0.853;0.839;0.846;0.235;0.927;0.742;0.872;0.919;0.913;1.0;0.996
transcript9_ENSXMAG00000026005;0.259;1.0;0.854;0.76;1.0;0.78;0.995;0.618;0.775;0.591;0.928;0.931;0.977;0.857;0.857;0.843;0.851;0.234;0.931;0.746;0.876;0.924;0.917;0.996;1.0
