;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;0.998;0.707;0.947;0.212;0.352;0.198;0.998;0.506;0.832;0.759;0.506
ENST00000285737_90_90;0.998;1.0;0.704;0.948;0.203;0.352;0.197;0.999;0.507;0.833;0.755;0.507
ENST00000416006_90_90;0.707;0.704;1.0;0.742;0.019;0.394;0.278;0.703;0.279;0.58;0.93;0.279
ENST00000535754_90_90;0.947;0.948;0.742;1.0;0.214;0.3;0.208;0.948;0.535;0.831;0.704;0.535
ENST00000565867_90_90;0.212;0.203;0.019;0.214;1.0;0.0;0.0;0.213;0.416;0.255;0.019;0.416
ENST00000566755_90_90;0.352;0.352;0.394;0.3;0.0;1.0;0.009;0.352;0.0;0.219;0.463;0.0
ENST00000570174_90_90;0.198;0.197;0.278;0.208;0.0;0.009;1.0;0.197;0.079;0.197;0.259;0.079
ENSMUST00000034141_90_90;0.998;0.999;0.703;0.948;0.213;0.352;0.197;1.0;0.507;0.833;0.747;0.507
ENSMUST00000121673_90_90;0.506;0.507;0.279;0.535;0.416;0.0;0.079;0.507;1.0;0.608;0.261;1.0
ENSMUST00000122188_90_90;0.832;0.833;0.58;0.831;0.255;0.219;0.197;0.833;0.608;1.0;0.583;0.608
ENSMUST00000155433_90_90;0.759;0.755;0.93;0.704;0.019;0.463;0.259;0.747;0.261;0.583;1.0;0.261
ENSMUST00000163987_90_90;0.506;0.507;0.279;0.535;0.416;0.0;0.079;0.507;1.0;0.608;0.261;1.0
