;ENSCAFT00000023220_90_90;ENST00000248450_90_90;ENST00000420660_90_90;ENST00000422731_90_90;ENST00000444053_90_90;ENST00000447885_90_90;ENSMUST00000006462_90_90;ENSMUST00000178235_90_90;ENSMUST00000187046_90_90;ENSMUST00000190008_90_90
ENSCAFT00000023220_90_90;1.0;0.96;0.875;0.406;0.96;0.423;1.0;1.0;0.308;0.245
ENST00000248450_90_90;0.96;1.0;0.748;0.368;0.966;0.409;0.963;0.931;0.318;0.179
ENST00000420660_90_90;0.875;0.748;1.0;0.354;0.776;0.389;0.72;0.748;0.305;0.343
ENST00000422731_90_90;0.406;0.368;0.354;1.0;0.359;0.0;0.392;0.38;0.185;0.0
ENST00000444053_90_90;0.96;0.966;0.776;0.359;1.0;0.397;0.931;0.965;0.308;0.173
ENST00000447885_90_90;0.423;0.409;0.389;0.0;0.397;1.0;0.409;0.397;0.369;0.261
ENSMUST00000006462_90_90;1.0;0.963;0.72;0.392;0.931;0.409;1.0;0.968;0.301;0.17
ENSMUST00000178235_90_90;1.0;0.931;0.748;0.38;0.965;0.397;0.968;1.0;0.294;0.165
ENSMUST00000187046_90_90;0.308;0.318;0.305;0.185;0.308;0.369;0.301;0.294;1.0;0.115
ENSMUST00000190008_90_90;0.245;0.179;0.343;0.0;0.173;0.261;0.17;0.165;0.115;1.0
