;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.682;0.855;0.223;0.177;0.637;0.441;0.5;0.42;0.637;0.543;0.199;0.479;0.306
ENST00000331224_90_90;0.682;1.0;0.81;0.388;0.186;0.476;0.486;0.554;0.463;0.476;0.527;0.206;0.531;0.248
ENST00000341267_90_90;0.855;0.81;1.0;0.314;0.159;0.613;0.416;0.476;0.396;0.613;0.518;0.179;0.455;0.315
ENST00000392848_90_90;0.223;0.388;0.314;1.0;0.394;0.109;0.136;0.126;0.14;0.109;0.12;0.077;0.13;0.0
ENST00000556051_90_90;0.177;0.186;0.159;0.394;1.0;0.112;0.135;0.127;0.138;0.112;0.121;0.176;0.13;0.0
ENSMUST00000056110_90_90;0.637;0.476;0.613;0.109;0.112;1.0;0.779;0.845;0.756;1.0;0.894;0.46;0.823;0.258
ENSMUST00000109841_90_90;0.441;0.486;0.416;0.136;0.135;0.779;1.0;0.923;0.972;0.779;0.872;0.57;0.897;0.167
ENSMUST00000109842_90_90;0.5;0.554;0.476;0.126;0.127;0.845;0.923;1.0;0.897;0.845;0.946;0.532;0.974;0.21
ENSMUST00000109843_90_90;0.42;0.463;0.396;0.14;0.138;0.756;0.972;0.897;1.0;0.756;0.847;0.584;0.92;0.142
ENSMUST00000109844_90_90;0.637;0.476;0.613;0.109;0.112;1.0;0.779;0.845;0.756;1.0;0.894;0.46;0.823;0.258
ENSMUST00000109846_90_90;0.543;0.527;0.518;0.12;0.121;0.894;0.872;0.946;0.847;0.894;1.0;0.507;0.921;0.264
ENSMUST00000124293_90_90;0.199;0.206;0.179;0.077;0.176;0.46;0.57;0.532;0.584;0.46;0.507;1.0;0.544;0.0
ENSMUST00000173539_90_90;0.479;0.531;0.455;0.13;0.13;0.823;0.897;0.974;0.92;0.823;0.921;0.544;1.0;0.186
ENSMUST00000173812_90_90;0.306;0.248;0.315;0.0;0.0;0.258;0.167;0.21;0.142;0.258;0.264;0.0;0.186;1.0
