;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.886;0.972;0.914;0.9;0.889;0.903;0.889;0.589;0.579;0.579
transcript9_MGP-PahariEiJ-G0020237;0.886;1.0;0.861;0.969;0.984;0.778;0.792;0.778;0.518;0.509;0.509
transcript37_MGP-PahariEiJ-G0020237;0.972;0.861;1.0;0.889;0.875;0.917;0.931;0.917;0.593;0.596;0.596
transcript39_MGP-PahariEiJ-G0020237;0.914;0.969;0.889;1.0;0.984;0.806;0.819;0.806;0.536;0.526;0.526
transcript49_MGP-PahariEiJ-G0020237;0.9;0.984;0.875;0.984;1.0;0.792;0.806;0.792;0.527;0.518;0.518
transcript50_MGP-PahariEiJ-G0020237;0.889;0.778;0.917;0.806;0.792;1.0;0.9;0.886;0.54;0.544;0.544
transcript51_MGP-PahariEiJ-G0020237;0.903;0.792;0.931;0.819;0.806;0.9;1.0;0.985;0.549;0.553;0.553
transcript52_MGP-PahariEiJ-G0020237;0.889;0.778;0.917;0.806;0.792;0.886;0.985;1.0;0.54;0.544;0.544
transcript36_ENSRNOG00000031503;0.589;0.518;0.593;0.536;0.527;0.54;0.549;0.54;1.0;0.982;0.982
transcript37_ENSRNOG00000031503;0.579;0.509;0.596;0.526;0.518;0.544;0.553;0.544;0.982;1.0;1.0
transcript44_ENSRNOG00000031503;0.579;0.509;0.596;0.526;0.518;0.544;0.553;0.544;0.982;1.0;1.0
