;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.766;0.63;0.011;0.134;0.134;0.134;0.134;0.984;1.0;0.866;0.249;1.0;1.0
transcript8_ENSHGLG00100006079;0.766;1.0;0.396;0.018;0.018;0.018;0.018;0.018;0.75;0.766;0.833;0.016;0.766;0.766
transcript6_ENSPCIG00000036398;0.63;0.396;1.0;0.0;0.157;0.157;0.157;0.157;0.641;0.63;0.52;0.309;0.63;0.63
transcript7_ENSPCIG00000036398;0.011;0.018;0.0;1.0;0.158;0.158;0.158;0.158;0.0;0.011;0.0;0.117;0.011;0.011
transcript7_ENSMUNG00000007775;0.134;0.018;0.157;0.158;1.0;1.0;1.0;1.0;0.118;0.134;0.0;0.657;0.134;0.134
transcript16_ENSMUNG00000007775;0.134;0.018;0.157;0.158;1.0;1.0;1.0;1.0;0.118;0.134;0.0;0.657;0.134;0.134
transcript23_ENSMUNG00000007775;0.134;0.018;0.157;0.158;1.0;1.0;1.0;1.0;0.118;0.134;0.0;0.657;0.134;0.134
transcript16_ENSMUNG00000002377;0.134;0.018;0.157;0.158;1.0;1.0;1.0;1.0;0.118;0.134;0.0;0.657;0.134;0.134
transcript10_ENSMUNG00000002391;0.984;0.75;0.641;0.0;0.118;0.118;0.118;0.118;1.0;0.984;0.881;0.234;0.984;0.984
transcript2_ENSXMAG00000026005;1.0;0.766;0.63;0.011;0.134;0.134;0.134;0.134;0.984;1.0;0.866;0.249;1.0;1.0
transcript7_ENSXMAG00000026005;0.866;0.833;0.52;0.0;0.0;0.0;0.0;0.0;0.881;0.866;1.0;0.116;0.866;0.866
transcript8_ENSXMAG00000026005;0.249;0.016;0.309;0.117;0.657;0.657;0.657;0.657;0.234;0.249;0.116;1.0;0.249;0.249
transcript9_ENSXMAG00000026005;1.0;0.766;0.63;0.011;0.134;0.134;0.134;0.134;0.984;1.0;0.866;0.249;1.0;1.0
transcript10_ENSXMAG00000026005;1.0;0.766;0.63;0.011;0.134;0.134;0.134;0.134;0.984;1.0;0.866;0.249;1.0;1.0
