;transcript9_ENSHGLG00100003156;transcript14_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript27_ENSHGLG00100003156;transcript32_ENSHGLG00100003156;transcript20_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript40_ENSHGLG00000019563;transcript43_ENSHGLG00000019563;transcript8_ENSHGLG00100006079;transcript9_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript33_ENSHGLG00100006079
transcript9_ENSHGLG00100003156;1.0;0.839;1.0;0.905;0.817;1.0;0.94;1.0;0.94;0.946;0.931;1.0;1.0;1.0
transcript14_ENSHGLG00100003156;0.839;1.0;0.839;0.927;0.772;0.839;0.778;0.839;0.778;0.785;0.77;0.839;0.839;0.839
transcript20_ENSHGLG00100003156;1.0;0.839;1.0;0.905;0.817;1.0;0.94;1.0;0.94;0.946;0.931;1.0;1.0;1.0
transcript27_ENSHGLG00100003156;0.905;0.927;0.905;1.0;0.722;0.905;0.844;0.905;0.844;0.851;0.836;0.905;0.905;0.905
transcript32_ENSHGLG00100003156;0.817;0.772;0.817;0.722;1.0;0.817;0.756;0.817;0.756;0.763;0.748;0.817;0.817;0.817
transcript20_ENSHGLG00000019563;1.0;0.839;1.0;0.905;0.817;1.0;0.94;1.0;0.94;0.946;0.931;1.0;1.0;1.0
transcript26_ENSHGLG00000019563;0.94;0.778;0.94;0.844;0.756;0.94;1.0;0.94;1.0;0.885;0.871;0.94;0.94;0.94
transcript28_ENSHGLG00000019563;1.0;0.839;1.0;0.905;0.817;1.0;0.94;1.0;0.94;0.946;0.931;1.0;1.0;1.0
transcript40_ENSHGLG00000019563;0.94;0.778;0.94;0.844;0.756;0.94;1.0;0.94;1.0;0.885;0.871;0.94;0.94;0.94
transcript43_ENSHGLG00000019563;0.946;0.785;0.946;0.851;0.763;0.946;0.885;0.946;0.885;1.0;0.877;0.946;0.946;0.946
transcript8_ENSHGLG00100006079;0.931;0.77;0.931;0.836;0.748;0.931;0.871;0.931;0.871;0.877;1.0;0.931;0.931;0.931
transcript9_ENSHGLG00100006079;1.0;0.839;1.0;0.905;0.817;1.0;0.94;1.0;0.94;0.946;0.931;1.0;1.0;1.0
transcript22_ENSHGLG00100006079;1.0;0.839;1.0;0.905;0.817;1.0;0.94;1.0;0.94;0.946;0.931;1.0;1.0;1.0
transcript33_ENSHGLG00100006079;1.0;0.839;1.0;0.905;0.817;1.0;0.94;1.0;0.94;0.946;0.931;1.0;1.0;1.0
