;ENSCAFT00000022211_90_90;ENST00000324778_90_90;ENST00000367632_90_90;ENST00000367634_90_90;ENST00000367635_90_90;ENST00000415888_90_90;ENSMUST00000027886_90_90;ENSMUST00000063199_90_90;ENSMUST00000171292_90_90;ENSMUST00000172057_90_90;ENSMUST00000185198_90_90;ENSMUST00000188656_90_90;ENSMUST00000189316_90_90;ENSMUST00000189648_90_90;ENSMUST00000190648_90_90;ENSMUST00000190762_90_90;ENSMUST00000191605_90_90;ENSMUST00000192343_90_90
ENSCAFT00000022211_90_90;1.0;0.389;0.297;0.906;0.889;0.141;0.843;0.829;0.829;0.78;0.765;0.693;0.702;0.135;0.702;0.24;0.829;0.158
ENST00000324778_90_90;0.389;1.0;0.0;0.389;0.365;0.11;0.379;0.356;0.356;0.377;0.371;0.43;0.404;0.196;0.464;0.441;0.356;0.246
ENST00000367632_90_90;0.297;0.0;1.0;0.331;0.307;0.0;0.258;0.242;0.242;0.255;0.24;0.147;0.169;0.0;0.159;0.0;0.242;0.0
ENST00000367634_90_90;0.906;0.389;0.331;1.0;0.932;0.168;0.843;0.795;0.795;0.746;0.732;0.659;0.669;0.135;0.702;0.24;0.795;0.158
ENST00000367635_90_90;0.889;0.365;0.307;0.932;1.0;0.157;0.795;0.855;0.855;0.806;0.791;0.722;0.73;0.126;0.659;0.224;0.855;0.147
ENST00000415888_90_90;0.141;0.11;0.0;0.168;0.157;1.0;0.137;0.129;0.129;0.136;0.134;0.154;0.146;0.0;0.166;0.0;0.129;0.0
ENSMUST00000027886_90_90;0.843;0.379;0.258;0.843;0.795;0.137;1.0;0.934;0.934;0.883;0.791;0.685;0.763;0.131;0.729;0.233;0.934;0.153
ENSMUST00000063199_90_90;0.829;0.356;0.242;0.795;0.855;0.129;0.934;1.0;1.0;0.949;0.853;0.746;0.827;0.122;0.685;0.217;1.0;0.143
ENSMUST00000171292_90_90;0.829;0.356;0.242;0.795;0.855;0.129;0.934;1.0;1.0;0.949;0.853;0.746;0.827;0.122;0.685;0.217;1.0;0.143
ENSMUST00000172057_90_90;0.78;0.377;0.255;0.746;0.806;0.136;0.883;0.949;0.949;1.0;0.804;0.698;0.776;0.07;0.635;0.166;0.949;0.092
ENSMUST00000185198_90_90;0.765;0.371;0.24;0.732;0.791;0.134;0.791;0.853;0.853;0.804;1.0;0.776;0.86;0.127;0.712;0.227;0.853;0.148
ENSMUST00000188656_90_90;0.693;0.43;0.147;0.659;0.722;0.154;0.685;0.746;0.746;0.698;0.776;1.0;0.845;0.148;0.921;0.263;0.746;0.171
ENSMUST00000189316_90_90;0.702;0.404;0.169;0.669;0.73;0.146;0.763;0.827;0.827;0.776;0.86;0.845;1.0;0.139;0.774;0.247;0.827;0.162
ENSMUST00000189648_90_90;0.135;0.196;0.0;0.135;0.126;0.0;0.131;0.122;0.122;0.07;0.127;0.148;0.139;1.0;0.16;0.561;0.122;0.73
ENSMUST00000190648_90_90;0.702;0.464;0.159;0.702;0.659;0.166;0.729;0.685;0.685;0.635;0.712;0.921;0.774;0.16;1.0;0.285;0.685;0.186
ENSMUST00000190762_90_90;0.24;0.441;0.0;0.24;0.224;0.0;0.233;0.217;0.217;0.166;0.227;0.263;0.247;0.561;0.285;1.0;0.217;0.596
ENSMUST00000191605_90_90;0.829;0.356;0.242;0.795;0.855;0.129;0.934;1.0;1.0;0.949;0.853;0.746;0.827;0.122;0.685;0.217;1.0;0.143
ENSMUST00000192343_90_90;0.158;0.246;0.0;0.158;0.147;0.0;0.153;0.143;0.143;0.092;0.148;0.171;0.162;0.73;0.186;0.596;0.143;1.0
