;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;1.0;0.891;0.891;0.981;0.981;0.317;0.164;0.272;0.981;0.191;0.22;0.22;0.049;0.742;0.869;0.097;0.075;0.143;0.96;0.98;0.905;0.905;0.637;0.025;0.372
ENSCAFT00000021597_90_90;0.891;1.0;1.0;0.869;0.869;0.361;0.188;0.311;0.869;0.218;0.253;0.253;0.055;0.629;0.978;0.112;0.087;0.163;0.903;0.923;1.0;1.0;0.668;0.028;0.415
ENSCAFT00000021600_90_90;0.891;1.0;1.0;0.869;0.869;0.361;0.188;0.311;0.869;0.218;0.253;0.253;0.055;0.629;0.978;0.112;0.087;0.163;0.903;0.923;1.0;1.0;0.668;0.028;0.415
ENST00000324432_90_90;0.981;0.869;0.869;1.0;1.0;0.32;0.156;0.276;1.0;0.195;0.189;0.189;0.046;0.754;0.893;0.092;0.071;0.136;0.941;0.961;0.885;0.885;0.617;0.026;0.353
ENST00000413936_90_90;0.981;0.869;0.869;1.0;1.0;0.32;0.156;0.276;1.0;0.195;0.189;0.189;0.046;0.754;0.893;0.092;0.071;0.136;0.941;0.961;0.885;0.885;0.617;0.026;0.353
ENST00000423646_90_90;0.317;0.361;0.361;0.32;0.32;1.0;0.482;0.844;0.32;0.0;0.588;0.588;0.134;0.074;0.361;0.268;0.214;0.43;0.343;0.333;0.361;0.361;0.497;0.074;0.885
ENST00000425780_90_90;0.164;0.188;0.188;0.156;0.156;0.482;1.0;0.574;0.156;0.0;0.738;0.738;0.274;0.0;0.176;0.551;0.443;0.893;0.177;0.172;0.188;0.188;0.255;0.145;0.446
ENST00000429179_90_90;0.272;0.311;0.311;0.276;0.276;0.844;0.574;1.0;0.276;0.0;0.704;0.704;0.156;0.03;0.314;0.313;0.252;0.514;0.296;0.287;0.311;0.311;0.423;0.087;0.74
ENST00000430490_90_90;0.981;0.869;0.869;1.0;1.0;0.32;0.156;0.276;1.0;0.195;0.189;0.189;0.046;0.754;0.893;0.092;0.071;0.136;0.941;0.961;0.885;0.885;0.617;0.026;0.353
ENST00000435251_90_90;0.191;0.218;0.218;0.195;0.195;0.0;0.0;0.0;0.195;1.0;0.0;0.0;0.0;0.272;0.221;0.0;0.0;0.0;0.18;0.202;0.218;0.218;0.11;0.0;0.0
ENST00000435861_90_90;0.22;0.253;0.253;0.189;0.189;0.588;0.738;0.704;0.189;0.0;1.0;1.0;0.203;0.0;0.212;0.408;0.327;0.658;0.239;0.232;0.253;0.253;0.344;0.107;0.604
ENST00000438930_90_90;0.22;0.253;0.253;0.189;0.189;0.588;0.738;0.704;0.189;0.0;1.0;1.0;0.203;0.0;0.212;0.408;0.327;0.658;0.239;0.232;0.253;0.253;0.344;0.107;0.604
ENST00000442516_90_90;0.049;0.055;0.055;0.046;0.046;0.134;0.274;0.156;0.046;0.0;0.203;0.203;1.0;0.0;0.052;0.497;0.614;0.313;0.053;0.052;0.055;0.055;0.073;0.535;0.123
ENST00000446600_90_90;0.742;0.629;0.629;0.754;0.754;0.074;0.0;0.03;0.754;0.272;0.0;0.0;0.0;1.0;0.647;0.0;0.0;0.0;0.694;0.714;0.639;0.639;0.371;0.0;0.107
ENST00000446820_90_90;0.869;0.978;0.978;0.893;0.893;0.361;0.176;0.314;0.893;0.221;0.212;0.212;0.052;0.647;1.0;0.105;0.081;0.154;0.882;0.903;0.978;0.978;0.646;0.029;0.393
ENST00000451769_90_90;0.097;0.112;0.112;0.092;0.092;0.268;0.551;0.313;0.092;0.0;0.408;0.408;0.497;0.0;0.105;1.0;0.816;0.629;0.107;0.103;0.112;0.112;0.147;0.266;0.247
