;ENSCAFT00000004367_90_90;ENSCAFT00000004373_90_90;ENST00000333896_90_90;ENST00000356805_90_90;ENST00000389980_90_90;ENST00000615901_90_90;ENSMUST00000006629_90_90;ENSMUST00000011877_90_90;ENSMUST00000102838_90_90;ENSMUST00000124231_90_90
ENSCAFT00000004367_90_90;1.0;0.75;0.615;0.833;0.167;0.643;0.75;0.75;0.538;0.5
ENSCAFT00000004373_90_90;0.75;1.0;0.818;0.75;0.083;0.571;0.667;0.667;0.727;0.417
ENST00000333896_90_90;0.615;0.818;1.0;0.615;0.083;0.467;0.538;0.538;0.9;0.417
ENST00000356805_90_90;0.833;0.75;0.615;1.0;0.273;0.769;0.75;0.75;0.538;0.5
ENST00000389980_90_90;0.167;0.083;0.083;0.273;1.0;0.25;0.182;0.182;0.091;0.25
ENST00000615901_90_90;0.643;0.571;0.467;0.769;0.25;1.0;0.571;0.571;0.4;0.357
ENSMUST00000006629_90_90;0.75;0.667;0.538;0.75;0.182;0.571;1.0;1.0;0.583;0.7
ENSMUST00000011877_90_90;0.75;0.667;0.538;0.75;0.182;0.571;1.0;1.0;0.583;0.7
ENSMUST00000102838_90_90;0.538;0.727;0.9;0.538;0.091;0.4;0.583;0.583;1.0;0.455
ENSMUST00000124231_90_90;0.5;0.417;0.417;0.5;0.25;0.357;0.7;0.7;0.455;1.0
