;ENSCAFT00000005462_90_90;ENST00000341049_90_90;ENST00000393467_90_90;ENST00000393468_90_90;ENST00000393470_90_90;ENST00000405348_90_90;ENST00000451122_90_90;ENST00000456473_90_90;ENST00000614113_90_90;ENSMUST00000007799_90_90;ENSMUST00000115453_90_90;ENSMUST00000115454_90_90;ENSMUST00000115455_90_90;ENSMUST00000115456_90_90;ENSMUST00000123439_90_90;ENSMUST00000150901_90_90;ENSMUST00000177234_90_90
ENSCAFT00000005462_90_90;1.0;0.844;0.718;0.718;0.844;0.718;0.126;0.592;0.718;0.998;0.746;0.746;0.655;0.998;0.3;0.459;0.323
ENST00000341049_90_90;0.844;1.0;0.663;0.663;0.919;0.663;0.127;0.588;0.663;0.81;0.604;0.604;0.547;0.81;0.11;0.236;0.196
ENST00000393467_90_90;0.718;0.663;1.0;1.0;0.718;1.0;0.0;0.869;1.0;0.589;0.863;0.863;0.318;0.589;0.169;0.0;0.0
ENST00000393468_90_90;0.718;0.663;1.0;1.0;0.718;1.0;0.0;0.869;1.0;0.589;0.863;0.863;0.318;0.589;0.169;0.0;0.0
ENST00000393470_90_90;0.844;0.919;0.718;0.718;1.0;0.718;0.136;0.635;0.718;0.818;0.613;0.613;0.552;0.818;0.111;0.237;0.196
ENST00000405348_90_90;0.718;0.663;1.0;1.0;0.718;1.0;0.0;0.869;1.0;0.589;0.863;0.863;0.318;0.589;0.169;0.0;0.0
ENST00000451122_90_90;0.126;0.127;0.0;0.0;0.136;0.0;1.0;0.0;0.0;0.19;0.0;0.0;0.248;0.19;0.0;0.34;0.596
ENST00000456473_90_90;0.592;0.588;0.869;0.869;0.635;0.869;0.0;1.0;0.869;0.494;0.71;0.71;0.351;0.494;0.213;0.0;0.0
ENST00000614113_90_90;0.718;0.663;1.0;1.0;0.718;1.0;0.0;0.869;1.0;0.589;0.863;0.863;0.318;0.589;0.169;0.0;0.0
ENSMUST00000007799_90_90;0.998;0.81;0.589;0.589;0.818;0.589;0.19;0.494;0.589;1.0;0.685;0.685;0.688;1.0;0.271;0.45;0.332
ENSMUST00000115453_90_90;0.746;0.604;0.863;0.863;0.613;0.863;0.0;0.71;0.863;0.685;1.0;1.0;0.485;0.685;0.412;0.166;0.054
ENSMUST00000115454_90_90;0.746;0.604;0.863;0.863;0.613;0.863;0.0;0.71;0.863;0.685;1.0;1.0;0.485;0.685;0.412;0.166;0.054
ENSMUST00000115455_90_90;0.655;0.547;0.318;0.318;0.552;0.318;0.248;0.351;0.318;0.688;0.485;0.485;1.0;0.688;0.394;0.475;0.327
ENSMUST00000115456_90_90;0.998;0.81;0.589;0.589;0.818;0.589;0.19;0.494;0.589;1.0;0.685;0.685;0.688;1.0;0.271;0.45;0.332
ENSMUST00000123439_90_90;0.3;0.11;0.169;0.169;0.111;0.169;0.0;0.213;0.169;0.271;0.412;0.412;0.394;0.271;1.0;0.271;0.085
ENSMUST00000150901_90_90;0.459;0.236;0.0;0.0;0.237;0.0;0.34;0.0;0.0;0.45;0.166;0.166;0.475;0.45;0.271;1.0;0.49
ENSMUST00000177234_90_90;0.323;0.196;0.0;0.0;0.196;0.0;0.596;0.0;0.0;0.332;0.054;0.054;0.327;0.332;0.085;0.49;1.0
