;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.905;0.796;0.998;0.744;0.604;0.744;0.352;0.081;0.026;0.026;0.026;0.026;0.0;0.103;0.058;0.05;0.284;0.026;0.504;0.026;0.026;0.026;0.051;0.391;0.707;0.209;0.203;0.746;0.264;0.712;0.034;0.304;0.897;1.0;0.849;0.881;0.634;0.946;0.93;0.592;0.457;0.431;0.493;0.331;1.0;0.946;0.779;0.052;0.779;0.451;0.027;0.606;0.22;0.779;0.027;0.052;0.529;0.027;0.06;0.028;0.027;0.702;0.735;0.592;0.312;0.094;0.175;0.382;0.702;0.31;0.224
ENSCAFT00000045695_90_90;0.905;1.0;0.834;0.998;0.765;0.629;0.765;0.373;0.049;0.017;0.017;0.017;0.0;0.018;0.086;0.029;0.021;0.316;0.017;0.512;0.017;0.017;0.017;0.049;0.367;0.717;0.197;0.193;0.706;0.252;0.674;0.079;0.288;0.861;0.917;0.916;0.907;0.573;0.972;0.853;0.631;0.438;0.414;0.472;0.392;0.924;0.978;0.801;0.022;0.801;0.47;0.019;0.631;0.244;0.801;0.019;0.022;0.512;0.019;0.029;0.0;0.019;0.7;0.733;0.59;0.311;0.093;0.174;0.381;0.7;0.309;0.224
ENSCAFT00000013241_90_90;0.796;0.834;1.0;0.999;0.983;0.722;0.973;0.419;0.058;0.033;0.033;0.033;0.033;0.0;0.125;0.065;0.058;0.366;0.033;0.642;0.033;0.033;0.033;0.074;0.379;0.941;0.242;0.191;0.808;0.26;0.776;0.079;0.277;0.708;0.79;0.771;0.807;0.713;0.853;0.744;0.774;0.488;0.456;0.523;0.445;0.79;0.853;0.983;0.058;0.993;0.499;0.033;0.717;0.296;0.983;0.033;0.058;0.595;0.033;0.065;0.033;0.033;0.816;0.85;0.716;0.302;0.096;0.189;0.505;0.816;0.299;0.235
ENSCAFT00000019370_90_90;0.998;0.998;0.999;1.0;0.904;0.705;0.904;0.233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.141;0.0;0.729;0.0;0.0;0.0;0.08;0.506;0.875;0.309;0.196;0.988;0.267;0.942;0.025;0.281;0.966;0.966;0.966;0.966;0.699;0.966;0.966;0.678;0.394;0.35;0.768;0.251;0.998;0.998;0.956;0.0;0.956;0.347;0.0;0.672;0.064;0.956;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.94;0.988;0.849;0.287;0.081;0.302;0.643;0.94;0.31;0.211
ENST00000253363_90_90;0.744;0.765;0.983;0.904;1.0;0.7;0.99;0.427;0.059;0.032;0.032;0.032;0.031;0.0;0.131;0.064;0.065;0.374;0.032;0.651;0.032;0.032;0.032;0.081;0.357;0.958;0.245;0.192;0.739;0.262;0.71;0.08;0.279;0.698;0.743;0.762;0.799;0.662;0.805;0.734;0.732;0.434;0.405;0.516;0.395;0.73;0.792;0.984;0.066;0.994;0.506;0.032;0.708;0.301;0.984;0.032;0.066;0.593;0.032;0.065;0.032;0.032;0.742;0.773;0.65;0.305;0.098;0.165;0.457;0.742;0.302;0.238
ENST00000338163_90_90;0.604;0.629;0.722;0.705;0.7;1.0;0.706;0.54;0.074;0.04;0.04;0.04;0.038;0.0;0.166;0.08;0.082;0.474;0.04;0.491;0.04;0.04;0.04;0.103;0.447;0.66;0.309;0.236;0.574;0.32;0.544;0.098;0.343;0.54;0.59;0.603;0.639;0.811;0.65;0.577;0.865;0.498;0.465;0.385;0.454;0.594;0.655;0.723;0.087;0.716;0.675;0.042;0.972;0.402;0.723;0.042;0.087;0.497;0.042;0.086;0.041;0.042;0.588;0.619;0.494;0.389;0.124;0.262;0.295;0.588;0.386;0.121
ENST00000361162_90_90;0.744;0.765;0.973;0.904;0.99;0.706;1.0;0.431;0.06;0.032;0.032;0.032;0.032;0.0;0.132;0.065;0.066;0.379;0.032;0.641;0.032;0.032;0.032;0.082;0.36;0.948;0.248;0.192;0.739;0.262;0.71;0.08;0.279;0.698;0.743;0.762;0.799;0.662;0.805;0.734;0.732;0.434;0.405;0.516;0.395;0.73;0.792;0.994;0.066;0.984;0.511;0.032;0.715;0.303;0.994;0.032;0.066;0.583;0.032;0.066;0.032;0.032;0.742;0.773;0.65;0.305;0.098;0.165;0.457;0.742;0.302;0.238
ENST00000374038_90_90;0.352;0.373;0.419;0.233;0.427;0.54;0.431;1.0;0.127;0.071;0.071;0.071;0.068;0.0;0.305;0.146;0.149;0.855;0.071;0.238;0.071;0.071;0.071;0.0;0.221;0.386;0.0;0.163;0.194;0.144;0.164;0.202;0.367;0.293;0.352;0.349;0.386;0.493;0.404;0.331;0.565;0.575;0.603;0.151;0.69;0.346;0.398;0.43;0.151;0.425;0.845;0.071;0.579;0.681;0.43;0.071;0.151;0.222;0.071;0.148;0.069;0.071;0.175;0.208;0.081;0.422;0.0;0.0;0.0;0.175;0.417;0.248
ENST00000397370_90_90;0.081;0.049;0.058;0.0;0.059;0.074;0.06;0.127;1.0;0.172;0.172;0.172;0.161;0.0;0.175;0.378;0.403;0.14;0.172;0.0;0.172;0.172;0.172;0.0;0.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.073;0.0;0.025;0.095;0.068;0.027;0.08;0.085;0.089;0.0;0.091;0.089;0.083;0.063;0.702;0.062;0.119;0.226;0.083;0.186;0.063;0.226;0.57;0.0;0.226;0.52;0.215;0.226;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000403542_90_90;0.026;0.017;0.033;0.0;0.032;0.04;0.032;0.071;0.172;1.0;1.0;1.0;0.267;0.537;0.046;0.264;0.291;0.079;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026;0.0;0.026;0.037;0.025;0.029;0.025;0.0;0.0;0.0;0.0;0.026;0.025;0.032;0.293;0.032;0.061;1.0;0.043;0.098;0.032;1.0;0.291;0.0;1.0;0.264;0.267;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
