nucHom;degHom;tsm
1.0;1.0;1.0
0.942;0.868;0.905
0.686;0.906;0.796
0.996;1.0;0.998
0.659;0.828;0.744
0.553;0.655;0.604
0.659;0.828;0.744
0.32;0.384;0.352
0.06;0.101;0.081
0.015;0.037;0.026
0.015;0.037;0.026
0.015;0.037;0.026
0.015;0.038;0.026
0.0;0.0;0.0
0.116;0.089;0.103
0.04;0.076;0.058
0.036;0.063;0.05
0.247;0.322;0.284
0.015;0.037;0.026
0.423;0.585;0.504
0.015;0.037;0.026
0.015;0.037;0.026
0.015;0.037;0.026
0.052;0.051;0.051
0.338;0.443;0.391
0.623;0.791;0.707
0.203;0.215;0.209
0.148;0.258;0.203
0.54;0.952;0.746
0.239;0.29;0.264
0.521;0.903;0.712
0.023;0.045;0.034
0.222;0.387;0.304
0.921;0.872;0.897
1.0;1.0;1.0
0.893;0.804;0.849
0.918;0.843;0.881
0.587;0.681;0.634
0.97;0.922;0.946
0.946;0.915;0.93
0.566;0.618;0.592
0.402;0.511;0.457
0.374;0.489;0.431
0.432;0.553;0.493
0.298;0.363;0.331
1.0;1.0;1.0
0.97;0.922;0.946
0.666;0.892;0.779
0.037;0.067;0.052
0.666;0.892;0.779
0.39;0.512;0.451
0.015;0.039;0.027
0.549;0.663;0.606
0.183;0.256;0.22
0.666;0.892;0.779
0.015;0.039;0.027
0.037;0.067;0.052
0.427;0.632;0.529
0.015;0.039;0.027
0.04;0.08;0.06
0.015;0.04;0.028
0.015;0.039;0.027
0.53;0.873;0.702
0.549;0.921;0.735
0.453;0.73;0.592
0.228;0.397;0.312
0.061;0.127;0.094
0.112;0.238;0.175
0.289;0.476;0.382
0.53;0.873;0.702
0.224;0.397;0.31
0.147;0.302;0.224
0.942;0.868;0.905
1.0;1.0;1.0
0.703;0.965;0.834
0.996;1.0;0.998
0.665;0.865;0.765
0.562;0.697;0.629
0.665;0.865;0.765
0.33;0.416;0.373
0.042;0.056;0.049
0.013;0.022;0.017
0.013;0.022;0.017
0.013;0.022;0.017
0.0;0.0;0.0
0.014;0.023;0.018
0.103;0.069;0.086
0.023;0.034;0.029
0.02;0.022;0.021
0.26;0.371;0.316
0.013;0.022;0.017
0.432;0.593;0.512
0.013;0.022;0.017
0.013;0.022;0.017
0.013;0.022;0.017
0.051;0.047;0.049
0.327;0.407;0.367
0.625;0.809;0.717
0.196;0.198;0.197
0.146;0.239;0.193
0.531;0.881;0.706
0.235;0.269;0.252
0.512;0.836;0.674
0.039;0.119;0.079
0.219;0.358;0.288
0.893;0.828;0.861
0.942;0.892;0.917
0.923;0.909;0.916
0.921;0.892;0.907
0.547;0.598;0.573
0.972;0.971;0.972
0.891;0.814;0.853
0.578;0.683;0.631
0.39;0.485;0.438
0.363;0.465;0.414
0.419;0.525;0.472
0.328;0.455;0.392
0.955;0.893;0.924
0.986;0.971;0.978
0.673;0.929;0.801
0.02;0.024;0.022
0.673;0.929;0.801
0.398;0.541;0.47
0.014;0.024;0.019
0.557;0.706;0.631
0.194;0.294;0.244
0.673;0.929;0.801
0.014;0.024;0.019
0.02;0.024;0.022
0.426;0.598;0.512
0.014;0.024;0.019
0.023;0.035;0.029
0.0;0.0;0.0
0.014;0.024;0.019
0.526;0.873;0.7
0.545;0.921;0.733
0.45;0.73;0.59
0.226;0.397;0.311
0.06;0.127;0.093
0.111;0.238;0.174
0.287;0.476;0.381
0.526;0.873;0.7
0.222;0.397;0.309
