;ENSCAFT00000023912_90_90;ENST00000336604_90_90;ENST00000356896_90_90;ENST00000396840_90_90;ENST00000436152_90_90;ENST00000465801_90_90;ENST00000487279_90_90;ENST00000615885_90_90;ENST00000619571_90_90;ENSMUST00000117675_90_90;ENSMUST00000119527_90_90;ENSMUST00000144364_90_90;ENSMUST00000148835_90_90
ENSCAFT00000023912_90_90;1.0;0.949;1.0;0.846;0.578;0.526;0.329;0.578;1.0;0.954;0.86;0.544;0.747
ENST00000336604_90_90;0.949;1.0;0.954;0.897;0.499;0.527;0.318;0.499;0.908;1.0;0.886;0.539;0.687
ENST00000356896_90_90;1.0;0.954;1.0;0.86;0.545;0.499;0.31;0.545;0.952;0.949;0.846;0.517;0.738
ENST00000396840_90_90;0.846;0.897;0.86;1.0;0.406;0.424;0.339;0.406;0.823;0.886;1.0;0.605;0.669
ENST00000436152_90_90;0.578;0.499;0.545;0.406;1.0;0.926;0.0;1.0;0.515;0.526;0.424;0.095;0.667
ENST00000465801_90_90;0.526;0.527;0.499;0.424;0.926;1.0;0.0;0.926;0.474;0.56;0.446;0.1;0.611
ENST00000487279_90_90;0.329;0.318;0.31;0.339;0.0;0.0;1.0;0.0;0.3;0.34;0.373;0.611;0.123
ENST00000615885_90_90;0.578;0.499;0.545;0.406;1.0;0.926;0.0;1.0;0.515;0.526;0.424;0.095;0.667
ENST00000619571_90_90;1.0;0.908;0.952;0.823;0.515;0.474;0.3;0.515;1.0;0.942;0.839;0.512;0.733
ENSMUST00000117675_90_90;0.954;1.0;0.949;0.886;0.526;0.56;0.34;0.526;0.942;1.0;0.897;0.537;0.701
ENSMUST00000119527_90_90;0.86;0.886;0.846;1.0;0.424;0.446;0.373;0.424;0.839;0.897;1.0;0.589;0.686
ENSMUST00000144364_90_90;0.544;0.539;0.517;0.605;0.095;0.1;0.611;0.095;0.512;0.537;0.589;1.0;0.334
ENSMUST00000148835_90_90;0.747;0.687;0.738;0.669;0.667;0.611;0.123;0.667;0.733;0.701;0.686;0.334;1.0
