;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;0.999;0.999;0.031;0.652;0.181;0.999;0.652;0.132;0.2;0.999
ENST00000308924_90_90;0.999;1.0;0.992;0.029;0.646;0.18;0.99;0.647;0.13;0.198;0.999
ENST00000450554_90_90;0.999;0.992;1.0;0.03;0.652;0.181;0.999;0.652;0.131;0.2;0.99
ENST00000587196_90_90;0.031;0.029;0.03;1.0;0.0;0.0;0.031;0.0;0.237;0.0;0.031
ENST00000590551_90_90;0.652;0.646;0.652;0.0;1.0;0.0;0.652;1.0;0.0;0.0;0.647
ENST00000592874_90_90;0.181;0.18;0.181;0.0;0.0;1.0;0.18;0.0;0.002;0.901;0.179
ENSMUST00000005041_90_90;0.999;0.99;0.999;0.031;0.652;0.18;1.0;0.652;0.119;0.2;0.992
ENSMUST00000165399_90_90;0.652;0.647;0.652;0.0;1.0;0.0;0.652;1.0;0.0;0.0;0.646
ENSMUST00000207097_90_90;0.132;0.13;0.131;0.237;0.0;0.002;0.119;0.0;1.0;0.0;0.118
ENSMUST00000207498_90_90;0.2;0.198;0.2;0.0;0.0;0.901;0.2;0.0;0.0;1.0;0.199
ENSMUST00000209099_90_90;0.999;0.999;0.99;0.031;0.647;0.179;0.992;0.646;0.118;0.199;1.0
