;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;;;0.417;0.536;0.839;0.756;0.11;0.294;0.259;0.333;0.645;0.879;0.97
ENSCAFT00000009525_90_90;;;0.457;0.587;0.756;0.823;0.119;0.322;0.213;0.363;0.704;0.968;0.879
ENST00000305852_90_90;0.417;0.457;;;;;;;;;;0.471;0.428
ENST00000357996_90_90;0.536;0.587;;;;;;;;;;0.602;0.549
ENST00000379245_90_90;0.839;0.756;;;;;;;;;;0.731;0.814
ENST00000405912_90_90;0.756;0.823;;;;;;;;;;0.795;0.731
ENST00000413938_90_90;0.11;0.119;;;;;;;;;;0.121;0.112
ENST00000414288_90_90;0.294;0.322;;;;;;;;;;0.331;0.302
ENST00000432869_90_90;0.259;0.213;;;;;;;;;;0.223;0.269
ENST00000441005_90_90;0.333;0.363;;;;;;;;;;0.373;0.342
ENST00000451623_90_90;0.645;0.704;;;;;;;;;;0.674;0.619
ENSMUST00000070039_90_90;0.879;0.968;0.471;0.602;0.731;0.795;0.121;0.331;0.223;0.373;0.674;;
ENSMUST00000112487_90_90;0.97;0.879;0.428;0.549;0.814;0.731;0.112;0.302;0.269;0.342;0.619;;
