;transcript7_ENSMSIG00000000513;transcript26_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript41_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript22_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript33_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.988;0.535;0.535;0.69;0.988;0.69;0.976;0.338;0.31;0.325;0.351;0.312;0.328;0.328;0.291;0.267;0.291;0.584;0.308;0.527;0.388;0.325;0.325;0.334;0.262;0.568;0.508;0.508;0.568;0.568
transcript26_ENSMSIG00000000513;0.988;1.0;0.546;0.546;0.702;1.0;0.702;0.988;0.344;0.317;0.331;0.358;0.319;0.335;0.335;0.298;0.274;0.298;0.591;0.306;0.534;0.395;0.332;0.332;0.341;0.27;0.574;0.514;0.514;0.574;0.574
transcript41_ENSMSIG00000000513;0.535;0.546;1.0;1.0;0.788;0.546;0.788;0.553;0.402;0.441;0.309;0.421;0.37;0.392;0.392;0.414;0.308;0.414;0.319;0.363;0.308;0.36;0.393;0.393;0.407;0.306;0.31;0.249;0.249;0.31;0.31
transcript43_ENSMSIG00000000513;0.535;0.546;1.0;1.0;0.788;0.546;0.788;0.553;0.402;0.441;0.309;0.421;0.37;0.392;0.392;0.414;0.308;0.414;0.319;0.363;0.308;0.36;0.393;0.393;0.407;0.306;0.31;0.249;0.249;0.31;0.31
transcript46_ENSMSIG00000000513;0.69;0.702;0.788;0.788;1.0;0.702;1.0;0.69;0.414;0.384;0.278;0.432;0.385;0.404;0.404;0.36;0.331;0.36;0.42;0.379;0.411;0.483;0.407;0.407;0.421;0.331;0.406;0.347;0.347;0.406;0.406
transcript47_ENSMSIG00000000513;0.988;1.0;0.546;0.546;0.702;1.0;0.702;0.988;0.344;0.317;0.331;0.358;0.319;0.335;0.335;0.298;0.274;0.298;0.591;0.306;0.534;0.395;0.332;0.332;0.341;0.27;0.574;0.514;0.514;0.574;0.574
transcript48_ENSMSIG00000000513;0.69;0.702;0.788;0.788;1.0;0.702;1.0;0.69;0.414;0.384;0.278;0.432;0.385;0.404;0.404;0.36;0.331;0.36;0.42;0.379;0.411;0.483;0.407;0.407;0.421;0.331;0.406;0.347;0.347;0.406;0.406
transcript49_ENSMSIG00000000513;0.976;0.988;0.553;0.553;0.69;0.988;0.69;1.0;0.338;0.319;0.334;0.351;0.312;0.328;0.328;0.299;0.267;0.299;0.584;0.298;0.527;0.388;0.325;0.325;0.334;0.262;0.568;0.508;0.508;0.568;0.568
transcript22_MGP-SPRETEiJ-G0021131;0.338;0.344;0.402;0.402;0.414;0.344;0.414;0.338;1.0;0.914;0.762;0.939;0.901;0.921;0.921;0.873;0.84;0.873;0.691;0.71;0.649;0.75;0.817;0.817;0.786;0.735;0.756;0.697;0.697;0.756;0.756
transcript41_MGP-SPRETEiJ-G0021131;0.31;0.317;0.441;0.441;0.384;0.317;0.384;0.319;0.914;1.0;0.772;0.924;0.857;0.879;0.879;0.925;0.795;0.925;0.674;0.686;0.591;0.682;0.742;0.742;0.765;0.66;0.692;0.632;0.632;0.692;0.692
transcript7_ENSMUSG00000054036;0.325;0.331;0.309;0.309;0.278;0.331;0.278;0.334;0.762;0.772;1.0;0.762;0.738;0.726;0.726;0.758;0.782;0.758;0.686;0.541;0.603;0.586;0.629;0.629;0.611;0.683;0.743;0.787;0.787;0.743;0.743
transcript36_ENSMUSG00000054036;0.351;0.358;0.421;0.421;0.432;0.358;0.432;0.351;0.939;0.924;0.762;1.0;0.919;0.941;0.941;0.891;0.857;0.891;0.722;0.75;0.639;0.738;0.802;0.802;0.828;0.721;0.738;0.678;0.678;0.738;0.738
transcript8_MGP-CAROLIEiJ-G0020234;0.312;0.319;0.37;0.37;0.385;0.319;0.385;0.312;0.901;0.857;0.738;0.919;1.0;0.978;0.978;0.927;0.934;0.927;0.671;0.706;0.607;0.703;0.765;0.765;0.764;0.72;0.709;0.674;0.674;0.709;0.709
transcript22_MGP-CAROLIEiJ-G0020234;0.328;0.335;0.392;0.392;0.404;0.335;0.404;0.328;0.921;0.879;0.726;0.941;0.978;1.0;1.0;0.95;0.915;0.95;0.687;0.728;0.623;0.722;0.786;0.786;0.784;0.704;0.724;0.664;0.664;0.724;0.724
transcript32_MGP-CAROLIEiJ-G0020234;0.328;0.335;0.392;0.392;0.404;0.335;0.404;0.328;0.921;0.879;0.726;0.941;0.978;1.0;1.0;0.95;0.915;0.95;0.687;0.728;0.623;0.722;0.786;0.786;0.784;0.704;0.724;0.664;0.664;0.724;0.724
transcript33_MGP-CAROLIEiJ-G0020234;0.291;0.298;0.414;0.414;0.36;0.298;0.36;0.299;0.873;0.925;0.758;0.891;0.927;0.95;0.95;1.0;0.865;1.0;0.651;0.678;0.587;0.678;0.738;0.738;0.736;0.656;0.689;0.629;0.629;0.689;0.689
transcript42_MGP-CAROLIEiJ-G0020234;0.267;0.274;0.308;0.308;0.331;0.274;0.331;0.267;0.84;0.795;0.782;0.857;0.934;0.915;0.915;0.865;1.0;0.865;0.627;0.645;0.562;0.649;0.704;0.704;0.702;0.775;0.664;0.706;0.706;0.664;0.664
transcript43_MGP-CAROLIEiJ-G0020234;0.291;0.298;0.414;0.414;0.36;0.298;0.36;0.299;0.873;0.925;0.758;0.891;0.927;0.95;0.95;1.0;0.865;1.0;0.651;0.678;0.587;0.678;0.738;0.738;0.736;0.656;0.689;0.629;0.629;0.689;0.689
