;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;0.413;0.5;0.224;0.896;0.938;0.167;0.415;0.224;0.415;0.415;0.548;0.468;0.511;0.319;0.475
ENSCAFT00000021179_90_90;0.413;1.0;0.68;0.326;0.397;0.406;0.0;0.459;0.326;0.459;0.459;0.5;0.375;0.388;0.311;0.526
ENST00000359842_90_90;0.5;0.68;1.0;0.341;0.483;0.492;0.02;0.582;0.341;0.582;0.582;0.379;0.333;0.347;0.267;0.393
ENST00000619224_90_90;0.224;0.326;0.341;1.0;0.204;0.22;0.0;0.304;1.0;0.304;0.304;0.185;0.321;0.345;0.2;0.184
ENST00000374680_90_90;0.896;0.397;0.483;0.204;1.0;0.957;0.222;0.4;0.204;0.4;0.4;0.532;0.478;0.458;0.326;0.483
ENST00000374685_90_90;0.938;0.406;0.492;0.22;0.957;1.0;0.213;0.409;0.22;0.409;0.409;0.565;0.458;0.5;0.312;0.468
ENST00000483281_90_90;0.167;0.0;0.02;0.0;0.222;0.213;1.0;0.077;0.0;0.077;0.077;0.111;0.0;0.0;0.0;0.038
ENSMUST00000015987_90_90;0.415;0.459;0.582;0.304;0.4;0.409;0.077;1.0;0.304;1.0;1.0;0.333;0.211;0.224;0.148;0.324
ENSMUST00000111380_90_90;0.224;0.326;0.341;1.0;0.204;0.22;0.0;0.304;1.0;0.304;0.304;0.185;0.321;0.345;0.2;0.184
ENSMUST00000111384_90_90;0.415;0.459;0.582;0.304;0.4;0.409;0.077;1.0;0.304;1.0;1.0;0.333;0.211;0.224;0.148;0.324
ENSMUST00000111386_90_90;0.415;0.459;0.582;0.304;0.4;0.409;0.077;1.0;0.304;1.0;1.0;0.333;0.211;0.224;0.148;0.324
ENSMUST00000044858_90_90;0.548;0.5;0.379;0.185;0.532;0.565;0.111;0.333;0.185;0.333;0.333;1.0;0.46;0.5;0.294;0.88
ENSMUST00000116612_90_90;0.468;0.375;0.333;0.321;0.478;0.458;0.0;0.211;0.321;0.211;0.211;0.46;1.0;0.92;0.625;0.523
ENSMUST00000173354_90_90;0.511;0.388;0.347;0.345;0.458;0.5;0.0;0.224;0.345;0.224;0.224;0.5;0.92;1.0;0.577;0.5
ENSMUST00000173554_90_90;0.319;0.311;0.267;0.2;0.326;0.312;0.0;0.148;0.2;0.148;0.148;0.294;0.625;0.577;1.0;0.333
ENSMUST00000174299_90_90;0.475;0.526;0.393;0.184;0.483;0.468;0.038;0.324;0.184;0.324;0.324;0.88;0.523;0.5;0.333;1.0
