;ENSCAFT00000031982_90_90;ENST00000373064_90_90;ENST00000373066_90_90;ENST00000373068_90_90;ENST00000373069_90_90;ENST00000432073_90_90;ENST00000466983_90_90;ENST00000472769_90_90;ENSMUST00000028160_90_90;ENSMUST00000052119_90_90;ENSMUST00000113307_90_90;ENSMUST00000113308_90_90;ENSMUST00000113310_90_90;ENSMUST00000127961_90_90;ENSMUST00000136361_90_90;ENSMUST00000153886_90_90
ENSCAFT00000031982_90_90;1.0;0.827;0.828;0.999;0.999;0.827;0.29;0.0;1.0;0.83;0.83;0.83;0.999;0.269;0.448;0.223
ENST00000373064_90_90;0.827;1.0;0.751;0.748;0.732;0.768;0.299;0.108;0.733;0.75;0.999;0.767;0.749;0.261;0.447;0.239
ENST00000373066_90_90;0.828;0.751;1.0;0.707;0.728;0.976;0.28;0.0;0.729;0.999;0.75;0.975;0.708;0.274;0.42;0.224
ENST00000373068_90_90;0.999;0.748;0.707;1.0;0.977;0.722;0.279;0.0;0.976;0.708;0.749;0.723;0.999;0.246;0.419;0.223
ENST00000373069_90_90;0.999;0.732;0.728;0.977;1.0;0.707;0.273;0.0;0.999;0.729;0.733;0.708;0.976;0.267;0.41;0.218
ENST00000432073_90_90;0.827;0.768;0.976;0.722;0.707;1.0;0.287;0.0;0.708;0.975;0.767;0.999;0.723;0.252;0.43;0.229
ENST00000466983_90_90;0.29;0.299;0.28;0.279;0.273;0.287;1.0;0.0;0.283;0.29;0.31;0.297;0.29;0.038;0.107;0.18
ENST00000472769_90_90;0.0;0.108;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.108;0.0;0.0;0.0;0.0;0.0
ENSMUST00000028160_90_90;1.0;0.733;0.729;0.976;0.999;0.708;0.283;0.0;1.0;0.729;0.734;0.709;0.977;0.266;0.408;0.218
ENSMUST00000052119_90_90;0.83;0.75;0.999;0.708;0.729;0.975;0.29;0.0;0.729;1.0;0.751;0.976;0.709;0.272;0.417;0.224
ENSMUST00000113307_90_90;0.83;0.999;0.75;0.749;0.733;0.767;0.31;0.108;0.734;0.751;1.0;0.768;0.75;0.26;0.444;0.239
ENSMUST00000113308_90_90;0.83;0.767;0.975;0.723;0.708;0.999;0.297;0.0;0.709;0.976;0.768;1.0;0.723;0.25;0.427;0.229
ENSMUST00000113310_90_90;0.999;0.749;0.708;0.999;0.976;0.723;0.29;0.0;0.977;0.709;0.75;0.723;1.0;0.244;0.417;0.223
ENSMUST00000127961_90_90;0.269;0.261;0.274;0.246;0.267;0.252;0.038;0.0;0.266;0.272;0.26;0.25;0.244;1.0;0.627;0.4
ENSMUST00000136361_90_90;0.448;0.447;0.42;0.419;0.41;0.43;0.107;0.0;0.408;0.417;0.444;0.427;0.417;0.627;1.0;0.426
ENSMUST00000153886_90_90;0.223;0.239;0.224;0.223;0.218;0.229;0.18;0.0;0.218;0.224;0.239;0.229;0.223;0.4;0.426;1.0
