;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.5;0.05;0.111;0.05;0.059;0.05;0.0;0.067;0.091;0.091;0.1;0.083;0.0
ENSCAFT00000043901_90_90;0.5;1.0;0.05;0.111;0.05;0.059;0.05;0.0;0.067;0.091;0.091;0.1;0.083;0.0
ENST00000256953_90_90;0.05;0.05;1.0;0.389;1.0;0.737;1.0;0.684;0.722;0.227;0.227;0.238;0.4;0.105
ENST00000393736_90_90;0.111;0.111;0.389;1.0;0.389;0.467;0.389;0.235;0.176;0.143;0.143;0.154;0.308;0.0
ENST00000536465_90_90;0.05;0.05;1.0;0.389;1.0;0.737;1.0;0.684;0.722;0.227;0.227;0.238;0.4;0.105
ENST00000537647_90_90;0.059;0.059;0.737;0.467;0.737;1.0;0.737;0.611;0.474;0.091;0.091;0.095;0.471;0.0
ENST00000538313_90_90;0.05;0.05;1.0;0.389;1.0;0.737;1.0;0.684;0.722;0.227;0.227;0.238;0.4;0.105
ENST00000545567_90_90;0.0;0.0;0.684;0.235;0.684;0.611;0.684;1.0;0.421;0.045;0.045;0.048;0.333;0.062
ENST00000546331_90_90;0.067;0.067;0.722;0.176;0.722;0.474;0.722;0.421;1.0;0.294;0.294;0.312;0.278;0.143
ENSMUST00000032347_90_90;0.091;0.091;0.227;0.143;0.227;0.091;0.227;0.045;0.294;1.0;1.0;0.889;0.188;0.333
ENSMUST00000117919_90_90;0.091;0.091;0.227;0.143;0.227;0.091;0.227;0.045;0.294;1.0;1.0;0.889;0.188;0.333
ENSMUST00000119610_90_90;0.1;0.1;0.238;0.154;0.238;0.095;0.238;0.048;0.312;0.889;0.889;1.0;0.2;0.375
ENSMUST00000149100_90_90;0.083;0.083;0.4;0.308;0.4;0.471;0.4;0.333;0.278;0.188;0.188;0.2;1.0;0.0
ENSMUST00000203003_90_90;0.0;0.0;0.105;0.0;0.105;0.0;0.105;0.062;0.143;0.333;0.333;0.375;0.0;1.0
