id_transcript;block_sequence
ENSCAFT00000014154_90_90;0.1.2.3.4.6.7.8.12.13.14.15.16.18.21.22.23.24.25.28.32.33.34.35.36.37.38.39.40.41.42.43
ENST00000426335_90_90;0.1.2.3.4.6.7.8.12.21.22.23.24.31.32.33.34.35.36.37.38.39.40.41.42.43
ENST00000524586_90_90;0.1.2.3.4.6.7.8.9.10.11
ENST00000524782_90_90;0.1.2.3.4.6.7.8.12.13.14.15.16.17.18.21.22.23.24.31.32.33.34.35.36.37.38.39.40.41.42.43
ENST00000525314_90_90;0.1.2.3.4.6.7.8.12.13.14.15.16.17.18.21.22.23.24.25.26.27.28.30.31.32.33.34.35
ENST00000525398_90_90;0.1.2.3.4.6.7.8.12.13.14.15.16.17.18.20.21.22.23.24.31.32.33.34.35.36.37.38
ENST00000526342_90_90;0.1.2.3.4.6.40.41
ENST00000527776_90_90;37.39.40.41.42
ENST00000527927_90_90;0.1.2.3.4.6.7.8.34.35.36.37.38.39.40
ENST00000528041_90_90;0.1.2.3.4.6.12.13
ENST00000528444_90_90;0.1.2.3.4.6.7.8.12.13.14.15.16.17.18.19.20.21.22.23.24.31.32
ENST00000528708_90_90;3.4.5
ENST00000529439_90_90;4.5
ENST00000529455_90_90;1.2.3.4.6.7.8.12.15
ENST00000530596_90_90;0.1.2.3.4.6.7.12.13.14.15.16.17.18.21
ENST00000532438_90_90;0.1.2.3.4.6.7.8.10
ENST00000532478_90_90;2.3.4.7.8.12.13.14.15.16.17.18.23
ENST00000533243_90_90;0.1.2.3.4.6.34
ENST00000627920_90_90;0.1.2.3.4.6.7.8.34.35.36.37.38.39.40.41.42.43
ENST00000629231_90_90;0.1.2.3.4.6.34
ENSMUST00000028691_90_90;0.1.2.3.4.6.7.8.12.13.14.15.16.18.21.22.23.24.25.26.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43
ENSMUST00000080008_90_90;0.1.2.3.4.6.7.8.12.13.14.15.16.18.21.22.23.24.31.32.33.34.35.36.37.38.39.40.41.42.43
