;ENSCAFT00000039734_90_90;ENST00000360057_90_90;ENST00000378098_90_90;ENST00000378099_90_90;ENST00000482940_90_90;ENST00000489798_90_90;ENST00000538212_90_90;ENST00000552881_90_90;ENST00000639328_90_90;ENSMUST00000067888_90_90;ENSMUST00000114644_90_90
ENSCAFT00000039734_90_90;1.0;0.995;0.481;0.793;0.08;0.165;0.61;0.682;0.405;1.0;0.798
ENST00000360057_90_90;0.995;1.0;0.48;0.798;0.064;0.166;0.525;0.686;0.352;0.995;0.793
ENST00000378098_90_90;0.481;0.48;1.0;0.599;0.107;0.332;0.306;0.695;0.049;0.481;0.603
ENST00000378099_90_90;0.793;0.798;0.599;1.0;0.076;0.208;0.634;0.486;0.176;0.793;0.993
ENST00000482940_90_90;0.08;0.064;0.107;0.076;1.0;0.19;0.286;0.085;0.0;0.08;0.1
ENST00000489798_90_90;0.165;0.166;0.332;0.208;0.19;1.0;0.214;0.242;0.0;0.165;0.206
ENST00000538212_90_90;0.61;0.525;0.306;0.634;0.286;0.214;1.0;0.257;0.18;0.61;0.765
ENST00000552881_90_90;0.682;0.686;0.695;0.486;0.085;0.242;0.257;1.0;0.252;0.682;0.482
ENST00000639328_90_90;0.405;0.352;0.049;0.176;0.0;0.0;0.18;0.252;1.0;0.405;0.203
ENSMUST00000067888_90_90;1.0;0.995;0.481;0.793;0.08;0.165;0.61;0.682;0.405;1.0;0.798
ENSMUST00000114644_90_90;0.798;0.793;0.603;0.993;0.1;0.206;0.765;0.482;0.203;0.798;1.0
