;ENSCAFT00000016649_90_90;ENST00000360194_90_90;ENST00000525338_90_90;ENST00000528985_90_90;ENST00000529731_90_90;ENST00000530043_90_90;ENST00000533050_90_90;ENST00000627851_90_90;ENSMUST00000059057_90_90;ENSMUST00000063782_90_90;ENSMUST00000121564_90_90;ENSMUST00000125087_90_90;ENSMUST00000133739_90_90;ENSMUST00000214230_90_90;ENSMUST00000217306_90_90
ENSCAFT00000016649_90_90;1.0;0.867;0.4;0.867;0.8;0.2;0.933;0.8;1.0;0.882;1.0;0.471;0.235;0.059;0.118
ENST00000360194_90_90;0.867;1.0;0.438;0.824;0.778;0.25;0.889;0.778;0.824;0.706;0.824;0.429;0.188;0.0;0.143
ENST00000525338_90_90;0.4;0.438;1.0;0.467;0.438;0.375;0.389;0.438;0.353;0.4;0.353;0.5;0.222;0.0;0.143
ENST00000528985_90_90;0.867;0.824;0.467;1.0;0.632;0.267;0.737;0.632;0.824;0.706;0.824;0.429;0.188;0.0;0.143
ENST00000529731_90_90;0.8;0.778;0.438;0.632;1.0;0.176;0.889;1.0;0.824;0.933;0.824;0.25;0.357;0.0;0.143
ENST00000530043_90_90;0.2;0.25;0.375;0.267;0.176;1.0;0.222;0.176;0.176;0.125;0.176;0.5;0.143;0.0;0.0
ENST00000533050_90_90;0.933;0.889;0.389;0.737;0.889;0.222;1.0;0.889;0.941;0.824;0.941;0.375;0.312;0.0;0.125
ENST00000627851_90_90;0.8;0.778;0.438;0.632;1.0;0.176;0.889;1.0;0.824;0.933;0.824;0.25;0.357;0.0;0.143
ENSMUST00000059057_90_90;1.0;0.824;0.353;0.824;0.824;0.176;0.941;0.824;1.0;0.895;1.0;0.421;0.263;0.05;0.105
ENSMUST00000063782_90_90;0.882;0.706;0.4;0.706;0.933;0.125;0.824;0.933;0.895;1.0;0.895;0.316;0.294;0.056;0.118
ENSMUST00000121564_90_90;1.0;0.824;0.353;0.824;0.824;0.176;0.941;0.824;1.0;0.895;1.0;0.421;0.263;0.05;0.105
ENSMUST00000125087_90_90;0.471;0.429;0.5;0.429;0.25;0.5;0.375;0.25;0.421;0.316;0.421;1.0;0.182;0.111;0.0
ENSMUST00000133739_90_90;0.235;0.188;0.222;0.188;0.357;0.143;0.312;0.357;0.263;0.294;0.263;0.182;1.0;0.0;0.0
ENSMUST00000214230_90_90;0.059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.056;0.05;0.111;0.0;1.0;0.0
ENSMUST00000217306_90_90;0.118;0.143;0.143;0.143;0.143;0.0;0.125;0.143;0.105;0.118;0.105;0.0;0.0;0.0;1.0
