;transcript52_ENSMUSG00000054036;transcript52_MGP-CAROLIEiJ-G0020234;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;1.0;0.653;0.803;0.71;0.817;0.817;0.842;0.769;0.631;0.681;0.613;0.6;0.731;0.513;0.641;0.641;0.61
transcript52_MGP-CAROLIEiJ-G0020234;1.0;1.0;0.803;0.928;0.803;0.723;0.723;0.842;0.685;0.743;0.806;0.712;0.672;0.731;0.522;0.811;0.811;0.666
transcript57_ENSMUSG00000054036;0.653;0.803;1.0;0.8;0.9;0.887;0.706;0.679;0.841;0.952;0.998;0.964;0.952;0.71;0.661;0.992;0.992;0.957
transcript64_ENSMUSG00000054036;0.803;0.928;0.8;1.0;0.875;0.76;0.707;0.776;0.713;0.754;0.802;0.774;0.758;0.946;0.454;0.806;0.806;0.749
transcript67_ENSMUSG00000054036;0.71;0.803;0.9;0.875;1.0;0.887;0.772;0.679;0.841;0.869;0.914;0.871;0.858;0.791;0.565;0.899;0.899;0.856
transcript9_MGP-CAROLIEiJ-G0020234;0.817;0.723;0.887;0.76;0.887;1.0;1.0;0.619;0.963;0.714;0.764;0.877;0.928;0.839;0.786;0.769;0.769;0.937
transcript9_MGP-PahariEiJ-G0020237;0.817;0.723;0.706;0.707;0.772;1.0;1.0;0.619;0.963;0.605;0.646;0.724;0.763;0.779;0.697;0.642;0.642;0.783
transcript62_MGP-CAROLIEiJ-G0020234;0.842;0.842;0.679;0.776;0.679;0.619;0.619;1.0;0.581;0.728;0.681;0.583;0.552;0.594;0.394;0.659;0.659;0.567
transcript63_MGP-CAROLIEiJ-G0020234;0.769;0.685;0.841;0.713;0.841;0.963;0.963;0.581;1.0;0.677;0.728;0.829;0.881;0.792;0.819;0.722;0.722;0.901
transcript7_MGP-PahariEiJ-G0020237;0.631;0.743;0.952;0.754;0.869;0.714;0.605;0.728;0.677;1.0;0.954;0.851;0.815;0.617;0.568;0.936;0.936;0.825
transcript48_MGP-PahariEiJ-G0020237;0.681;0.806;0.998;0.802;0.914;0.764;0.646;0.681;0.728;0.954;1.0;0.899;0.861;0.663;0.615;0.989;0.989;0.863
transcript8_ENSRNOG00000031503;0.613;0.712;0.964;0.774;0.871;0.877;0.724;0.583;0.829;0.851;0.899;1.0;0.966;0.755;0.711;0.925;0.925;0.956
transcript40_ENSRNOG00000031503;0.6;0.672;0.952;0.758;0.858;0.928;0.763;0.552;0.881;0.815;0.861;0.966;1.0;0.79;0.746;0.894;0.894;0.991
transcript49_ENSRNOG00000031503;0.731;0.731;0.71;0.946;0.791;0.839;0.779;0.594;0.792;0.617;0.663;0.755;0.79;1.0;0.528;0.68;0.68;0.781
transcript53_ENSRNOG00000031503;0.513;0.522;0.661;0.454;0.565;0.786;0.697;0.394;0.819;0.568;0.615;0.711;0.746;0.528;1.0;0.637;0.637;0.738
transcript54_ENSRNOG00000031503;0.641;0.811;0.992;0.806;0.899;0.769;0.642;0.659;0.722;0.936;0.989;0.925;0.894;0.68;0.637;1.0;1.0;0.885
transcript55_ENSRNOG00000031503;0.641;0.811;0.992;0.806;0.899;0.769;0.642;0.659;0.722;0.936;0.989;0.925;0.894;0.68;0.637;1.0;1.0;0.885
transcript41_ENSMUGG00000013649;0.61;0.666;0.957;0.749;0.856;0.937;0.783;0.567;0.901;0.825;0.863;0.956;0.991;0.781;0.738;0.885;0.885;1.0
