;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.483;0.567;0.423;0.571;0.643;0.077;0.286;0.714;0.621;0.423;0.407;0.704;0.36;0.517;0.25
ENST00000379697_90_90;0.483;1.0;0.517;0.214;0.519;0.593;0.19;0.571;0.667;0.517;0.259;0.25;0.593;0.476;0.577;0.08
ENST00000379698_90_90;0.567;0.517;1.0;0.52;0.731;0.88;0.16;0.48;0.633;0.714;0.407;0.393;0.679;0.4;0.607;0.192
ENST00000379716_90_90;0.423;0.214;0.52;1.0;0.591;0.542;0.0;0.125;0.393;0.407;0.75;0.706;0.423;0.19;0.296;0.312
ENST00000379726_90_90;0.571;0.519;0.731;0.591;1.0;0.76;0.182;0.36;0.643;0.552;0.458;0.44;0.571;0.391;0.448;0.217
ENST00000397821_90_90;0.643;0.593;0.88;0.542;0.76;1.0;0.167;0.5;0.714;0.679;0.423;0.407;0.769;0.417;0.571;0.2
ENST00000431164_90_90;0.077;0.19;0.16;0.0;0.182;0.167;1.0;0.286;0.111;0.115;0.0;0.0;0.12;0.231;0.13;0.0
ENST00000432234_90_90;0.286;0.571;0.48;0.125;0.36;0.5;0.286;1.0;0.407;0.423;0.125;0.12;0.44;0.6;0.478;0.0
ENSMUST00000073094_90_90;0.714;0.667;0.633;0.393;0.643;0.714;0.111;0.407;1.0;0.815;0.5;0.481;0.92;0.44;0.586;0.28
ENSMUST00000080394_90_90;0.621;0.517;0.714;0.407;0.552;0.679;0.115;0.423;0.815;1.0;0.52;0.5;0.88;0.458;0.731;0.292
ENSMUST00000112451_90_90;0.423;0.259;0.407;0.75;0.458;0.423;0.0;0.125;0.5;0.52;1.0;0.933;0.542;0.19;0.296;0.5
ENSMUST00000112453_90_90;0.407;0.25;0.393;0.706;0.44;0.407;0.0;0.12;0.481;0.5;0.933;1.0;0.52;0.182;0.286;0.467
ENSMUST00000112456_90_90;0.704;0.593;0.679;0.423;0.571;0.769;0.12;0.44;0.92;0.88;0.542;0.52;1.0;0.478;0.63;0.304
ENSMUST00000123433_90_90;0.36;0.476;0.4;0.19;0.391;0.417;0.231;0.6;0.44;0.458;0.19;0.182;0.478;1.0;0.524;0.0
ENSMUST00000141354_90_90;0.517;0.577;0.607;0.296;0.448;0.571;0.13;0.478;0.586;0.731;0.296;0.286;0.63;0.524;1.0;0.12
ENSMUST00000152426_90_90;0.25;0.08;0.192;0.312;0.217;0.2;0.0;0.0;0.28;0.292;0.5;0.467;0.304;0.0;0.12;1.0
