;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENSCAFT00000006410_90_90;1.0;0.273;1.0;0.868;1.0;1.0;0.868;0.868;0.358;0.792;0.509;0.283;0.698;0.679;0.604;0.717;0.491;0.66;0.585;0.623;0.642;0.868;0.0;0.0;0.0;0.868;1.0;0.868;0.868;0.868;0.868;0.547;0.151;1.0;0.833
ENSCAFT00000006413_90_90;0.273;1.0;0.371;0.326;0.283;0.283;0.326;0.326;0.0;0.267;0.0;0.0;0.156;0.133;0.044;0.178;0.0;0.111;0.022;0.067;0.089;0.326;0.0;0.0;0.0;0.326;0.283;0.326;0.326;0.326;0.326;0.0;0.0;0.389;0.467
ENSCAFT00000011282_90_90;1.0;0.371;1.0;0.886;1.0;1.0;0.886;0.886;0.343;0.829;0.486;0.257;0.714;0.686;0.571;0.743;0.457;0.657;0.543;0.6;0.629;0.886;0.0;0.0;0.0;0.886;1.0;0.886;0.886;0.886;0.886;0.514;0.143;1.0;0.838
ENST00000229471_90_90;0.868;0.326;0.886;1.0;0.87;0.87;0.979;0.979;0.426;0.915;0.596;0.34;0.809;0.787;0.702;0.83;0.574;0.766;0.681;0.723;0.745;0.979;0.0;0.0;0.0;0.979;0.87;0.979;0.979;1.0;0.979;0.638;0.191;0.892;0.73
ENST00000354650_90_90;1.0;0.283;1.0;0.87;1.0;1.0;0.855;0.855;0.37;0.796;0.519;0.296;0.704;0.685;0.611;0.722;0.5;0.667;0.593;0.63;0.648;0.855;0.0;0.0;0.0;0.855;1.0;0.855;0.855;0.87;0.855;0.556;0.167;1.0;0.838
ENST00000368667_90_90;1.0;0.283;1.0;0.87;1.0;1.0;0.855;0.855;0.37;0.796;0.519;0.296;0.704;0.685;0.611;0.722;0.5;0.667;0.593;0.63;0.648;0.855;0.0;0.0;0.0;0.855;1.0;0.855;0.855;0.87;0.855;0.556;0.167;1.0;0.838
ENST00000368678_90_90;0.868;0.326;0.886;0.979;0.855;0.855;1.0;1.0;0.417;0.896;0.583;0.333;0.792;0.771;0.688;0.812;0.562;0.75;0.667;0.708;0.729;1.0;0.0;0.0;0.0;1.0;0.855;1.0;1.0;0.979;1.0;0.625;0.188;0.892;0.73
ENST00000368682_90_90;0.868;0.326;0.886;0.979;0.855;0.855;1.0;1.0;0.417;0.896;0.583;0.333;0.792;0.771;0.688;0.812;0.562;0.75;0.667;0.708;0.729;1.0;0.0;0.0;0.0;1.0;0.855;1.0;1.0;0.979;1.0;0.625;0.188;0.892;0.73
ENST00000462598_90_90;0.358;0.0;0.343;0.426;0.37;0.37;0.417;0.417;1.0;0.465;0.714;0.8;0.526;0.541;0.606;0.513;0.741;0.556;0.625;0.588;0.571;0.417;0.0;0.0;0.0;0.417;0.37;0.417;0.417;0.426;0.417;0.667;0.45;0.351;0.189
ENST00000462856_90_90;0.792;0.267;0.829;0.915;0.796;0.796;0.896;0.896;0.465;1.0;0.651;0.372;0.884;0.86;0.767;0.907;0.628;0.837;0.744;0.791;0.814;0.896;0.0;0.0;0.0;0.896;0.796;0.896;0.896;0.915;0.896;0.698;0.209;0.811;0.649
