;ENSCAFT00000007417_90_90;ENST00000283628_90_90;ENST00000283629_90_90;ENST00000411650_90_90;ENST00000447368_90_90;ENST00000456378_90_90;ENSMUST00000009885_90_90;ENSMUST00000084885_90_90;ENSMUST00000116492_90_90;ENSMUST00000214095_90_90;ENSMUST00000216558_90_90
ENSCAFT00000007417_90_90;1.0;0.641;0.641;0.0;0.648;0.478;0.666;0.657;0.666;0.666;0.657
ENST00000283628_90_90;0.641;1.0;1.0;0.154;0.95;0.404;0.95;1.0;0.95;0.95;1.0
ENST00000283629_90_90;0.641;1.0;1.0;0.154;0.95;0.404;0.95;1.0;0.95;0.95;1.0
ENST00000411650_90_90;0.0;0.154;0.154;1.0;0.164;0.0;0.171;0.161;0.171;0.171;0.161
ENST00000447368_90_90;0.648;0.95;0.95;0.164;1.0;0.423;1.0;0.95;1.0;1.0;0.95
ENST00000456378_90_90;0.478;0.404;0.404;0.0;0.423;1.0;0.423;0.404;0.423;0.423;0.404
ENSMUST00000009885_90_90;0.666;0.95;0.95;0.171;1.0;0.423;1.0;0.95;1.0;1.0;0.95
ENSMUST00000084885_90_90;0.657;1.0;1.0;0.161;0.95;0.404;0.95;1.0;0.95;0.95;1.0
ENSMUST00000116492_90_90;0.666;0.95;0.95;0.171;1.0;0.423;1.0;0.95;1.0;1.0;0.95
ENSMUST00000214095_90_90;0.666;0.95;0.95;0.171;1.0;0.423;1.0;0.95;1.0;1.0;0.95
ENSMUST00000216558_90_90;0.657;1.0;1.0;0.161;0.95;0.404;0.95;1.0;0.95;0.95;1.0
