;ENSCAFT00000036803_90_90;ENST00000260648_90_90;ENST00000378511_90_90;ENST00000378520_90_90;ENST00000409272_90_90;ENST00000409411_90_90;ENST00000409936_90_90;ENST00000409957_90_90;ENST00000410081_90_90;ENST00000420756_90_90;ENST00000425263_90_90;ENST00000426481_90_90;ENST00000438314_90_90;ENST00000444696_90_90;ENST00000541738_90_90;ENSMUST00000072406_90_90;ENSMUST00000171795_90_90
ENSCAFT00000036803_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.139;1.0;1.0;0.271;0.131;0.814;0.849;1.0
ENST00000260648_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.849;1.0
ENST00000378511_90_90;0.916;0.916;1.0;0.829;0.916;0.73;0.916;0.73;0.916;0.14;0.916;0.916;0.295;0.135;0.73;0.76;0.911
ENST00000378520_90_90;0.913;0.913;0.829;1.0;0.913;0.727;0.913;0.727;0.913;0.141;0.913;0.913;0.296;0.135;0.727;0.758;0.909
ENST00000409272_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.849;1.0
ENST00000409411_90_90;0.814;0.814;0.73;0.727;0.814;1.0;0.814;1.0;0.814;0.159;0.814;0.814;0.084;0.153;1.0;1.0;0.849
ENST00000409936_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.849;1.0
ENST00000409957_90_90;0.814;0.814;0.73;0.727;0.814;1.0;0.814;1.0;0.814;0.159;0.814;0.814;0.084;0.153;1.0;1.0;0.849
ENST00000410081_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.849;1.0
ENST00000420756_90_90;0.139;0.129;0.14;0.141;0.129;0.159;0.129;0.159;0.129;1.0;0.129;0.129;0.0;0.304;0.159;0.173;0.146
ENST00000425263_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.849;1.0
ENST00000426481_90_90;1.0;1.0;0.916;0.913;1.0;0.814;1.0;0.814;1.0;0.129;1.0;1.0;0.271;0.124;0.814;0.849;1.0
ENST00000438314_90_90;0.271;0.271;0.295;0.296;0.271;0.084;0.271;0.084;0.271;0.0;0.271;0.271;1.0;0.0;0.084;0.088;0.239
ENST00000444696_90_90;0.131;0.124;0.135;0.135;0.124;0.153;0.124;0.153;0.124;0.304;0.124;0.124;0.0;1.0;0.153;0.165;0.138
ENST00000541738_90_90;0.814;0.814;0.73;0.727;0.814;1.0;0.814;1.0;0.814;0.159;0.814;0.814;0.084;0.153;1.0;1.0;0.849
ENSMUST00000072406_90_90;0.849;0.849;0.76;0.758;0.849;1.0;0.849;1.0;0.849;0.173;0.849;0.849;0.088;0.165;1.0;1.0;0.849
ENSMUST00000171795_90_90;1.0;1.0;0.911;0.909;1.0;0.849;1.0;0.849;1.0;0.146;1.0;1.0;0.239;0.138;0.849;0.849;1.0
