;ENSCAFT00000005462_90_90;ENST00000341049_90_90;ENST00000393467_90_90;ENST00000393468_90_90;ENST00000393470_90_90;ENST00000405348_90_90;ENST00000451122_90_90;ENST00000456473_90_90;ENST00000614113_90_90;ENSMUST00000007799_90_90;ENSMUST00000115453_90_90;ENSMUST00000115454_90_90;ENSMUST00000115455_90_90;ENSMUST00000115456_90_90;ENSMUST00000123439_90_90;ENSMUST00000150901_90_90;ENSMUST00000177234_90_90
ENSCAFT00000005462_90_90;1.0;0.312;0.333;0.333;0.333;0.333;0.059;0.25;0.333;0.692;0.545;0.545;0.462;0.692;0.273;0.357;0.267
ENST00000341049_90_90;0.312;1.0;0.5;0.5;0.9;0.5;0.214;0.4;0.5;0.5;0.333;0.333;0.385;0.5;0.083;0.2;0.2
ENST00000393467_90_90;0.333;0.5;1.0;1.0;0.556;1.0;0.0;0.8;1.0;0.333;0.571;0.571;0.182;0.333;0.143;0.0;0.0
ENST00000393468_90_90;0.333;0.5;1.0;1.0;0.556;1.0;0.0;0.8;1.0;0.333;0.571;0.571;0.182;0.333;0.143;0.0;0.0
ENST00000393470_90_90;0.333;0.9;0.556;0.556;1.0;0.556;0.231;0.444;0.556;0.538;0.364;0.364;0.417;0.538;0.091;0.214;0.214
ENST00000405348_90_90;0.333;0.5;1.0;1.0;0.556;1.0;0.0;0.8;1.0;0.333;0.571;0.571;0.182;0.333;0.143;0.0;0.0
ENST00000451122_90_90;0.059;0.214;0.0;0.0;0.231;0.0;1.0;0.0;0.0;0.2;0.0;0.0;0.25;0.2;0.0;0.25;0.5
ENST00000456473_90_90;0.25;0.4;0.8;0.8;0.444;0.8;0.0;1.0;0.8;0.25;0.429;0.429;0.2;0.25;0.167;0.0;0.0
ENST00000614113_90_90;0.333;0.5;1.0;1.0;0.556;1.0;0.0;0.8;1.0;0.333;0.571;0.571;0.182;0.333;0.143;0.0;0.0
ENSMUST00000007799_90_90;0.692;0.5;0.333;0.333;0.538;0.333;0.2;0.25;0.333;1.0;0.545;0.545;0.727;1.0;0.273;0.583;0.462
ENSMUST00000115453_90_90;0.545;0.333;0.571;0.571;0.364;0.571;0.0;0.429;0.571;0.545;1.0;1.0;0.4;0.545;0.5;0.167;0.077
ENSMUST00000115454_90_90;0.545;0.333;0.571;0.571;0.364;0.571;0.0;0.429;0.571;0.545;1.0;1.0;0.4;0.545;0.5;0.167;0.077
ENSMUST00000115455_90_90;0.462;0.385;0.182;0.182;0.417;0.182;0.25;0.2;0.182;0.727;0.4;0.4;1.0;0.727;0.375;0.6;0.455
ENSMUST00000115456_90_90;0.692;0.5;0.333;0.333;0.538;0.333;0.2;0.25;0.333;1.0;0.545;0.545;0.727;1.0;0.273;0.583;0.462
ENSMUST00000123439_90_90;0.273;0.083;0.143;0.143;0.091;0.143;0.0;0.167;0.143;0.273;0.5;0.5;0.375;0.273;1.0;0.222;0.1
ENSMUST00000150901_90_90;0.357;0.2;0.0;0.0;0.214;0.0;0.25;0.0;0.0;0.583;0.167;0.167;0.6;0.583;0.222;1.0;0.6
ENSMUST00000177234_90_90;0.267;0.2;0.0;0.0;0.214;0.0;0.5;0.0;0.0;0.462;0.077;0.077;0.455;0.462;0.1;0.6;1.0
