;transcript52_ENSMUSG00000054036;transcript52_MGP-CAROLIEiJ-G0020234;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;1.0;0.333;0.455;0.385;0.556;0.556;0.8;0.5;0.346;0.37;0.385;0.37;0.409;0.5;0.37;0.37;0.333
transcript52_MGP-CAROLIEiJ-G0020234;1.0;1.0;0.556;0.625;0.588;0.556;0.556;0.8;0.5;0.529;0.588;0.556;0.556;0.562;0.562;0.556;0.556;0.556
transcript57_ENSMUSG00000054036;0.333;0.556;1.0;0.733;0.867;1.0;0.643;0.444;0.944;0.893;0.964;0.963;1.0;0.778;0.63;1.0;1.0;1.0
transcript64_ENSMUSG00000054036;0.455;0.625;0.733;1.0;0.846;0.889;0.696;0.5;0.833;0.643;0.714;0.778;0.815;0.955;0.56;0.815;0.815;0.733
transcript67_ENSMUSG00000054036;0.385;0.588;0.867;0.846;1.0;0.944;0.654;0.471;0.889;0.786;0.857;0.889;0.926;0.84;0.615;0.926;0.926;0.867
transcript9_MGP-CAROLIEiJ-G0020234;0.556;0.556;1.0;0.889;0.944;1.0;1.0;0.444;0.944;0.889;0.944;1.0;1.0;0.833;0.833;1.0;1.0;1.0
transcript9_MGP-PahariEiJ-G0020237;0.556;0.556;0.643;0.696;0.654;1.0;1.0;0.444;0.944;0.593;0.607;0.72;0.692;0.652;0.75;0.692;0.692;0.643
transcript62_MGP-CAROLIEiJ-G0020234;0.8;0.8;0.444;0.5;0.471;0.444;0.444;1.0;0.389;0.5;0.471;0.444;0.444;0.438;0.438;0.444;0.444;0.444
transcript63_MGP-CAROLIEiJ-G0020234;0.5;0.5;0.944;0.833;0.889;0.944;0.944;0.389;1.0;0.833;0.889;0.944;0.944;0.778;0.778;0.944;0.944;0.944
transcript7_MGP-PahariEiJ-G0020237;0.346;0.529;0.893;0.643;0.786;0.889;0.593;0.5;0.833;1.0;0.926;0.846;0.885;0.654;0.667;0.885;0.885;0.893
transcript48_MGP-PahariEiJ-G0020237;0.37;0.588;0.964;0.714;0.857;0.944;0.607;0.471;0.889;0.926;1.0;0.923;0.962;0.731;0.68;0.962;0.962;0.964
transcript8_ENSRNOG00000031503;0.385;0.556;0.963;0.778;0.889;1.0;0.72;0.444;0.944;0.846;0.923;1.0;0.933;0.733;0.607;0.897;0.897;0.933
transcript40_ENSRNOG00000031503;0.37;0.556;1.0;0.815;0.926;1.0;0.692;0.444;0.944;0.885;0.962;0.933;1.0;0.8;0.567;0.9;0.9;1.0
transcript49_ENSRNOG00000031503;0.409;0.562;0.778;0.955;0.84;0.833;0.652;0.438;0.778;0.654;0.731;0.733;0.8;1.0;0.464;0.7;0.7;0.8
transcript53_ENSRNOG00000031503;0.5;0.562;0.63;0.56;0.615;0.833;0.75;0.438;0.778;0.667;0.68;0.607;0.567;0.464;1.0;0.63;0.63;0.567
transcript54_ENSRNOG00000031503;0.37;0.556;1.0;0.815;0.926;1.0;0.692;0.444;0.944;0.885;0.962;0.897;0.9;0.7;0.63;1.0;1.0;0.9
transcript55_ENSRNOG00000031503;0.37;0.556;1.0;0.815;0.926;1.0;0.692;0.444;0.944;0.885;0.962;0.897;0.9;0.7;0.63;1.0;1.0;0.9
transcript41_ENSMUGG00000013649;0.333;0.556;1.0;0.733;0.867;1.0;0.643;0.444;0.944;0.893;0.964;0.933;1.0;0.8;0.567;0.9;0.9;1.0
