;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.921;0.921;0.921;0.736;0.724;0.832;0.772;0.833;0.683;0.63;0.718;0.688;0.707;0.732;0.728;0.722;0.719;0.686;0.6;0.743;0.875;0.816;0.827;0.805;0.805;0.875;0.778;0.814;0.816;0.723;0.74;0.79;0.815;0.815;0.815
transcript38_ENSCGRG00015005362;0.921;1.0;1.0;1.0;0.794;0.782;0.903;0.837;0.905;0.722;0.667;0.768;0.74;0.753;0.785;0.778;0.764;0.76;0.713;0.625;0.776;0.95;0.877;0.901;0.879;0.879;0.946;0.831;0.887;0.877;0.779;0.795;0.851;0.885;0.885;0.885
transcript38_ENSCGRG00000018457;0.921;1.0;1.0;1.0;0.794;0.782;0.903;0.837;0.905;0.722;0.667;0.768;0.74;0.753;0.785;0.778;0.764;0.76;0.713;0.625;0.776;0.95;0.877;0.901;0.879;0.879;0.946;0.831;0.887;0.877;0.779;0.795;0.851;0.885;0.885;0.885
transcript38_ENSSTOG00000019743;0.921;1.0;1.0;1.0;0.794;0.782;0.903;0.837;0.905;0.722;0.667;0.768;0.74;0.753;0.785;0.778;0.764;0.76;0.713;0.625;0.776;0.95;0.877;0.901;0.879;0.879;0.946;0.831;0.887;0.877;0.779;0.795;0.851;0.885;0.885;0.885
transcript37_ENSMUGG00000013649;0.736;0.794;0.794;0.794;1.0;0.98;0.869;0.816;0.875;0.826;0.748;0.873;0.825;0.855;0.801;0.902;0.579;0.577;0.554;0.491;0.591;0.821;0.76;0.859;0.752;0.752;0.756;0.688;0.742;0.76;0.698;0.811;0.875;0.787;0.787;0.787
transcript37_ENSMUGG00000013592;0.724;0.782;0.782;0.782;0.98;1.0;0.855;0.808;0.862;0.813;0.742;0.859;0.816;0.841;0.791;0.92;0.571;0.57;0.548;0.488;0.584;0.807;0.751;0.845;0.741;0.741;0.746;0.681;0.731;0.751;0.69;0.801;0.862;0.774;0.774;0.774
transcript37_ENSCGRG00001010245;0.832;0.903;0.903;0.903;0.869;0.855;1.0;0.919;0.988;0.786;0.727;0.832;0.802;0.817;0.782;0.854;0.68;0.679;0.639;0.553;0.693;0.928;0.849;0.974;0.857;0.857;0.867;0.776;0.847;0.849;0.76;0.792;0.852;0.886;0.886;0.886
transcript37_ENSPEMG00000024651;0.772;0.837;0.837;0.837;0.816;0.808;0.919;1.0;0.912;0.735;0.773;0.781;0.853;0.764;0.832;0.807;0.654;0.653;0.675;0.548;0.664;0.853;0.875;0.897;0.8;0.8;0.807;0.813;0.793;0.875;0.722;0.845;0.797;0.812;0.812;0.812
transcript37_ENSSTOG00000019743;0.833;0.905;0.905;0.905;0.875;0.862;0.988;0.912;1.0;0.787;0.723;0.833;0.798;0.818;0.779;0.859;0.681;0.678;0.637;0.555;0.694;0.93;0.849;0.976;0.859;0.859;0.867;0.775;0.849;0.849;0.765;0.788;0.856;0.889;0.889;0.889
transcript57_ENSMUGG00000013649;0.683;0.722;0.722;0.722;0.826;0.813;0.786;0.735;0.787;1.0;0.775;0.889;0.799;0.931;0.77;0.884;0.55;0.55;0.523;0.464;0.561;0.772;0.714;0.811;0.702;0.702;0.671;0.618;0.691;0.714;0.66;0.74;0.798;0.737;0.737;0.737
