;transcript2_ENSHGLG00100003156;transcript8_ENSHGLG00100003156;transcript16_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript21_ENSHGLG00100003156;transcript22_ENSHGLG00100003156;transcript23_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript16_ENSHGLG00000019563;transcript19_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript14_ENSHGLG00100006079;transcript2_ENSPCIG00000036398;transcript19_ENSPCIG00000036398
transcript2_ENSHGLG00100003156;1.0;0.99;0.988;0.866;0.924;0.826;0.988;0.863;0.866;0.988;0.866;0.762;0.698;0.588;0.902;0.902;1.0;1.0
transcript8_ENSHGLG00100003156;0.99;1.0;0.979;0.856;0.933;0.817;0.979;0.853;0.856;0.979;0.856;0.752;0.705;0.579;0.912;0.912;0.99;0.99
transcript16_ENSHGLG00100003156;0.988;0.979;1.0;0.855;0.935;0.815;1.0;0.851;0.855;1.0;0.855;0.75;0.686;0.577;0.891;0.891;0.988;0.988
transcript18_ENSHGLG00100003156;0.866;0.856;0.855;1.0;0.79;0.693;0.855;0.996;1.0;0.855;1.0;0.88;0.805;0.679;0.769;0.769;0.866;0.866
transcript21_ENSHGLG00100003156;0.924;0.933;0.935;0.79;1.0;0.75;0.935;0.787;0.79;0.935;0.79;0.686;0.733;0.512;0.952;0.952;0.924;0.924
transcript22_ENSHGLG00100003156;0.826;0.817;0.815;0.693;0.75;1.0;0.815;0.689;0.693;0.815;0.693;0.588;0.524;0.712;0.761;0.761;0.826;0.826
transcript23_ENSHGLG00100003156;0.988;0.979;1.0;0.855;0.935;0.815;1.0;0.851;0.855;1.0;0.855;0.75;0.686;0.577;0.891;0.891;0.988;0.988
transcript8_ENSHGLG00000019563;0.863;0.853;0.851;0.996;0.787;0.689;0.851;1.0;0.996;0.851;0.996;0.876;0.802;0.676;0.765;0.765;0.863;0.863
transcript13_ENSHGLG00000019563;0.866;0.856;0.855;1.0;0.79;0.693;0.855;0.996;1.0;0.855;1.0;0.88;0.805;0.679;0.769;0.769;0.866;0.866
transcript16_ENSHGLG00000019563;0.988;0.979;1.0;0.855;0.935;0.815;1.0;0.851;0.855;1.0;0.855;0.75;0.686;0.577;0.891;0.891;0.988;0.988
transcript19_ENSHGLG00000019563;0.866;0.856;0.855;1.0;0.79;0.693;0.855;0.996;1.0;0.855;1.0;0.88;0.805;0.679;0.769;0.769;0.866;0.866
transcript26_ENSHGLG00000019563;0.762;0.752;0.75;0.88;0.686;0.588;0.75;0.876;0.88;0.75;0.88;1.0;0.915;0.772;0.69;0.69;0.762;0.762
transcript27_ENSHGLG00000019563;0.698;0.705;0.686;0.805;0.733;0.524;0.686;0.802;0.805;0.686;0.805;0.915;1.0;0.688;0.738;0.738;0.698;0.698
transcript28_ENSHGLG00000019563;0.588;0.579;0.577;0.679;0.512;0.712;0.577;0.676;0.679;0.577;0.679;0.772;0.688;1.0;0.542;0.542;0.588;0.588
transcript7_ENSHGLG00100006079;0.902;0.912;0.891;0.769;0.952;0.761;0.891;0.765;0.769;0.891;0.769;0.69;0.738;0.542;1.0;1.0;0.902;0.902
transcript14_ENSHGLG00100006079;0.902;0.912;0.891;0.769;0.952;0.761;0.891;0.765;0.769;0.891;0.769;0.69;0.738;0.542;1.0;1.0;0.902;0.902
transcript2_ENSPCIG00000036398;1.0;0.99;0.988;0.866;0.924;0.826;0.988;0.863;0.866;0.988;0.866;0.762;0.698;0.588;0.902;0.902;1.0;1.0
transcript19_ENSPCIG00000036398;1.0;0.99;0.988;0.866;0.924;0.826;0.988;0.863;0.866;0.988;0.866;0.762;0.698;0.588;0.902;0.902;1.0;1.0
