;ENSCAFT00000017682_90_90;ENST00000329008_90_90;ENST00000395275_90_90;ENST00000395276_90_90;ENST00000405452_90_90;ENST00000431984_90_90;ENST00000446128_90_90;ENSMUST00000086029_90_90;ENSMUST00000111287_90_90;ENSMUST00000111288_90_90;ENSMUST00000141131_90_90;ENSMUST00000202728_90_90
ENSCAFT00000017682_90_90;1.0;0.625;0.875;0.625;0.25;0.625;0.5;1.0;0.857;0.857;0.286;0.286
ENST00000329008_90_90;0.625;1.0;0.667;1.0;0.143;1.0;0.833;0.625;0.833;0.833;0.4;0.143
ENST00000395275_90_90;0.875;0.667;1.0;0.667;0.1;0.667;0.556;0.875;0.625;0.625;0.286;0.429
ENST00000395276_90_90;0.625;1.0;0.667;1.0;0.143;1.0;0.833;0.625;0.833;0.833;0.4;0.143
ENST00000405452_90_90;0.25;0.143;0.1;0.143;1.0;0.143;0.0;0.25;0.333;0.333;0.0;0.0
ENST00000431984_90_90;0.625;1.0;0.667;1.0;0.143;1.0;0.833;0.625;0.833;0.833;0.4;0.143
ENST00000446128_90_90;0.5;0.833;0.556;0.833;0.0;0.833;1.0;0.5;0.667;0.667;0.5;0.167
ENSMUST00000086029_90_90;1.0;0.625;0.875;0.625;0.25;0.625;0.5;1.0;0.667;0.667;0.222;0.444
ENSMUST00000111287_90_90;0.857;0.833;0.625;0.833;0.333;0.833;0.667;0.667;1.0;1.0;0.333;0.111
ENSMUST00000111288_90_90;0.857;0.833;0.625;0.833;0.333;0.833;0.667;0.667;1.0;1.0;0.333;0.111
ENSMUST00000141131_90_90;0.286;0.4;0.286;0.4;0.0;0.4;0.5;0.222;0.333;0.333;1.0;0.2
ENSMUST00000202728_90_90;0.286;0.143;0.429;0.143;0.0;0.143;0.167;0.444;0.111;0.111;0.2;1.0
