;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript33_ENSRNOG00000031503;transcript26_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript22_MGP-CAROLIEiJ-G0020234;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript41_MGP-SPRETEiJ-G0021131;transcript22_MGP-SPRETEiJ-G0021131;transcript36_ENSMUSG00000054036;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592;transcript18_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript23_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript9_ENSRNOG00000031503
transcript7_ENSMSIG00000000513;1.0;0.907;0.514;0.433;0.327;0.445;0.445;0.448;0.534;0.534;0.375;0.375;0.265;0.273;0.305;0.305;0.332;0.519;0.268;0.271;0.288;0.288;0.284;0.336;0.309;0.254;0.254;0.222;0.278;0.302;0.247
transcript7_ENSMUSG00000054036;0.907;1.0;0.547;0.43;0.333;0.429;0.429;0.432;0.55;0.55;0.385;0.385;0.276;0.285;0.308;0.308;0.335;0.558;0.282;0.29;0.285;0.285;0.281;0.342;0.315;0.268;0.268;0.234;0.274;0.308;0.259
transcript43_MGP-CAROLIEiJ-G0020234;0.514;0.547;1.0;0.476;0.315;0.478;0.478;0.481;0.974;0.974;0.639;0.639;0.447;0.414;0.3;0.3;0.325;0.978;0.441;0.446;0.312;0.312;0.308;0.321;0.296;0.43;0.43;0.37;0.312;0.292;0.431
transcript26_MGP-PahariEiJ-G0020237;0.433;0.43;0.476;1.0;0.206;0.983;0.983;0.976;0.478;0.478;0.736;0.736;0.371;0.348;0.266;0.266;0.21;0.483;0.375;0.378;0.643;0.643;0.639;0.215;0.271;0.365;0.365;0.48;0.634;0.265;0.358
transcript33_ENSRNOG00000031503;0.327;0.333;0.315;0.206;1.0;0.21;0.21;0.211;0.321;0.321;0.253;0.253;0.717;0.74;0.839;0.839;0.923;0.318;0.716;0.705;0.511;0.511;0.513;0.928;0.844;0.747;0.747;0.641;0.539;0.893;0.695
transcript26_ENSMSIG00000000513;0.445;0.429;0.478;0.983;0.21;1.0;1.0;0.993;0.49;0.49;0.748;0.748;0.376;0.353;0.272;0.272;0.216;0.482;0.379;0.382;0.648;0.648;0.644;0.219;0.275;0.368;0.368;0.484;0.64;0.269;0.362
transcript47_ENSMSIG00000000513;0.445;0.429;0.478;0.983;0.21;1.0;1.0;0.993;0.49;0.49;0.748;0.748;0.376;0.353;0.272;0.272;0.216;0.482;0.379;0.382;0.648;0.648;0.644;0.219;0.275;0.368;0.368;0.484;0.64;0.269;0.362
transcript49_ENSMSIG00000000513;0.448;0.432;0.481;0.976;0.211;0.993;0.993;1.0;0.493;0.493;0.742;0.742;0.372;0.349;0.267;0.267;0.216;0.485;0.374;0.378;0.644;0.644;0.64;0.22;0.27;0.364;0.364;0.48;0.636;0.264;0.357
transcript41_ENSMSIG00000000513;0.534;0.55;0.974;0.478;0.321;0.49;0.49;0.493;1.0;1.0;0.655;0.655;0.446;0.414;0.3;0.3;0.325;0.978;0.449;0.454;0.318;0.318;0.314;0.33;0.304;0.435;0.435;0.375;0.316;0.297;0.43
transcript43_ENSMSIG00000000513;0.534;0.55;0.974;0.478;0.321;0.49;0.49;0.493;1.0;1.0;0.655;0.655;0.446;0.414;0.3;0.3;0.325;0.978;0.449;0.454;0.318;0.318;0.314;0.33;0.304;0.435;0.435;0.375;0.316;0.297;0.43
transcript46_ENSMSIG00000000513;0.375;0.385;0.639;0.736;0.253;0.748;0.748;0.742;0.655;0.655;1.0;1.0;0.452;0.424;0.326;0.326;0.259;0.643;0.454;0.458;0.485;0.485;0.481;0.262;0.329;0.443;0.443;0.582;0.49;0.324;0.439
transcript48_ENSMSIG00000000513;0.375;0.385;0.639;0.736;0.253;0.748;0.748;0.742;0.655;0.655;1.0;1.0;0.452;0.424;0.326;0.326;0.259;0.643;0.454;0.458;0.485;0.485;0.481;0.262;0.329;0.443;0.443;0.582;0.49;0.324;0.439
transcript22_MGP-CAROLIEiJ-G0020234;0.265;0.276;0.447;0.371;0.717;0.376;0.376;0.372;0.446;0.446;0.452;0.452;1.0;0.968;0.853;0.853;0.775;0.441;0.982;0.97;0.699;0.699;0.695;0.765;0.843;0.92;0.92;0.796;0.673;0.786;0.882
transcript8_MGP-CAROLIEiJ-G0020234;0.273;0.285;0.414;0.348;0.74;0.353;0.353;0.349;0.414;0.414;0.424;0.424;0.968;1.0;0.881;0.881;0.8;0.409;0.95;0.939;0.677;0.677;0.672;0.791;0.871;0.889;0.889;0.769;0.65;0.812;0.85
transcript32_MGP-CAROLIEiJ-G0020234;0.305;0.308;0.3;0.266;0.839;0.272;0.272;0.267;0.3;0.3;0.326;0.326;0.853;0.881;1.0;1.0;0.908;0.295;0.837;0.826;0.596;0.596;0.592;0.895;0.986;0.777;0.777;0.672;0.569;0.921;0.735
transcript42_MGP-CAROLIEiJ-G0020234;0.305;0.308;0.3;0.266;0.839;0.272;0.272;0.267;0.3;0.3;0.326;0.326;0.853;0.881;1.0;1.0;0.908;0.295;0.837;0.826;0.596;0.596;0.592;0.895;0.986;0.777;0.777;0.672;0.569;0.921;0.735
transcript33_MGP-CAROLIEiJ-G0020234;0.332;0.335;0.325;0.21;0.923;0.216;0.216;0.216;0.325;0.325;0.259;0.259;0.775;0.8;0.908;0.908;1.0;0.32;0.759;0.749;0.541;0.541;0.537;0.985;0.895;0.701;0.701;0.606;0.513;0.829;0.657
transcript41_MGP-SPRETEiJ-G0021131;0.519;0.558;0.978;0.483;0.318;0.482;0.482;0.485;0.978;0.978;0.643;0.643;0.441;0.409;0.295;0.295;0.32;1.0;0.45;0.452;0.316;0.316;0.312;0.328;0.302;0.433;0.433;0.373;0.314;0.295;0.428
transcript22_MGP-SPRETEiJ-G0021131;0.268;0.282;0.441;0.375;0.716;0.379;0.379;0.374;0.449;0.449;0.454;0.454;0.982;0.95;0.837;0.837;0.759;0.45;1.0;0.976;0.703;0.703;0.699;0.771;0.849;0.918;0.918;0.795;0.672;0.785;0.873
transcript36_ENSMUSG00000054036;0.271;0.29;0.446;0.378;0.705;0.382;0.382;0.378;0.454;0.454;0.458;0.458;0.97;0.939;0.826;0.826;0.749;0.452;0.976;1.0;0.696;0.696;0.691;0.76;0.838;0.907;0.907;0.785;0.665;0.788;0.876
transcript34_ENSMUGG00000013592;0.288;0.285;0.312;0.643;0.511;0.648;0.648;0.644;0.318;0.318;0.485;0.485;0.699;0.677;0.596;0.596;0.541;0.316;0.703;0.696;1.0;1.0;0.996;0.55;0.605;0.684;0.684;0.796;0.948;0.56;0.622
transcript35_ENSMUGG00000013592;0.288;0.285;0.312;0.643;0.511;0.648;0.648;0.644;0.318;0.318;0.485;0.485;0.699;0.677;0.596;0.596;0.541;0.316;0.703;0.696;1.0;1.0;0.996;0.55;0.605;0.684;0.684;0.796;0.948;0.56;0.622
transcript18_ENSMUGG00000013592;0.284;0.281;0.308;0.639;0.513;0.644;0.644;0.64;0.314;0.314;0.481;0.481;0.695;0.672;0.592;0.592;0.537;0.312;0.699;0.691;0.996;0.996;1.0;0.546;0.601;0.686;0.686;0.799;0.952;0.562;0.624
transcript33_ENSMUGG00000013592;0.336;0.342;0.321;0.215;0.928;0.219;0.219;0.22;0.33;0.33;0.262;0.262;0.765;0.791;0.895;0.895;0.985;0.328;0.771;0.76;0.55;0.55;0.546;1.0;0.909;0.706;0.706;0.611;0.517;0.835;0.656
transcript32_ENSMUGG00000013592;0.309;0.315;0.296;0.271;0.844;0.275;0.275;0.27;0.304;0.304;0.329;0.329;0.843;0.871;0.986;0.986;0.895;0.302;0.849;0.838;0.605;0.605;0.601;0.909;1.0;0.782;0.782;0.677;0.573;0.926;0.734
transcript23_ENSRNOG00000031503;0.254;0.268;0.43;0.365;0.747;0.368;0.368;0.364;0.435;0.435;0.443;0.443;0.92;0.889;0.777;0.777;0.701;0.433;0.918;0.907;0.684;0.684;0.686;0.706;0.782;1.0;1.0;0.859;0.721;0.819;0.909
transcript21_ENSRNOG00000031503;0.254;0.268;0.43;0.365;0.747;0.368;0.368;0.364;0.435;0.435;0.443;0.443;0.92;0.889;0.777;0.777;0.701;0.433;0.918;0.907;0.684;0.684;0.686;0.706;0.782;1.0;1.0;0.859;0.721;0.819;0.909
transcript19_ENSRNOG00000031503;0.222;0.234;0.37;0.48;0.641;0.484;0.484;0.48;0.375;0.375;0.582;0.582;0.796;0.769;0.672;0.672;0.606;0.373;0.795;0.785;0.796;0.796;0.799;0.611;0.677;0.859;0.859;1.0;0.84;0.703;0.781
transcript18_ENSRNOG00000031503;0.278;0.274;0.312;0.634;0.539;0.64;0.64;0.636;0.316;0.316;0.49;0.49;0.673;0.65;0.569;0.569;0.513;0.314;0.672;0.665;0.948;0.948;0.952;0.517;0.573;0.721;0.721;0.84;1.0;0.591;0.656
transcript32_ENSRNOG00000031503;0.302;0.308;0.292;0.265;0.893;0.269;0.269;0.264;0.297;0.297;0.324;0.324;0.786;0.812;0.921;0.921;0.829;0.295;0.785;0.788;0.56;0.56;0.562;0.835;0.926;0.819;0.819;0.703;0.591;1.0;0.783
transcript9_ENSRNOG00000031503;0.247;0.259;0.431;0.358;0.695;0.362;0.362;0.357;0.43;0.43;0.439;0.439;0.882;0.85;0.735;0.735;0.657;0.428;0.873;0.876;0.622;0.622;0.624;0.656;0.734;0.909;0.909;0.781;0.656;0.783;1.0
