;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;0.905;0.903;0.51;0.974;1.0;0.161;0.897;0.524;0.897;0.897;0.958;0.698;0.731;0.355;0.827
ENSCAFT00000021179_90_90;0.905;1.0;0.956;0.58;0.886;0.906;0.0;0.893;0.619;0.893;0.893;0.891;0.722;0.738;0.383;0.927
ENST00000359842_90_90;0.903;0.956;1.0;0.537;0.885;0.903;0.018;0.935;0.587;0.935;0.935;0.853;0.713;0.733;0.37;0.879
ENST00000619224_90_90;0.51;0.58;0.537;1.0;0.492;0.51;0.0;0.593;1.0;0.593;0.593;0.528;0.666;0.695;0.241;0.554
ENST00000374680_90_90;0.974;0.886;0.885;0.492;1.0;0.975;0.185;0.877;0.505;0.877;0.877;0.928;0.71;0.689;0.362;0.842
ENST00000374685_90_90;1.0;0.906;0.903;0.51;0.975;1.0;0.18;0.896;0.524;0.896;0.896;0.96;0.689;0.721;0.349;0.816
ENST00000483281_90_90;0.161;0.0;0.018;0.0;0.185;0.18;1.0;0.096;0.0;0.096;0.096;0.16;0.0;0.0;0.0;0.044
ENSMUST00000015987_90_90;0.897;0.893;0.935;0.593;0.877;0.896;0.096;1.0;0.519;1.0;1.0;0.829;0.595;0.617;0.264;0.819
ENSMUST00000111380_90_90;0.524;0.619;0.587;1.0;0.505;0.524;0.0;0.519;1.0;0.519;0.519;0.53;0.737;0.774;0.281;0.56
ENSMUST00000111384_90_90;0.897;0.893;0.935;0.593;0.877;0.896;0.096;1.0;0.519;1.0;1.0;0.829;0.595;0.617;0.264;0.819
ENSMUST00000111386_90_90;0.897;0.893;0.935;0.593;0.877;0.896;0.096;1.0;0.519;1.0;1.0;0.829;0.595;0.617;0.264;0.819
ENSMUST00000044858_90_90;0.958;0.891;0.853;0.528;0.928;0.96;0.16;0.829;0.53;0.829;0.829;1.0;0.621;0.645;0.29;0.877
ENSMUST00000116612_90_90;0.698;0.722;0.713;0.666;0.71;0.689;0.0;0.595;0.737;0.595;0.595;0.621;1.0;0.955;0.495;0.709
ENSMUST00000173354_90_90;0.731;0.738;0.733;0.695;0.689;0.721;0.0;0.617;0.774;0.617;0.617;0.645;0.955;1.0;0.47;0.694
ENSMUST00000173554_90_90;0.355;0.383;0.37;0.241;0.362;0.349;0.0;0.264;0.281;0.264;0.264;0.29;0.495;0.47;1.0;0.331
ENSMUST00000174299_90_90;0.827;0.927;0.879;0.554;0.842;0.816;0.044;0.819;0.56;0.819;0.819;0.877;0.709;0.694;0.331;1.0
