;ENSCAFT00000022358_90_90;ENST00000402521_90_90;ENST00000426333_90_90;ENST00000588374_90_90;ENST00000589769_90_90;ENST00000590124_90_90;ENST00000591382_90_90;ENST00000591856_90_90;ENST00000592576_90_90;ENST00000592701_90_90;ENST00000593072_90_90;ENSMUST00000021306_90_90;ENSMUST00000107060_90_90;ENSMUST00000132543_90_90;ENSMUST00000138483_90_90;ENSMUST00000172611_90_90;ENSMUST00000173679_90_90
ENSCAFT00000022358_90_90;1.0;0.941;1.0;0.08;0.153;0.198;1.0;0.034;0.954;0.2;0.264;1.0;0.978;0.106;0.057;0.033;0.954
ENST00000402521_90_90;0.941;1.0;0.941;0.046;0.162;0.21;0.941;0.035;0.893;0.14;0.204;0.941;0.919;0.113;0.023;0.034;0.893
ENST00000426333_90_90;1.0;0.941;1.0;0.08;0.153;0.198;1.0;0.034;0.954;0.2;0.264;1.0;0.978;0.106;0.057;0.033;0.954
ENST00000588374_90_90;0.08;0.046;0.08;1.0;0.0;0.0;0.08;0.0;0.085;0.369;0.278;0.08;0.082;0.0;0.788;0.0;0.085
ENST00000589769_90_90;0.153;0.162;0.153;0.0;1.0;0.374;0.153;0.0;0.161;0.0;0.0;0.153;0.156;0.413;0.0;0.0;0.161
ENST00000590124_90_90;0.198;0.21;0.198;0.0;0.374;1.0;0.198;0.0;0.207;0.0;0.0;0.198;0.202;0.212;0.0;0.0;0.207
ENST00000591382_90_90;1.0;0.941;1.0;0.08;0.153;0.198;1.0;0.034;0.954;0.2;0.264;1.0;0.978;0.106;0.057;0.033;0.954
ENST00000591856_90_90;0.034;0.035;0.034;0.0;0.0;0.0;0.034;1.0;0.035;0.0;0.0;0.034;0.035;0.0;0.0;0.0;0.035
ENST00000592576_90_90;0.954;0.893;0.954;0.085;0.161;0.207;0.954;0.035;1.0;0.214;0.247;0.954;0.932;0.112;0.061;0.034;1.0
ENST00000592701_90_90;0.2;0.14;0.2;0.369;0.0;0.0;0.2;0.0;0.214;1.0;0.748;0.2;0.179;0.0;0.284;0.0;0.214
ENST00000593072_90_90;0.264;0.204;0.264;0.278;0.0;0.0;0.264;0.0;0.247;0.748;1.0;0.264;0.242;0.0;0.212;0.0;0.247
ENSMUST00000021306_90_90;1.0;0.941;1.0;0.08;0.153;0.198;1.0;0.034;0.954;0.2;0.264;1.0;0.978;0.106;0.057;0.033;0.954
ENSMUST00000107060_90_90;0.978;0.919;0.978;0.082;0.156;0.202;0.978;0.035;0.932;0.179;0.242;0.978;1.0;0.108;0.059;0.034;0.932
ENSMUST00000132543_90_90;0.106;0.113;0.106;0.0;0.413;0.212;0.106;0.0;0.112;0.0;0.0;0.106;0.108;1.0;0.0;0.0;0.112
ENSMUST00000138483_90_90;0.057;0.023;0.057;0.788;0.0;0.0;0.057;0.0;0.061;0.284;0.212;0.057;0.059;0.0;1.0;0.0;0.061
ENSMUST00000172611_90_90;0.033;0.034;0.033;0.0;0.0;0.0;0.033;0.0;0.034;0.0;0.0;0.033;0.034;0.0;0.0;1.0;0.034
ENSMUST00000173679_90_90;0.954;0.893;0.954;0.085;0.161;0.207;0.954;0.035;1.0;0.214;0.247;0.954;0.932;0.112;0.061;0.034;1.0
