;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;0.74;0.738;0.627;0.988;0.996;0.144;0.716;0.627;0.716;0.716;0.911;0.764;0.771;0.28;0.795
ENSCAFT00000021179_90_90;0.74;1.0;0.896;0.734;0.741;0.739;0.0;0.773;0.734;0.773;0.773;0.781;0.859;0.855;0.324;0.882
ENST00000359842_90_90;0.738;0.896;1.0;0.734;0.739;0.737;0.001;0.856;0.734;0.856;0.856;0.711;0.79;0.787;0.274;0.798
ENST00000619224_90_90;0.627;0.734;0.734;1.0;0.628;0.626;0.0;0.734;1.0;0.734;0.734;0.641;0.813;0.81;0.204;0.728
ENST00000374680_90_90;0.988;0.741;0.739;0.628;1.0;0.993;0.148;0.717;0.628;0.717;0.717;0.905;0.768;0.762;0.282;0.799
ENST00000374685_90_90;0.996;0.739;0.737;0.626;0.993;1.0;0.147;0.715;0.626;0.715;0.715;0.912;0.762;0.77;0.28;0.793
ENST00000483281_90_90;0.144;0.0;0.001;0.0;0.148;0.147;1.0;0.04;0.0;0.04;0.04;0.143;0.0;0.0;0.0;0.026
ENSMUST00000015987_90_90;0.716;0.773;0.856;0.734;0.717;0.715;0.04;1.0;0.734;1.0;1.0;0.678;0.695;0.693;0.206;0.738
ENSMUST00000111380_90_90;0.627;0.734;0.734;1.0;0.628;0.626;0.0;0.734;1.0;0.734;0.734;0.641;0.813;0.81;0.204;0.728
ENSMUST00000111384_90_90;0.716;0.773;0.856;0.734;0.717;0.715;0.04;1.0;0.734;1.0;1.0;0.678;0.695;0.693;0.206;0.738
ENSMUST00000111386_90_90;0.716;0.773;0.856;0.734;0.717;0.715;0.04;1.0;0.734;1.0;1.0;0.678;0.695;0.693;0.206;0.738
ENSMUST00000044858_90_90;0.911;0.781;0.711;0.641;0.905;0.912;0.143;0.678;0.641;0.678;0.678;1.0;0.782;0.79;0.287;0.875
ENSMUST00000116612_90_90;0.764;0.859;0.79;0.813;0.768;0.762;0.0;0.695;0.813;0.695;0.695;0.782;1.0;0.99;0.366;0.895
ENSMUST00000173354_90_90;0.771;0.855;0.787;0.81;0.762;0.77;0.0;0.693;0.81;0.693;0.693;0.79;0.99;1.0;0.363;0.887
ENSMUST00000173554_90_90;0.28;0.324;0.274;0.204;0.282;0.28;0.0;0.206;0.204;0.206;0.206;0.287;0.366;0.363;1.0;0.328
ENSMUST00000174299_90_90;0.795;0.882;0.798;0.728;0.799;0.793;0.026;0.738;0.728;0.738;0.738;0.875;0.895;0.887;0.328;1.0
