;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.835;0.956;0.889;0.98;0.98;0.96;0.96;0.986;0.982;0.873;0.982;0.982
transcript47_ENSRNOG00000031503;0.835;1.0;0.972;0.936;0.875;0.873;0.791;0.791;0.885;0.818;0.893;0.818;0.818
transcript47_ENSMUGG00000013649;0.956;0.972;1.0;0.963;0.986;0.986;0.946;0.946;0.99;0.986;0.993;0.986;0.986
transcript47_ENSPEMG00000024651;0.889;0.936;0.963;1.0;0.946;0.945;0.96;0.96;0.944;0.923;0.955;0.923;0.923
transcript20_ENSMUGG00000013649;0.98;0.875;0.986;0.946;1.0;1.0;0.974;0.974;1.0;1.0;0.972;1.0;1.0
transcript20_ENSMUGG00000013592;0.98;0.873;0.986;0.945;1.0;1.0;0.974;0.974;1.0;1.0;0.972;1.0;1.0
transcript19_ENSPEMG00000024651;0.96;0.791;0.946;0.96;0.974;0.974;1.0;1.0;0.97;0.976;0.876;0.976;0.976
transcript38_ENSPEMG00000024651;0.96;0.791;0.946;0.96;0.974;0.974;1.0;1.0;0.97;0.976;0.876;0.976;0.976
transcript27_ENSNGAG00000018584;0.986;0.885;0.99;0.944;1.0;1.0;0.97;0.97;1.0;1.0;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;0.982;0.818;0.986;0.923;1.0;1.0;0.976;0.976;1.0;1.0;0.888;1.0;1.0
transcript24_ENSSTOG00000019743;0.873;0.893;0.993;0.955;0.972;0.972;0.876;0.876;1.0;0.888;1.0;0.888;0.888
transcript25_ENSSTOG00000019743;0.982;0.818;0.986;0.923;1.0;1.0;0.976;0.976;1.0;1.0;0.888;1.0;1.0
transcript32_ENSSTOG00000019743;0.982;0.818;0.986;0.923;1.0;1.0;0.976;0.976;1.0;1.0;0.888;1.0;1.0
