;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.877;0.601;0.572;0.89;0.998;0.896;0.868;0.635;0.819;0.82;0.913;0.635;0.635;0.812;0.868
transcript6_ENSECAG00000007947;0.877;1.0;0.52;0.566;0.819;0.876;0.978;0.947;0.671;0.888;0.891;0.96;0.671;0.671;0.88;0.947
transcript8_ENSMPUG00000020072;0.601;0.52;1.0;0.718;0.589;0.602;0.541;0.524;0.388;0.473;0.538;0.551;0.388;0.388;0.466;0.524
transcript8_ENSECAG00000007947;0.572;0.566;0.718;1.0;0.559;0.571;0.587;0.569;0.398;0.509;0.585;0.598;0.398;0.398;0.61;0.569
transcript10_ENSMPUG00000020072;0.89;0.819;0.589;0.559;1.0;0.892;0.84;0.866;0.618;0.825;0.898;0.819;0.618;0.618;0.81;0.866
transcript13_ENSMPUG00000020072;0.998;0.876;0.602;0.571;0.892;1.0;0.895;0.867;0.633;0.817;0.819;0.912;0.633;0.633;0.811;0.867
transcript4_ENSECAG00000007947;0.896;0.978;0.541;0.587;0.84;0.895;1.0;0.968;0.693;0.909;0.912;0.978;0.693;0.693;0.901;0.968
transcript7_ENSECAG00000007947;0.868;0.947;0.524;0.569;0.866;0.867;0.968;1.0;0.671;0.94;0.943;0.947;0.671;0.671;0.932;1.0
transcript14_ENSECAG00000007947;0.635;0.671;0.388;0.398;0.618;0.633;0.693;0.671;1.0;0.714;0.658;0.671;1.0;1.0;0.604;0.671
transcript15_ENSECAG00000007947;0.819;0.888;0.473;0.509;0.825;0.817;0.909;0.94;0.714;1.0;0.901;0.888;0.714;0.714;0.873;0.94
transcript16_ENSECAG00000007947;0.82;0.891;0.538;0.585;0.898;0.819;0.912;0.943;0.658;0.901;1.0;0.891;0.658;0.658;0.875;0.943
transcript17_ENSECAG00000007947;0.913;0.96;0.551;0.598;0.819;0.912;0.978;0.947;0.671;0.888;0.891;1.0;0.671;0.671;0.88;0.947
transcript18_ENSECAG00000007947;0.635;0.671;0.388;0.398;0.618;0.633;0.693;0.671;1.0;0.714;0.658;0.671;1.0;1.0;0.604;0.671
transcript19_ENSECAG00000007947;0.635;0.671;0.388;0.398;0.618;0.633;0.693;0.671;1.0;0.714;0.658;0.671;1.0;1.0;0.604;0.671
transcript20_ENSECAG00000007947;0.812;0.88;0.466;0.61;0.81;0.811;0.901;0.932;0.604;0.873;0.875;0.88;0.604;0.604;1.0;0.932
transcript21_ENSECAG00000007947;0.868;0.947;0.524;0.569;0.866;0.867;0.968;1.0;0.671;0.94;0.943;0.947;0.671;0.671;0.932;1.0
