;ENSCAFT00000027630_90_90;ENST00000258962_90_90;ENST00000581979_90_90;ENST00000582730_90_90;ENST00000583741_90_90;ENST00000584668_90_90;ENST00000584773_90_90;ENST00000585096_90_90;ENSMUST00000079866_90_90;ENSMUST00000107920_90_90;ENSMUST00000134824_90_90;ENSMUST00000139129_90_90;ENSMUST00000172186_90_90
ENSCAFT00000027630_90_90;1.0;0.967;0.679;0.679;0.257;0.556;0.99;0.283;0.681;0.992;0.385;0.97;0.198
ENST00000258962_90_90;0.967;1.0;0.694;0.694;0.26;0.575;0.967;0.282;0.692;0.965;0.36;0.997;0.174
ENST00000581979_90_90;0.679;0.694;1.0;1.0;0.321;0.297;0.681;0.348;0.997;0.679;0.44;0.692;0.213
ENST00000582730_90_90;0.679;0.694;1.0;1.0;0.321;0.297;0.681;0.348;0.997;0.679;0.44;0.692;0.213
ENST00000583741_90_90;0.257;0.26;0.321;0.321;1.0;0.0;0.255;0.882;0.323;0.257;0.0;0.262;0.0
ENST00000584668_90_90;0.556;0.575;0.297;0.297;0.0;1.0;0.554;0.0;0.297;0.554;0.464;0.575;0.232
ENST00000584773_90_90;0.99;0.967;0.681;0.681;0.255;0.554;1.0;0.289;0.679;0.997;0.388;0.965;0.201
ENST00000585096_90_90;0.283;0.282;0.348;0.348;0.882;0.0;0.289;1.0;0.345;0.287;0.013;0.281;0.018
ENSMUST00000079866_90_90;0.681;0.692;0.997;0.997;0.323;0.297;0.679;0.345;1.0;0.681;0.44;0.694;0.213
ENSMUST00000107920_90_90;0.992;0.965;0.679;0.679;0.257;0.554;0.997;0.287;0.681;1.0;0.388;0.967;0.201
ENSMUST00000134824_90_90;0.385;0.36;0.44;0.44;0.0;0.464;0.388;0.013;0.44;0.388;1.0;0.36;0.543
ENSMUST00000139129_90_90;0.97;0.997;0.692;0.692;0.262;0.575;0.965;0.281;0.694;0.967;0.36;1.0;0.174
ENSMUST00000172186_90_90;0.198;0.174;0.213;0.213;0.0;0.232;0.201;0.018;0.213;0.201;0.543;0.174;1.0
