;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.587;0.579;0.499;0.587;0.304;0.418;0.205;0.332;0.753;0.682;0.682;0.753;0.682;0.068;0.053;0.171;0.205;0.226
ENST00000290246_90_90;0.587;1.0;0.99;0.896;1.0;0.244;0.364;0.532;0.591;0.708;0.388;0.385;0.708;0.385;0.06;0.045;0.146;0.184;0.05
ENST00000352077_90_90;0.579;0.99;1.0;0.886;0.99;0.246;0.354;0.539;0.599;0.7;0.38;0.376;0.7;0.376;0.061;0.046;0.147;0.185;0.05
ENST00000372176_90_90;0.499;0.896;0.886;1.0;0.896;0.275;0.26;0.592;0.652;0.623;0.305;0.3;0.623;0.3;0.0;0.0;0.041;0.207;0.054
ENST00000396391_90_90;0.587;1.0;0.99;0.896;1.0;0.244;0.364;0.532;0.591;0.708;0.388;0.385;0.708;0.385;0.06;0.045;0.146;0.184;0.05
ENST00000425546_90_90;0.304;0.244;0.246;0.275;0.244;1.0;0.251;0.048;0.241;0.233;0.36;0.351;0.233;0.351;0.0;0.0;0.0;0.207;0.185
ENST00000450812_90_90;0.418;0.364;0.354;0.26;0.364;0.251;1.0;0.0;0.061;0.317;0.509;0.503;0.317;0.503;0.16;0.128;0.415;0.471;0.0
ENST00000452857_90_90;0.205;0.532;0.539;0.592;0.532;0.048;0.0;1.0;0.593;0.343;0.037;0.038;0.343;0.038;0.0;0.0;0.0;0.0;0.062
ENST00000467800_90_90;0.332;0.591;0.599;0.652;0.591;0.241;0.061;0.593;1.0;0.476;0.148;0.151;0.476;0.151;0.0;0.0;0.0;0.025;0.067
ENSMUST00000071699_90_90;0.753;0.708;0.7;0.623;0.708;0.233;0.317;0.343;0.476;1.0;0.55;0.56;1.0;0.56;0.055;0.041;0.131;0.175;0.182
ENSMUST00000074046_90_90;0.682;0.388;0.38;0.305;0.388;0.36;0.509;0.037;0.148;0.55;1.0;0.955;0.55;0.955;0.08;0.065;0.214;0.262;0.346
ENSMUST00000094329_90_90;0.682;0.385;0.376;0.3;0.385;0.351;0.503;0.038;0.151;0.56;0.955;1.0;0.56;1.0;0.083;0.069;0.225;0.275;0.361
ENSMUST00000103088_90_90;0.753;0.708;0.7;0.623;0.708;0.233;0.317;0.343;0.476;1.0;0.55;0.56;1.0;0.56;0.055;0.041;0.131;0.175;0.182
ENSMUST00000103091_90_90;0.682;0.385;0.376;0.3;0.385;0.351;0.503;0.038;0.151;0.56;0.955;1.0;0.56;1.0;0.083;0.069;0.225;0.275;0.361
ENSMUST00000126318_90_90;0.068;0.06;0.061;0.0;0.06;0.0;0.16;0.0;0.0;0.055;0.08;0.083;0.055;0.083;1.0;0.473;0.4;0.0;0.0
ENSMUST00000128690_90_90;0.053;0.045;0.046;0.0;0.045;0.0;0.128;0.0;0.0;0.041;0.065;0.069;0.041;0.069;0.473;1.0;0.311;0.0;0.0
ENSMUST00000133205_90_90;0.171;0.146;0.147;0.041;0.146;0.0;0.415;0.0;0.0;0.131;0.214;0.225;0.131;0.225;0.4;0.311;1.0;0.08;0.0
ENSMUST00000137188_90_90;0.205;0.184;0.185;0.207;0.184;0.207;0.471;0.0;0.025;0.175;0.262;0.275;0.175;0.275;0.0;0.0;0.08;1.0;0.0
ENSMUST00000148643_90_90;0.226;0.05;0.05;0.054;0.05;0.185;0.0;0.062;0.067;0.182;0.346;0.361;0.182;0.361;0.0;0.0;0.0;0.0;1.0
