;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.6;0.667;0.733;0.4;0.4;0.3;0.4;0.5;0.4;0.4;0.4;0.6;0.933;1.0;0.978;0.044;0.644;0.6;0.689;0.422;0.111;0.289;0.711
ENST00000391851_90_90;0.6;1.0;0.946;0.756;0.657;0.714;0.333;0.629;0.639;0.771;0.114;0.743;0.857;0.6;0.6;0.6;0.0;0.727;0.385;0.448;0.7;0.0;0.19;0.483
ENST00000454376_90_90;0.667;0.946;1.0;0.805;0.622;0.676;0.316;0.595;0.605;0.73;0.159;0.703;0.811;0.667;0.667;0.667;0.0;0.667;0.357;0.467;0.636;0.0;0.174;0.552
ENST00000524771_90_90;0.733;0.756;0.805;1.0;0.622;0.632;0.316;0.595;0.605;0.6;0.133;0.615;0.718;0.733;0.733;0.733;0.0;0.556;0.429;0.533;0.583;0.0;0.261;0.621
ENST00000526224_90_90;0.4;0.657;0.622;0.622;1.0;0.92;0.333;0.957;0.741;0.852;0.0;0.885;0.656;0.4;0.4;0.4;0.0;0.6;0.154;0.241;0.75;0.0;0.0;0.48
ENST00000527382_90_90;0.4;0.714;0.676;0.632;0.92;1.0;0.31;0.88;0.69;0.926;0.0;0.962;0.618;0.4;0.4;0.4;0.0;0.6;0.154;0.241;0.75;0.0;0.0;0.48
ENST00000528623_90_90;0.3;0.333;0.316;0.316;0.333;0.31;1.0;0.346;0.542;0.29;0.0;0.3;0.387;0.3;0.3;0.3;0.0;0.45;0.35;0.375;0.562;0.0;0.0;0.36
ENST00000529284_90_90;0.4;0.629;0.595;0.595;0.957;0.88;0.346;1.0;0.769;0.815;0.0;0.846;0.677;0.4;0.4;0.4;0.0;0.6;0.154;0.241;0.75;0.0;0.0;0.48
ENST00000529836_90_90;0.5;0.639;0.605;0.605;0.741;0.69;0.542;0.769;1.0;0.645;0.0;0.667;0.742;0.5;0.5;0.5;0.0;0.75;0.269;0.345;0.938;0.0;0.0;0.6
ENST00000532489_90_90;0.4;0.771;0.73;0.6;0.852;0.926;0.29;0.815;0.645;1.0;0.0;0.963;0.629;0.4;0.4;0.4;0.0;0.6;0.154;0.241;0.75;0.0;0.0;0.48
