;transcript14_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript9_ENSMLUG00000027828;transcript7_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript32_ENSCPOG00000024843;transcript10_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript18_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript7_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript33_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript7_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript9_ENSSTOG00000019743
transcript14_ENSMLUG00000027828;1.0;0.937;0.685;0.054;0.46;0.679;0.671;0.607;0.771;0.766;0.766;0.584;0.046;0.466;0.758;0.753;0.753;0.799;0.74;0.667;0.56;0.512;0.828;0.828;0.66;0.746;0.054;0.439;0.668;0.734;0.046
transcript13_ENSMLUG00000027828;0.937;1.0;0.748;0.051;0.436;0.723;0.717;0.656;0.812;0.817;0.817;0.629;0.043;0.442;0.797;0.801;0.801;0.761;0.787;0.718;0.609;0.487;0.874;0.874;0.708;0.793;0.051;0.419;0.706;0.771;0.044
transcript22_ENSMLUG00000027828;0.685;0.748;1.0;0.068;0.341;0.555;0.546;0.839;0.634;0.637;0.637;0.453;0.058;0.345;0.627;0.629;0.629;0.586;0.615;0.538;0.788;0.363;0.653;0.653;0.478;0.568;0.067;0.332;0.53;0.599;0.058
transcript9_ENSMLUG00000027828;0.054;0.051;0.068;1.0;0.081;0.048;0.05;0.057;0.048;0.049;0.049;0.057;0.755;0.085;0.046;0.046;0.046;0.05;0.047;0.053;0.059;0.085;0.045;0.045;0.058;0.05;0.877;0.085;0.049;0.045;0.815
transcript7_ENSCCNG00000000226;0.46;0.436;0.341;0.081;1.0;0.577;0.426;0.378;0.46;0.463;0.463;0.69;0.096;0.837;0.463;0.465;0.465;0.495;0.472;0.371;0.375;0.885;0.463;0.463;0.604;0.377;0.095;0.762;0.467;0.434;0.083
transcript26_ENSCCNG00000000226;0.679;0.723;0.555;0.048;0.577;1.0;0.811;0.642;0.758;0.752;0.752;0.696;0.055;0.502;0.776;0.771;0.771;0.72;0.76;0.681;0.606;0.537;0.801;0.801;0.627;0.718;0.055;0.466;0.765;0.715;0.049
transcript24_ENSCCNG00000000226;0.671;0.717;0.546;0.05;0.426;0.811;1.0;0.609;0.734;0.729;0.729;0.659;0.058;0.364;0.727;0.722;0.722;0.67;0.711;0.821;0.556;0.399;0.77;0.77;0.594;0.871;0.057;0.345;0.633;0.689;0.05
transcript32_ENSCPOG00000024843;0.607;0.656;0.839;0.057;0.378;0.642;0.609;1.0;0.714;0.712;0.712;0.506;0.057;0.384;0.718;0.716;0.716;0.659;0.702;0.595;0.885;0.409;0.78;0.78;0.546;0.663;0.065;0.364;0.607;0.672;0.052
transcript10_ENSECAG00000007947;0.771;0.812;0.634;0.048;0.46;0.758;0.734;0.714;1.0;0.994;0.994;0.646;0.046;0.466;0.83;0.825;0.825;0.77;0.81;0.737;0.658;0.504;0.885;0.885;0.706;0.801;0.053;0.432;0.713;0.758;0.044
transcript17_ENSECAG00000007947;0.766;0.817;0.637;0.049;0.463;0.752;0.729;0.712;0.994;1.0;1.0;0.641;0.046;0.469;0.825;0.829;0.829;0.774;0.814;0.74;0.661;0.507;0.88;0.88;0.702;0.796;0.053;0.434;0.708;0.752;0.044
transcript12_ENSECAG00000007947;0.766;0.817;0.637;0.049;0.463;0.752;0.729;0.712;0.994;1.0;1.0;0.641;0.046;0.469;0.825;0.829;0.829;0.774;0.814;0.74;0.661;0.507;0.88;0.88;0.702;0.796;0.053;0.434;0.708;0.752;0.044
transcript18_ENSCCNG00000000226;0.584;0.629;0.453;0.057;0.69;0.696;0.659;0.506;0.646;0.641;0.641;1.0;0.067;0.595;0.653;0.648;0.648;0.596;0.658;0.555;0.479;0.633;0.67;0.67;0.874;0.584;0.066;0.55;0.553;0.61;0.058
transcript9_ENSCCNG00000000226;0.046;0.043;0.058;0.755;0.096;0.055;0.058;0.057;0.046;0.046;0.046;0.067;1.0;0.085;0.046;0.046;0.046;0.05;0.047;0.053;0.059;0.085;0.045;0.045;0.058;0.05;0.877;0.087;0.05;0.046;0.836
transcript7_ENSMPUG00000020072;0.466;0.442;0.345;0.085;0.837;0.502;0.364;0.384;0.466;0.469;0.469;0.595;0.085;1.0;0.534;0.537;0.537;0.573;0.546;0.409;0.426;0.901;0.471;0.471;0.614;0.36;0.095;0.771;0.474;0.441;0.082
transcript10_ENSMPUG00000020072;0.758;0.797;0.627;0.046;0.463;0.776;0.727;0.718;0.83;0.825;0.825;0.653;0.046;0.534;1.0;0.994;0.994;0.931;0.979;0.861;0.782;0.504;0.882;0.882;0.701;0.765;0.051;0.435;0.722;0.771;0.044
transcript17_ENSMPUG00000020072;0.753;0.801;0.629;0.046;0.465;0.771;0.722;0.716;0.825;0.829;0.829;0.648;0.046;0.537;0.994;1.0;1.0;0.936;0.984;0.867;0.786;0.506;0.877;0.877;0.696;0.76;0.051;0.437;0.717;0.766;0.044
transcript20_ENSMPUG00000020072;0.753;0.801;0.629;0.046;0.465;0.771;0.722;0.716;0.825;0.829;0.829;0.648;0.046;0.537;0.994;1.0;1.0;0.936;0.984;0.867;0.786;0.506;0.877;0.877;0.696;0.76;0.051;0.437;0.717;0.766;0.044
transcript23_ENSMPUG00000020072;0.799;0.761;0.586;0.05;0.495;0.72;0.67;0.659;0.77;0.774;0.774;0.596;0.05;0.573;0.931;0.936;0.936;1.0;0.921;0.803;0.723;0.539;0.821;0.821;0.638;0.705;0.054;0.459;0.671;0.722;0.047
transcript25_ENSMPUG00000020072;0.74;0.787;0.615;0.047;0.472;0.76;0.711;0.702;0.81;0.814;0.814;0.658;0.047;0.546;0.979;0.984;0.984;0.921;1.0;0.851;0.771;0.514;0.863;0.863;0.706;0.746;0.052;0.444;0.703;0.752;0.045
transcript24_ENSMPUG00000020072;0.667;0.718;0.538;0.053;0.371;0.681;0.821;0.595;0.737;0.74;0.74;0.555;0.053;0.409;0.861;0.867;0.867;0.803;0.851;1.0;0.653;0.386;0.76;0.76;0.576;0.86;0.058;0.335;0.625;0.675;0.051
transcript22_ENSMPUG00000020072;0.56;0.609;0.788;0.059;0.375;0.606;0.556;0.885;0.658;0.661;0.661;0.479;0.059;0.426;0.782;0.786;0.786;0.723;0.771;0.653;1.0;0.401;0.689;0.689;0.502;0.573;0.065;0.364;0.571;0.623;0.057
transcript7_ENSCPOG00000024843;0.512;0.487;0.363;0.085;0.885;0.537;0.399;0.409;0.504;0.507;0.507;0.633;0.085;0.901;0.504;0.506;0.506;0.539;0.514;0.386;0.401;1.0;0.522;0.522;0.682;0.411;0.097;0.832;0.514;0.479;0.078
transcript17_ENSCPOG00000024843;0.828;0.874;0.653;0.045;0.463;0.801;0.77;0.78;0.885;0.88;0.88;0.67;0.045;0.471;0.882;0.877;0.877;0.821;0.863;0.76;0.689;0.522;1.0;1.0;0.766;0.883;0.051;0.442;0.774;0.837;0.041
transcript33_ENSCPOG00000024843;0.828;0.874;0.653;0.045;0.463;0.801;0.77;0.78;0.885;0.88;0.88;0.67;0.045;0.471;0.882;0.877;0.877;0.821;0.863;0.76;0.689;0.522;1.0;1.0;0.766;0.883;0.051;0.442;0.774;0.837;0.041
transcript18_ENSCPOG00000024843;0.66;0.708;0.478;0.058;0.604;0.627;0.594;0.546;0.706;0.702;0.702;0.874;0.058;0.614;0.701;0.696;0.696;0.638;0.706;0.576;0.502;0.682;0.766;0.766;1.0;0.65;0.066;0.576;0.605;0.67;0.053
transcript24_ENSCPOG00000024843;0.746;0.793;0.568;0.05;0.377;0.718;0.871;0.663;0.801;0.796;0.796;0.584;0.05;0.36;0.765;0.76;0.76;0.705;0.746;0.86;0.573;0.411;0.883;0.883;0.65;1.0;0.057;0.349;0.685;0.75;0.046
transcript9_ENSCPOG00000024843;0.054;0.051;0.067;0.877;0.095;0.055;0.057;0.065;0.053;0.053;0.053;0.066;0.877;0.095;0.051;0.051;0.051;0.054;0.052;0.058;0.065;0.097;0.051;0.051;0.066;0.057;1.0;0.09;0.052;0.048;0.803
transcript7_ENSSTOG00000019743;0.439;0.419;0.332;0.085;0.762;0.466;0.345;0.364;0.432;0.434;0.434;0.55;0.087;0.771;0.435;0.437;0.437;0.459;0.444;0.335;0.364;0.832;0.442;0.442;0.576;0.349;0.09;1.0;0.571;0.528;0.092
transcript26_ENSSTOG00000019743;0.668;0.706;0.53;0.049;0.467;0.765;0.633;0.607;0.713;0.708;0.708;0.553;0.05;0.474;0.722;0.717;0.717;0.671;0.703;0.625;0.571;0.514;0.774;0.774;0.605;0.685;0.052;0.571;1.0;0.925;0.053
transcript17_ENSSTOG00000019743;0.734;0.771;0.599;0.045;0.434;0.715;0.689;0.672;0.758;0.752;0.752;0.61;0.046;0.441;0.771;0.766;0.766;0.722;0.752;0.675;0.623;0.479;0.837;0.837;0.67;0.75;0.048;0.528;0.925;1.0;0.049
transcript9_ENSSTOG00000019743;0.046;0.044;0.058;0.815;0.083;0.049;0.05;0.052;0.044;0.044;0.044;0.058;0.836;0.082;0.044;0.044;0.044;0.047;0.045;0.051;0.057;0.078;0.041;0.041;0.053;0.046;0.803;0.092;0.053;0.049;1.0
